model,policy,checkpoint,repeat,repeat_type,speaker,fold,uar_percent,query_records,minimum_class_support
cnn,U,best,0,panel_draw,1085,0,59.72222222222222,72,12
cnn,U,best,0,panel_draw,1086,0,45.83333333333333,72,12
cnn,U,best,0,panel_draw,1087,0,27.77777777777778,72,12
cnn,U,best,0,panel_draw,1088,2,40.277777777777786,72,12
cnn,U,best,0,panel_draw,1089,0,58.333333333333336,72,12
cnn,U,best,0,panel_draw,1090,1,48.611111111111114,72,12
cnn,U,best,0,panel_draw,1091,1,33.33333333333333,72,12
cnn,U,best,1,panel_draw,1001,1,26.38888888888889,72,12
cnn,U,best,1,panel_draw,1002,3,45.2020202020202,71,11
cnn,U,best,1,panel_draw,1003,4,40.277777777777786,72,12
cnn,U,best,1,panel_draw,1004,1,43.05555555555555,72,12
cnn,U,best,1,panel_draw,1005,1,31.944444444444443,72,12
cnn,U,best,1,panel_draw,1006,3,36.74242424242424,70,11
cnn,U,best,1,panel_draw,1007,2,33.33333333333333,72,12
cnn,U,best,1,panel_draw,1008,2,30.303030303030305,66,11
cnn,U,best,1,panel_draw,1009,3,56.060606060606055,66,11
cnn,U,best,1,panel_draw,1010,0,44.44444444444444,72,12
cnn,U,best,1,panel_draw,1011,0,54.166666666666664,72,12
cnn,U,best,1,panel_draw,1012,3,37.5,72,12
cnn,U,best,1,panel_draw,1013,0,55.80808080808081,70,11
cnn,U,best,1,panel_draw,1014,3,51.388888888888886,72,12
cnn,U,best,1,panel_draw,1015,3,47.222222222222214,72,12
cnn,U,best,1,panel_draw,1016,4,44.44444444444445,72,12
cnn,U,best,1,panel_draw,1017,1,36.36363636363636,70,11
cnn,U,best,1,panel_draw,1018,1,55.55555555555555,72,12
cnn,U,best,1,panel_draw,1019,0,48.48484848484848,66,11
cnn,U,best,1,panel_draw,1020,0,50.0,72,12
cnn,U,best,1,panel_draw,1021,3,40.27777777777777,72,12
cnn,U,best,1,panel_draw,1022,1,36.11111111111111,72,12
cnn,U,best,1,panel_draw,1023,3,41.66666666666667,72,12
cnn,U,best,1,panel_draw,1024,2,36.11111111111111,72,12
cnn,U,best,1,panel_draw,1025,0,31.944444444444443,72,12
cnn,U,best,1,panel_draw,1026,4,48.61111111111111,72,12
cnn,U,best,1,panel_draw,1027,3,54.166666666666664,72,12
cnn,U,best,1,panel_draw,1028,1,38.88888888888889,72,12
cnn,U,best,1,panel_draw,1029,1,37.5,72,12
cnn,U,best,1,panel_draw,1030,0,47.22222222222223,72,12
cnn,U,best,1,panel_draw,1031,2,40.27777777777777,72,12
cnn,U,best,1,panel_draw,1032,0,48.611111111111114,72,12
cnn,U,best,1,panel_draw,1033,3,56.94444444444445,72,12
cnn,U,best,1,panel_draw,1034,0,51.38888888888889,72,12
cnn,U,best,1,panel_draw,1035,4,50.0,72,12
cnn,U,best,1,panel_draw,1036,3,30.555555555555554,72,12
cnn,U,best,1,panel_draw,1037,3,48.611111111111114,72,12
cnn,U,best,1,panel_draw,1038,0,59.72222222222222,72,12
cnn,U,best,1,panel_draw,1039,4,44.44444444444445,72,12
cnn,U,best,1,panel_draw,1040,1,45.83333333333333,71,11
cnn,U,best,1,panel_draw,1041,1,54.166666666666664,72,12
cnn,U,best,1,panel_draw,1042,4,29.166666666666664,72,12
cnn,U,best,1,panel_draw,1043,4,58.333333333333336,72,12
cnn,U,best,1,panel_draw,1044,2,47.22222222222223,72,12
cnn,U,best,1,panel_draw,1045,0,41.66666666666667,72,12
cnn,U,best,1,panel_draw,1046,2,36.11111111111111,72,12
cnn,U,best,1,panel_draw,1047,1,51.38888888888889,72,12
cnn,U,best,1,panel_draw,1048,2,50.0,72,12
cnn,U,best,1,panel_draw,1049,3,43.05555555555555,72,12
cnn,U,best,1,panel_draw,1050,2,56.94444444444444,72,12
cnn,U,best,1,panel_draw,1051,3,59.72222222222222,72,12
cnn,U,best,1,panel_draw,1052,0,43.05555555555555,72,12
cnn,U,best,1,panel_draw,1053,0,43.05555555555556,72,12
cnn,U,best,1,panel_draw,1054,4,34.72222222222223,72,12
cnn,U,best,1,panel_draw,1055,1,50.0,72,12
cnn,U,best,1,panel_draw,1056,2,43.05555555555556,72,12
cnn,U,best,1,panel_draw,1057,1,38.88888888888889,72,12
cnn,U,best,1,panel_draw,1058,4,43.05555555555556,72,12
cnn,U,best,1,panel_draw,1059,2,33.33333333333333,72,12
cnn,U,best,1,panel_draw,1060,2,30.555555555555557,72,12
cnn,U,best,1,panel_draw,1061,0,34.72222222222223,72,12
cnn,U,best,1,panel_draw,1062,4,51.38888888888889,72,12
cnn,U,best,1,panel_draw,1063,2,52.77777777777778,72,12
cnn,U,best,1,panel_draw,1064,1,44.44444444444444,72,12
cnn,U,best,1,panel_draw,1065,1,50.0,72,12
cnn,U,best,1,panel_draw,1066,4,48.61111111111111,72,12
cnn,U,best,1,panel_draw,1067,4,37.5,72,12
cnn,U,best,1,panel_draw,1068,0,54.166666666666664,72,12
cnn,U,best,1,panel_draw,1069,4,38.88888888888889,72,12
cnn,U,best,1,panel_draw,1070,2,43.05555555555556,72,12
cnn,U,best,1,panel_draw,1071,2,34.722222222222214,72,12
cnn,U,best,1,panel_draw,1072,3,50.0,72,12
cnn,U,best,1,panel_draw,1073,4,40.27777777777777,72,12
cnn,U,best,1,panel_draw,1074,4,27.77777777777778,72,12
cnn,U,best,1,panel_draw,1075,1,30.555555555555557,72,12
cnn,U,best,1,panel_draw,1076,4,38.63636363636364,70,11
cnn,U,best,1,panel_draw,1077,3,40.27777777777777,72,12
cnn,U,best,1,panel_draw,1078,1,48.61111111111111,72,12
cnn,U,best,1,panel_draw,1079,2,41.66666666666667,72,12
cnn,U,best,1,panel_draw,1080,3,56.94444444444444,72,12
cnn,U,best,1,panel_draw,1081,2,45.83333333333333,72,12
cnn,U,best,1,panel_draw,1082,2,29.166666666666664,72,12
cnn,U,best,1,panel_draw,1083,2,45.83333333333334,72,12
cnn,U,best,1,panel_draw,1084,4,30.555555555555557,72,12
cnn,U,best,1,panel_draw,1085,0,56.94444444444444,72,12
cnn,U,best,1,panel_draw,1086,0,40.277777777777786,72,12
cnn,U,best,1,panel_draw,1087,0,26.38888888888889,72,12
cnn,U,best,1,panel_draw,1088,2,41.66666666666667,72,12
cnn,U,best,1,panel_draw,1089,0,52.77777777777778,72,12
cnn,U,best,1,panel_draw,1090,1,45.83333333333333,72,12
cnn,U,best,1,panel_draw,1091,1,43.05555555555556,72,12
cnn,U,best,2,panel_draw,1001,1,25.0,72,12
cnn,U,best,2,panel_draw,1002,3,45.32828282828283,71,11
cnn,U,best,2,panel_draw,1003,4,37.5,72,12
cnn,U,best,2,panel_draw,1004,1,44.44444444444445,72,12
cnn,U,best,2,panel_draw,1005,1,37.5,72,12
cnn,U,best,2,panel_draw,1006,3,36.868686868686865,70,11
cnn,U,best,2,panel_draw,1007,2,36.111111111111114,72,12
cnn,U,best,2,panel_draw,1008,2,31.818181818181817,66,11
cnn,U,best,2,panel_draw,1009,3,50.0,66,11
cnn,U,best,2,panel_draw,1010,0,54.16666666666667,72,12
cnn,U,best,2,panel_draw,1011,0,47.222222222222214,72,12
cnn,U,best,2,panel_draw,1012,3,37.5,72,12
cnn,U,best,2,panel_draw,1013,0,54.545454545454554,70,11
cnn,U,best,2,panel_draw,1014,3,52.77777777777777,72,12
cnn,U,best,2,panel_draw,1015,3,36.11111111111111,72,12
cnn,U,best,2,panel_draw,1016,4,44.44444444444445,72,12
cnn,U,best,2,panel_draw,1017,1,30.808080808080813,70,11
cnn,U,best,2,panel_draw,1018,1,55.55555555555556,72,12
cnn,U,best,2,panel_draw,1019,0,43.93939393939394,66,11
cnn,U,best,2,panel_draw,1020,0,45.83333333333333,72,12
cnn,U,best,2,panel_draw,1021,3,40.277777777777786,72,12
cnn,U,best,2,panel_draw,1022,1,43.05555555555556,72,12
cnn,U,best,2,panel_draw,1023,3,38.888888888888886,72,12
cnn,U,best,2,panel_draw,1024,2,27.777777777777775,72,12
cnn,U,best,2,panel_draw,1025,0,29.166666666666668,72,12
cnn,U,best,2,panel_draw,1026,4,51.38888888888889,72,12
cnn,U,best,2,panel_draw,1027,3,51.388888888888886,72,12
cnn,U,best,2,panel_draw,1028,1,40.277777777777786,72,12
cnn,U,best,2,panel_draw,1029,1,36.111111111111114,72,12
cnn,U,best,2,panel_draw,1030,0,43.05555555555556,72,12
cnn,U,best,2,panel_draw,1031,2,27.777777777777775,72,12
cnn,U,best,2,panel_draw,1032,0,43.05555555555556,72,12
cnn,U,best,2,panel_draw,1033,3,45.83333333333333,72,12
cnn,U,best,2,panel_draw,1034,0,41.66666666666667,72,12
cnn,U,best,2,panel_draw,1035,4,43.05555555555556,72,12
cnn,U,best,2,panel_draw,1036,3,29.166666666666668,72,12
cnn,U,best,2,panel_draw,1037,3,51.388888888888886,72,12
cnn,U,best,2,panel_draw,1038,0,55.55555555555556,72,12
cnn,U,best,2,panel_draw,1039,4,47.222222222222214,72,12
cnn,U,best,2,panel_draw,1040,1,41.66666666666667,71,11
cnn,U,best,2,panel_draw,1041,1,51.38888888888889,72,12
