level,enc,condition,estimator,speaker,uar
cremad,hubert_base,balanced@3,naive,1019,26.444444444444443
cremad,hubert_base,balanced@3,naive,1020,35.333333333333336
cremad,hubert_base,balanced@3,naive,1021,30.666666666666668
cremad,hubert_base,balanced@3,naive,1022,32.0
cremad,hubert_base,balanced@3,naive,1023,32.88888888888889
cremad,hubert_base,balanced@3,naive,1024,32.0
cremad,hubert_base,balanced@3,naive,1025,27.777777777777775
cremad,hubert_base,balanced@3,naive,1026,27.777777777777782
cremad,hubert_base,balanced@3,naive,1027,37.33333333333333
cremad,hubert_base,balanced@3,naive,1028,32.88888888888889
cremad,hubert_base,balanced@3,naive,1029,28.888888888888886
cremad,hubert_base,balanced@3,naive,1030,31.333333333333332
cremad,hubert_base,balanced@3,naive,1031,24.88888888888889
cremad,hubert_base,balanced@3,naive,1032,26.888888888888886
cremad,hubert_base,balanced@3,naive,1033,30.444444444444443
cremad,hubert_base,balanced@3,naive,1034,22.666666666666668
cremad,hubert_base,balanced@3,naive,1035,35.55555555555556
cremad,hubert_base,balanced@3,naive,1036,21.777777777777775
cremad,hubert_base,balanced@3,naive,1037,35.333333333333336
cremad,hubert_base,balanced@3,naive,1038,28.444444444444446
cremad,hubert_base,balanced@3,naive,1039,32.44444444444445
cremad,hubert_base,balanced@3,naive,1040,30.444444444444446
cremad,hubert_base,balanced@3,naive,1041,28.444444444444446
cremad,hubert_base,balanced@3,naive,1042,25.555555555555554
cremad,hubert_base,balanced@3,naive,1043,27.333333333333332
cremad,hubert_base,balanced@3,naive,1044,31.11111111111111
cremad,hubert_base,balanced@3,naive,1045,29.333333333333332
cremad,hubert_base,balanced@3,naive,1046,30.0
cremad,hubert_base,balanced@3,naive,1047,32.666666666666664
cremad,hubert_base,balanced@3,naive,1048,31.111111111111114
cremad,hubert_base,balanced@3,naive,1049,29.555555555555557
cremad,hubert_base,balanced@3,naive,1050,26.222222222222225
cremad,hubert_base,balanced@3,naive,1051,27.333333333333332
cremad,hubert_base,balanced@3,naive,1052,30.444444444444443
cremad,hubert_base,balanced@3,naive,1053,30.444444444444446
cremad,hubert_base,balanced@3,naive,1054,33.55555555555556
cremad,hubert_base,balanced@3,naive,1055,27.777777777777782
cremad,hubert_base,balanced@3,naive,1056,33.77777777777778
cremad,hubert_base,balanced@3,naive,1057,28.222222222222218
cremad,hubert_base,balanced@3,naive,1058,33.77777777777778
cremad,hubert_base,balanced@3,naive,1059,28.666666666666668
cremad,hubert_base,balanced@3,naive,1060,23.555555555555554
cremad,hubert_base,balanced@3,naive,1061,30.222222222222218
cremad,hubert_base,balanced@3,naive,1062,26.222222222222225
cremad,hubert_base,balanced@3,naive,1063,29.555555555555557
cremad,hubert_base,balanced@3,naive,1064,41.111111111111114
cremad,hubert_base,balanced@3,naive,1065,37.333333333333336
cremad,hubert_base,balanced@3,naive,1066,25.777777777777775
cremad,hubert_base,balanced@3,naive,1067,19.555555555555557
cremad,hubert_base,balanced@3,naive,1068,28.666666666666668
cremad,hubert_base,balanced@3,naive,1069,30.444444444444446
cremad,hubert_base,balanced@3,naive,1070,25.777777777777775
cremad,hubert_base,balanced@3,naive,1071,30.444444444444446
cremad,hubert_base,balanced@3,naive,1072,31.55555555555556
cremad,hubert_base,balanced@3,naive,1073,24.666666666666668
cremad,hubert_base,balanced@3,naive,1074,33.111111111111114
cremad,hubert_base,balanced@3,naive,1075,31.555555555555557
cremad,hubert_base,balanced@3,naive,1076,25.444444444444446
cremad,hubert_base,balanced@3,naive,1077,27.11111111111111
cremad,hubert_base,balanced@3,naive,1078,30.666666666666668
cremad,hubert_base,balanced@3,naive,1079,30.222222222222218
cremad,hubert_base,balanced@3,naive,1080,32.88888888888889
cremad,hubert_base,balanced@3,naive,1081,28.444444444444443
cremad,hubert_base,balanced@3,naive,1082,20.666666666666664
cremad,hubert_base,balanced@3,naive,1083,29.777777777777782
cremad,hubert_base,balanced@3,naive,1084,32.44444444444445
cremad,hubert_base,balanced@3,naive,1085,30.666666666666668
cremad,hubert_base,balanced@3,naive,1086,28.666666666666668
cremad,hubert_base,balanced@3,naive,1087,30.444444444444443
cremad,hubert_base,balanced@3,naive,1088,28.88888888888889
cremad,hubert_base,balanced@3,naive,1089,33.55555555555556
cremad,hubert_base,balanced@3,naive,1090,30.222222222222218
cremad,hubert_base,balanced@3,naive,1091,29.777777777777775
cremad,hubert_base,balanced@3,shrink,1001,48.666666666666664
cremad,hubert_base,balanced@3,shrink,1002,65.27777777777779
cremad,hubert_base,balanced@3,shrink,1003,68.44444444444444
cremad,hubert_base,balanced@3,shrink,1004,77.1111111111111
cremad,hubert_base,balanced@3,shrink,1005,64.8888888888889
cremad,hubert_base,balanced@3,shrink,1006,65.27777777777776
cremad,hubert_base,balanced@3,shrink,1007,66.66666666666667
cremad,hubert_base,balanced@3,shrink,1008,59.44444444444445
cremad,hubert_base,balanced@3,shrink,1009,78.66666666666667
cremad,hubert_base,balanced@3,shrink,1010,75.1111111111111
cremad,hubert_base,balanced@3,shrink,1011,82.66666666666667
cremad,hubert_base,balanced@3,shrink,1012,68.88888888888889
cremad,hubert_base,balanced@3,shrink,1013,83.94444444444444
cremad,hubert_base,balanced@3,shrink,1014,91.1111111111111
cremad,hubert_base,balanced@3,shrink,1015,63.333333333333336
cremad,hubert_base,balanced@3,shrink,1016,76.44444444444446
cremad,hubert_base,balanced@3,shrink,1017,51.833333333333336
cremad,hubert_base,balanced@3,shrink,1018,80.0
cremad,hubert_base,balanced@3,shrink,1019,63.333333333333336
cremad,hubert_base,balanced@3,shrink,1020,80.44444444444446
cremad,hubert_base,balanced@3,shrink,1021,61.33333333333332
cremad,hubert_base,balanced@3,shrink,1022,74.22222222222223
cremad,hubert_base,balanced@3,shrink,1023,71.11111111111111
cremad,hubert_base,balanced@3,shrink,1024,57.77777777777778
cremad,hubert_base,balanced@3,shrink,1025,55.555555555555564
cremad,hubert_base,balanced@3,shrink,1026,74.44444444444446
cremad,hubert_base,balanced@3,shrink,1027,81.55555555555556
cremad,hubert_base,balanced@3,shrink,1028,60.888888888888886
cremad,hubert_base,balanced@3,shrink,1029,58.666666666666664
cremad,hubert_base,balanced@3,shrink,1030,75.33333333333333
cremad,hubert_base,balanced@3,shrink,1031,32.666666666666664
cremad,hubert_base,balanced@3,shrink,1032,53.111111111111114
cremad,hubert_base,balanced@3,shrink,1033,93.77777777777779
cremad,hubert_base,balanced@3,shrink,1034,51.333333333333336
