level,model,n_speakers,global_uar,balanced_N3_naive_uar,single_N3_naive_uar,single_minus_global,single_minus_global_lo,single_minus_global_hi,single_minus_balanced,single_minus_balanced_lo,single_minus_balanced_hi,class_matched_secondary,class_matched_secondary_lo,class_matched_secondary_hi,reference_class_recall_change,reference_class_recall_change_lo,reference_class_recall_change_hi,recovery_shrink,recovery_shrink_lo,recovery_shrink_hi,recovery_neutral_filter,recovery_neutral_filter_lo,recovery_neutral_filter_hi,recovery_prior_corrected,recovery_prior_corrected_lo,recovery_prior_corrected_hi,harm_share_naive,harm_share_naive_lo,harm_share_naive_hi,harm_share_shrink,harm_share_shrink_lo,harm_share_shrink_hi,harm_share_neutral_filter,harm_share_neutral_filter_lo,harm_share_neutral_filter_hi,harm_share_prior_corrected,harm_share_prior_corrected_lo,harm_share_prior_corrected_hi,other_minus_self_balanced,other_minus_self_balanced_lo,other_minus_self_balanced_hi,other_minus_self_single,other_minus_self_single_lo,other_minus_self_single_hi
cremad,wavlm_base_plus,91,70.36019536019536,27.57264957264957,27.73982498982499,-42.620370370370374,-44.53964947089947,-40.58830128205128,0.16717541717541692,-0.32357295482295534,0.6455153642653634,-0.05942205942205994,-0.5665750915750926,0.4407967032967026,-53.31746031746032,-55.530647130647125,-51.064667277167274,40.54456654456654,38.70753968253968,42.35129222629222,33.132682132682135,31.920113451363456,34.344971001221005,39.542938542938536,37.901683964183974,41.14825752950753,1.0,1.0,1.0,0.4945054945054945,0.3956043956043956,0.5934065934065934,0.8901098901098901,0.8241758241758241,0.945054945054945,0.6043956043956044,0.5054945054945055,0.7032967032967034,-0.4163614163614169,-1.1312576312576312,0.26863553113553096,-0.6811151811151812,-1.0203576516076516,-0.34899776149776207
cremad,hubert_base,91,69.0018315018315,29.77289377289378,28.350020350020344,-40.65181115181116,-42.7769943019943,-38.44828551078552,-1.422873422873423,-2.029309116809117,-0.8324938949938948,-1.7283272283272288,-2.3113603988604,-1.151404151404152,-51.63369963369963,-54.036691086691086,-49.194123931623935,39.80067155067155,37.778283984533985,41.77535358160359,33.06715506715506,31.687380443630445,34.454838217338214,39.235347985347985,37.41123321123321,41.086034798534804,1.0,1.0,1.0,0.4175824175824176,0.31868131868131866,0.5164835164835165,0.8461538461538461,0.7692307692307693,0.9120879120879121,0.4065934065934066,0.3076923076923077,0.5054945054945055,-1.8009768009768015,-2.50915750915751,-1.1043803418803424,-1.3260073260073262,-1.6288156288156292,-1.013118131868132
cremad,wav2vec2_base,91,64.35592185592185,25.571428571428566,24.394179894179878,-39.96174196174197,-42.23067765567766,-37.67124287749287,-1.1772486772486772,-1.7009615384615375,-0.6418396418396415,-1.078347578347578,-1.6066391941391933,-0.5569546194546199,-47.5140415140415,-50.02809829059828,-45.009737484737485,38.26200651200651,36.33273046398046,40.14393823768824,31.005494505494507,29.672822547822552,32.32381461131461,36.93701668701669,35.1635582010582,38.67703245828246,1.0,1.0,1.0,0.5604395604395604,0.46153846153846156,0.6593406593406593,0.8021978021978022,0.7252747252747253,0.8791208791208791,0.6043956043956044,0.5054945054945055,0.7032967032967034,-1.7460317460317463,-2.4053876678876684,-1.1001221001221,-1.208689458689459,-1.5355184167684168,-0.9036401098901101
ravdess,wavlm_base_plus,24,57.85590277777778,16.805555555555557,17.751736111111114,-40.104166666666664,-44.077473958333336,-36.169270833333336,0.946180555555555,0.1053447420634915,1.7770337301587293,0.9606481481481483,0.12442129629629671,1.7969473379629626,-47.291666666666664,-51.31944444444445,-43.392857142857146,36.867559523809526,33.531715029761905,40.18123759920635,26.68898809523809,23.995504712301585,29.49032738095238,29.53249007936508,26.558624751984123,32.59312996031746,1.0,1.0,1.0,0.7083333333333334,0.5,0.875,0.9166666666666666,0.7916666666666666,1.0,0.9166666666666666,0.7916666666666666,1.0,0.034722222222222175,-1.0243055555555554,1.0763888888888886,-0.8618551587301586,-1.431051587301587,-0.29513888888888873
ravdess,hubert_base,24,57.85590277777777,17.51736111111111,18.079117063492056,-39.776785714285715,-43.9016617063492,-35.60506572420635,0.561755952380953,-0.5754278273809524,1.7312127976190474,0.8651620370370375,-0.33854166666666585,2.0428964120370368,-45.77380952380952,-50.24851190476191,-41.25992063492064,34.60069444444445,30.505952380952383,38.59130084325397,26.315724206349206,23.40519593253968,29.283234126984127,28.23660714285714,25.11511036706349,31.470765128968253,1.0,1.0,1.0,0.7916666666666666,0.625,0.9583333333333334,0.9583333333333334,0.875,1.0,0.9166666666666666,0.7916666666666666,1.0,-0.1302083333333329,-1.2586805555555547,0.9722222222222223,-0.38938492063492064,-1.1099020337301588,0.41176835317460236
ravdess,wav2vec2_base,24,56.46701388888889,16.276041666666668,17.411954365079367,-39.055059523809526,-44.11219618055555,-33.56017485119048,1.135912698412698,0.25917658730158694,2.0324900793650786,0.7262731481481483,-0.23726851851851796,1.6608796296296298,-44.49404761904761,-50.029761904761905,-38.84920634920635,34.17782738095238,29.918092757936506,38.30496651785714,26.113591269841276,23.218005952380953,29.00055803571429,28.291170634920636,24.72956969246032,31.758587549603174,1.0,1.0,1.0,0.625,0.4166666666666667,0.7916666666666666,0.9166666666666666,0.7916666666666666,1.0,0.8333333333333334,0.6666666666666666,0.9583333333333334,0.19965277777777754,-1.0158420138888888,1.449652777777778,-0.6187996031746033,-1.2983630952380951,0.14260912698412678
subesco_980,wavlm_base_plus,20,47.93650793650794,18.6031746031746,19.47392290249433,-28.462585034013607,-33.136167800453514,-24.090702947845806,0.8707482993197269,-0.24263038548752827,2.061281179138321,1.338624338624338,0.010449735449734637,2.6190476190476177,-32.952380952380956,-38.809523809523796,-27.76190476190476,24.743764172335595,21.947845804988656,27.505668934240354,17.151927437641724,15.242630385487526,19.07942176870748,21.317460317460313,19.240306122448978,23.349206349206348,1.0,1.0,1.0,0.55,0.35,0.75,0.95,0.85,1.0,0.65,0.45,0.85,0.3333333333333341,-1.0793650793650789,1.7777777777777772,-0.015873015873015782,-0.8299886621315197,0.8276643990929704
subesco_980,hubert_base,20,43.095238095238095,19.25396825396825,19.439909297052154,-23.65532879818594,-27.235884353741508,-19.81383219954649,0.18594104308390086,-0.7256235827664381,1.0816326530612246,0.5608465608465605,-0.46031746031746046,1.5925925925925921,-27.523809523809526,-32.00039682539683,-22.730158730158728,19.607709750566897,16.675566893424037,22.35612244897959,13.863945578231291,11.868424036281176,15.700736961451243,16.36281179138322,14.113265306122448,18.410430839002267,1.0,1.0,1.0,0.7,0.5,0.9,0.9,0.75,1.0,0.8,0.6,0.95,-0.5714285714285717,-1.6507936507936525,0.6190476190476178,-1.2358276643990929,-2.086224489795918,-0.3967687074829941
subesco_980,wav2vec2_base,20,44.76190476190476,18.777777777777775,18.013605442176875,-26.748299319727884,-29.69637188208616,-23.841269841269842,-0.7641723356009059,-1.8594104308390011,0.3539115646258491,-0.17460317460317382,-1.5608465608465594,1.127116402116402,-30.095238095238095,-33.44444444444444,-26.793650793650794,22.43083900226757,19.129195011337863,25.399092970521536,17.24036281179138,14.83894557823129,19.442176870748295,19.598639455782312,16.809410430839,22.39234693877551,1.0,1.0,1.0,0.55,0.35,0.75,0.9,0.75,1.0,0.9,0.75,1.0,-0.904761904761904,-2.4603174603174596,0.7301587301587299,0.21315192743764158,-0.3877551020408165,0.7891156462585034
