corpus,model,window,criterion,n_draws,folds_per_draw,df,mean_pp,sd_draw_pp,se_pp,pointwise_95_low_pp,pointwise_95_high_pp
subesco,wavlm_base_plus,1,CE,24,5,23,0.0,0.0,0.0,0.0,0.0
subesco,wavlm_base_plus,1,UAR,24,5,23,0.0,0.0,0.0,0.0,0.0
subesco,wavlm_base_plus,2,CE,24,5,23,0.0,0.0,0.0,0.0,0.0
subesco,wavlm_base_plus,2,UAR,24,5,23,0.014880952380952397,1.101942136166028,0.22493299663993915,-0.45042840295262004,0.4801903077145248
subesco,wavlm_base_plus,3,CE,24,5,23,0.29761904761904756,1.1375393879832252,0.23219925523973037,-0.18272170886625583,0.777959804104351
subesco,wavlm_base_plus,3,UAR,24,5,23,-0.13392857142857154,1.372391047487091,0.2801381494922576,-0.7134384863444394,0.4455813434872964
subesco,wavlm_base_plus,4,CE,24,5,23,0.11904761904761917,1.4465739389672212,0.2952806688064723,-0.49178698368851637,0.7298822217837547
subesco,wavlm_base_plus,4,UAR,24,5,23,0.32738095238095233,1.0735830650007356,0.21914422547875234,-0.12595341743505667,0.7807153221969614
subesco,wavlm_base_plus,5,CE,24,5,23,1.056547619047619,1.6023190778033491,0.3270720121454254,0.37994761196791327,1.7331476261273249
subesco,wavlm_base_plus,5,UAR,24,5,23,0.17857142857142852,2.4061810379152098,0.491159647637724,-0.8374697144450877,1.1946125715879448
subesco,wavlm_base_plus,6,CE,24,5,23,1.4732142857142856,1.937100131905752,0.3954089086539234,0.6552486375998565,2.2911799338287144
subesco,wavlm_base_plus,6,UAR,24,5,23,-0.16369047619047616,1.9418657461732256,0.3963816855927766,-0.983668466722704,0.6562875143417517
subesco,wavlm_base_plus,7,CE,24,5,23,1.5922619047619047,1.9475690905122829,0.39754587588095003,0.7698756031300709,2.4146482063937382
subesco,wavlm_base_plus,7,UAR,24,5,23,0.29761904761904745,1.966519527880274,0.4014141177104625,-0.5327693219123486,1.1280074171504435
subesco,wavlm_base_plus,8,CE,24,5,23,1.369047619047619,1.9121879052629775,0.39032372168464297,0.5616014816575957,2.1764937564376425
subesco,wavlm_base_plus,8,UAR,24,5,23,0.788690476190476,2.2439388109223386,0.45804209173227917,-0.15884178276376326,1.7362227351447155
subesco,wavlm_base_plus,9,CE,24,5,23,1.7708333333333333,2.4072851540839637,0.4913850244069077,0.7543259629480337,2.787340703718633
subesco,wavlm_base_plus,9,UAR,24,5,23,0.7886904761904763,2.2340312922713674,0.45601972795628026,-0.15465820454750712,1.7320391569284597
subesco,wavlm_base_plus,10,CE,24,5,23,1.5922619047619047,2.124609590595867,0.4336841166319453,0.6951179563733687,2.4894058531504406
subesco,wavlm_base_plus,10,UAR,24,5,23,-0.04464285714285723,1.8402013339369274,0.3756295243445355,-0.8216917313762678,0.7324060170905534
subesco,wavlm_base_plus,11,CE,24,5,23,1.8601190476190477,2.3829733917406344,0.4864224066994937,0.8538776341217904,2.866360461116305
subesco,wavlm_base_plus,11,UAR,24,5,23,0.6101190476190477,1.9489923188299962,0.39783639114477315,-0.21286823062423665,1.433106325862332
subesco,wavlm_base_plus,12,CE,24,5,23,2.142857142857143,2.678830215242104,0.5468139279077656,1.0116863494076105,3.274027936306675
subesco,wavlm_base_plus,12,UAR,24,5,23,0.044642857142857206,2.1176375667808096,0.4322609582301601,-0.8495570637869939,0.9388427780727083
subesco,wavlm_base_plus,13,CE,24,5,23,2.1279761904761902,2.727003481618739,0.5566472547299264,0.9764636106602573,3.279488770292123
subesco,wavlm_base_plus,13,UAR,24,5,23,-0.08928571428571432,2.8808219089940006,0.5880453097388216,-1.3057501195481545,1.1271786909767256
subesco,wavlm_base_plus,14,CE,24,5,23,2.3363095238095237,2.3454423669065783,0.4787614183355636,1.3459160721946422,3.3267029754244053
