corpus,model,window,criterion,draw,folds,seen_minus_unseen_outer_uar_pp
subesco,wavlm_base_plus,3,CE,0,5,1.785714285714286
subesco,wavlm_base_plus,3,CE,1,5,0.0
subesco,wavlm_base_plus,3,CE,2,5,0.0
subesco,wavlm_base_plus,3,CE,3,5,3.5714285714285707
subesco,wavlm_base_plus,3,CE,4,5,1.0714285714285707
subesco,wavlm_base_plus,3,CE,5,5,0.0
subesco,wavlm_base_plus,3,CE,6,5,-0.7142857142857132
subesco,wavlm_base_plus,3,CE,7,5,-0.35714285714285693
subesco,wavlm_base_plus,3,CE,8,5,1.0714285714285716
subesco,wavlm_base_plus,3,CE,9,5,1.785714285714286
subesco,wavlm_base_plus,3,CE,10,5,0.0
subesco,wavlm_base_plus,3,CE,11,5,0.3571428571428562
subesco,wavlm_base_plus,3,CE,12,5,0.0
subesco,wavlm_base_plus,3,CE,13,5,0.0
subesco,wavlm_base_plus,3,CE,14,5,0.0
subesco,wavlm_base_plus,3,CE,15,5,0.0
subesco,wavlm_base_plus,3,CE,16,5,0.0
subesco,wavlm_base_plus,3,CE,17,5,1.0714285714285707
subesco,wavlm_base_plus,3,CE,18,5,0.0
subesco,wavlm_base_plus,3,CE,19,5,1.4285714285714293
subesco,wavlm_base_plus,3,CE,20,5,-1.0714285714285716
subesco,wavlm_base_plus,3,CE,21,5,0.35714285714285693
subesco,wavlm_base_plus,3,CE,22,5,-1.785714285714286
subesco,wavlm_base_plus,3,CE,23,5,-1.4285714285714293
subesco,wavlm_base_plus,3,UAR,0,5,-0.35714285714285693
subesco,wavlm_base_plus,3,UAR,1,5,-0.35714285714285693
subesco,wavlm_base_plus,3,UAR,2,5,1.785714285714286
subesco,wavlm_base_plus,3,UAR,3,5,1.4285714285714284
subesco,wavlm_base_plus,3,UAR,4,5,-0.7142857142857139
subesco,wavlm_base_plus,3,UAR,5,5,-1.0714285714285723
subesco,wavlm_base_plus,3,UAR,6,5,-0.7142857142857146
subesco,wavlm_base_plus,3,UAR,7,5,0.35714285714285693
subesco,wavlm_base_plus,3,UAR,8,5,-1.4285714285714277
subesco,wavlm_base_plus,3,UAR,9,5,-1.785714285714286
subesco,wavlm_base_plus,3,UAR,10,5,0.0
subesco,wavlm_base_plus,3,UAR,11,5,-1.0714285714285716
subesco,wavlm_base_plus,3,UAR,12,5,0.7142857142857139
subesco,wavlm_base_plus,3,UAR,13,5,0.0
subesco,wavlm_base_plus,3,UAR,14,5,0.0
subesco,wavlm_base_plus,3,UAR,15,5,-1.785714285714286
subesco,wavlm_base_plus,3,UAR,16,5,2.1428571428571432
subesco,wavlm_base_plus,3,UAR,17,5,-2.5
subesco,wavlm_base_plus,3,UAR,18,5,0.7142857142857146
subesco,wavlm_base_plus,3,UAR,19,5,-0.7142857142857146
subesco,wavlm_base_plus,3,UAR,20,5,1.7857142857142847
subesco,wavlm_base_plus,3,UAR,21,5,2.5
subesco,wavlm_base_plus,3,UAR,22,5,0.0
subesco,wavlm_base_plus,3,UAR,23,5,-2.1428571428571437
subesco,wavlm_base_plus,4,CE,0,5,-0.7142857142857153
subesco,wavlm_base_plus,4,CE,1,5,0.0
subesco,wavlm_base_plus,4,CE,2,5,-0.35714285714285693
subesco,wavlm_base_plus,4,CE,3,5,4.285714285714286
subesco,wavlm_base_plus,4,CE,4,5,0.0
subesco,wavlm_base_plus,4,CE,5,5,0.0
subesco,wavlm_base_plus,4,CE,6,5,0.7142857142857146
subesco,wavlm_base_plus,4,CE,7,5,-1.4285714285714277
subesco,wavlm_base_plus,4,CE,8,5,1.785714285714286
subesco,wavlm_base_plus,4,CE,9,5,-1.0714285714285707
subesco,wavlm_base_plus,4,CE,10,5,1.785714285714286
subesco,wavlm_base_plus,4,CE,11,5,2.5
subesco,wavlm_base_plus,4,CE,12,5,0.35714285714285765
subesco,wavlm_base_plus,4,CE,13,5,0.0
subesco,wavlm_base_plus,4,CE,14,5,-2.8571428571428563
subesco,wavlm_base_plus,4,CE,15,5,-7.105427357601002e-16
subesco,wavlm_base_plus,4,CE,16,5,0.0
