corpus,window,draw,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_uar,T_unseen_ce_uar,T_seen_uar_uar,T_unseen_uar_uar,last_window_outer_uar,ce_disagreement,uar_disagreement
cremad,8,0,-0.07507507507507398,-0.14145724672040103,0.06638217164532705,56.34751835990227,56.422593434977344,57.52398894813756,57.665446194857964,56.963691808893046,0.4,0.6
cremad,8,1,2.742308872339831,0.6140350877192973,2.1282737846205335,57.098290240705104,54.35598136836527,56.982818732044734,56.36878364432545,53.13864948539871,0.6,0.4
cremad,8,2,0.8793820558526448,0.29708853238265076,0.5822935234699941,57.57247396566282,56.69309190981018,57.57247396566282,57.275385433280164,55.22375457359978,0.2,0.4
cremad,8,3,0.7017543859649109,-0.7585139318885453,1.4602683178534561,57.59592832348251,56.894173937517586,56.223379303874665,56.98189323576321,55.777746505300684,0.2,0.6
cremad,8,4,0.7017543859649124,0.47534165181223925,0.22641273415267307,56.86077295984417,56.15901857387926,57.12393085458101,56.64858920276877,55.55530340360061,0.2,0.2
cremad,8,5,0.0,-1.0319917440660475,1.0319917440660475,53.631495272362145,53.631495272362145,53.337377625303326,54.36936936936937,53.85490753911806,0.0,0.4
cremad,8,6,2.679273700945528,0.4898875796708637,2.1893861212746644,55.684715111959704,53.00544141101417,55.00735325812725,54.51746567845639,53.50971010413734,0.6,0.6
cremad,8,7,-1.102823904681489,-0.5159958720330238,-0.5868280326484652,54.75471812933114,55.857542034012624,55.96743520892128,56.483431080954304,55.244343696356076,0.6,0.4
cremad,8,8,-1.7362479281983965,-0.6092935040303473,-1.1269544241680491,52.461575000274685,54.19782292847309,54.488627383364225,55.09792088739457,53.165962190729985,0.6,0.6
cremad,8,9,0.7017543859649124,0.8820417055711175,-0.1802873196062052,54.45909708912804,53.75734270316313,54.45909708912804,53.57705538355693,53.20476026667977,0.2,0.6
cremad,8,10,1.906843516750638,1.589406744205506,0.31743677254513186,54.29988530607726,52.39304178932662,55.59907923685014,54.00967249264463,50.761227030576876,0.8,0.6
cremad,8,11,-1.4765300059417696,0.86533902323376,-2.3418690291755295,55.85032823422917,57.32685824017094,56.54254451468074,55.677205491446976,55.90784001000719,0.2,0.4
cremad,8,12,0.0,-0.35087719298245756,0.35087719298245756,53.416205397629554,53.416205397629554,53.32848609938393,53.67936329236638,49.104981705600906,0.0,0.2
cremad,8,13,-0.8410732714138263,0.6862745098039212,-1.5273477812177476,57.00820015061502,57.849273422028844,57.56547569241068,56.87920118260676,52.523359272585274,0.4,0.2
cremad,8,14,0.8991048464732643,-0.21200626463784572,1.11111111111111,55.11063695274222,54.211532106268955,54.35571935571935,54.5677256203572,53.18454818454818,0.6,0.4
cremad,8,15,2.7038183694530473,0.7843137254901947,1.9195046439628527,55.356037151702786,52.65221878224975,55.97007223942209,55.18575851393189,54.65944272445821,0.4,0.2
cremad,8,16,0.6914344685242526,0.08771929824561368,0.6037151702786389,52.20846233230134,51.517027863777095,54.48916408668731,54.40144478844169,53.29721362229102,0.4,0.2
cremad,8,17,0.3626043718922986,0.0,0.3626043718922986,56.972350904239455,56.60974653234715,56.972350904239455,56.972350904239455,53.29567112848847,0.4,0.0
cremad,8,18,0.08771929824561368,-0.9188910272501616,1.0066103254957752,54.685052347591046,54.59733304934544,54.4679157063058,55.38680673355596,54.49973756475305,0.2,0.8
cremad,8,19,-0.3508771929824562,-0.8101135190918469,0.4592363261093908,56.91434468524252,57.26522187822498,56.71826625386997,57.52837977296182,57.68833849329205,0.4,0.6
cremad,8,20,0.0,1.1713106295149658,-1.1713106295149658,53.988804453200736,53.988804453200736,55.1601150827157,53.988804453200736,53.707977608906404,0.0,0.4
cremad,8,21,1.6815210932857994,0.43880779174896817,1.2427133015368312,56.65476199531927,54.97324090203347,55.203558469812336,54.764750678063365,54.79951806577193,0.4,0.4
cremad,8,22,0.0,-0.23219814241485892,0.23219814241485892,55.531319385808544,55.531319385808544,55.211401945148076,55.443600087562935,52.54604872251931,0.0,0.4
cremad,8,23,0.2427969765431044,-1.6821465428276525,1.924943519370757,55.60650433715449,55.363707360611386,53.697319610632306,55.379466153459965,54.98452012383901,0.4,0.8
cremad,10,0,-0.07507507507507398,1.6043287869913272,-1.6794038620664011,56.34751835990227,56.422593434977344,59.34217076631937,57.73784197932805,55.96448967965996,0.4,0.8
cremad,10,1,2.742308872339831,-0.5675954592363268,3.3099043315761576,57.098290240705104,54.35598136836527,58.08188993947508,58.649485398711406,55.58446991883525,0.6,0.4
cremad,10,2,0.8793820558526448,0.29708853238265076,0.5822935234699941,57.57247396566282,56.69309190981018,57.57247396566282,57.275385433280164,52.483034681177095,0.2,0.4
cremad,10,3,0.17543859649122454,0.7843137254901947,-0.6088751289989702,57.59592832348251,57.42048972699128,58.29252275072709,57.50820902523689,56.76142227225819,0.6,0.6
cremad,10,4,0.7017543859649124,0.4082621884479437,0.29349219751696864,57.12393085458101,56.4221764686161,57.75860577718163,57.35034358873368,54.20929936409813,0.2,0.6
cremad,10,5,-0.4901960784313701,-0.10556996625108325,-0.38462611218028686,53.631495272362145,54.12169135079351,55.43497057428946,55.54054054054054,53.3320782082392,0.2,0.8
cremad,10,6,1.8020807184893868,0.1390103866884033,1.6630703318009836,55.684715111959704,53.88263439347031,54.79954764784486,54.660537261156456,54.34343434343434,0.4,0.6
cremad,10,7,0.43107841869451846,-1.315223188288202,1.7463016069827204,56.28862045270714,55.857542034012624,55.78935535591883,57.10457854420703,54.153551243334526,0.8,0.8
cremad,10,8,-2.443318635269101,-0.6092935040303473,-1.8340251312387537,53.269655808355495,55.7129744436246,55.296708191445035,55.90600169547538,50.988687815313206,0.4,0.6
cremad,10,9,0.7017543859649124,1.1244942421413016,-0.42273985617638915,55.77488656281226,55.073132176847345,56.60557439350009,55.48108015135879,54.1494340426229,0.2,0.4
cremad,10,10,1.906843516750638,1.9123922684294201,-0.005548751678782082,54.29988530607726,52.39304178932662,56.412260839505414,54.499868571076,51.5347475254596,0.8,0.6
cremad,10,11,-1.4765300059417696,-0.8042985287567334,-0.6722314771850364,55.85032823422917,57.32685824017094,56.01622872520706,56.82052725396379,54.37414898715208,0.2,0.4
cremad,10,12,1.0814022578728455,-0.2631578947368439,1.3445601526096893,54.49760765550239,53.416205397629554,54.409888357256776,54.67304625199362,48.74675548050161,0.2,0.2
cremad,10,13,-0.05159958720330025,0.3921568627450995,-0.44375644994839974,57.79767383482554,57.849273422028844,57.70995453657993,57.31779767383482,52.13385211837224,0.4,0.4
cremad,10,14,0.8991048464732643,-1.1769185453396005,2.076023391812865,55.11063695274222,54.211532106268955,54.28129086023823,55.458209405577826,52.40980214664425,0.6,0.8
cremad,10,15,3.1424148606811158,-0.3560371517027875,3.498452012383903,55.794633642930854,52.65221878224975,55.26831785345718,55.62435500515996,51.589267285861716,0.4,0.6
cremad,10,16,3.4107327141382866,2.2910216718266256,1.1197110423116612,54.92776057791538,51.517027863777095,58.008255933952526,55.717234262125906,56.07843137254902,0.6,0.8
cremad,10,17,1.4152359508396657,-0.5215742057847322,1.9368101566243978,58.02498248318682,56.60974653234715,58.51814944694202,59.03972365272675,57.00391075004078,0.6,0.2
