unit_id,corpus,draw,fold,window,seen_ce_epoch,T_seen_ce_uar,unseen_ce_epoch,T_unseen_ce_uar,seen_uar_epoch,T_seen_uar_uar,unseen_uar_epoch,T_unseen_uar_uar,D_CE_pp,D_UAR_pp,J_pp,ce_disagreement,uar_disagreement,last_window_outer_uar
fpc_formal_cremad_d00_f0_A,cremad,0,0,8,6,55.03793266951161,4,49.85775248933144,6,55.03793266951161,8,51.505452821242294,5.180180180180173,3.5324798482693183,1.6477003319108547,1,1,51.505452821242294
fpc_formal_cremad_d00_f1_A,cremad,0,1,8,6,65.35087719298247,6,65.35087719298247,6,65.35087719298247,7,64.03508771929825,0.0,1.3157894736842195,-1.3157894736842195,0,1,64.91228070175438
fpc_formal_cremad_d00_f2_A,cremad,0,2,8,5,58.333333333333336,5,58.333333333333336,5,58.333333333333336,5,58.333333333333336,0.0,0.0,0.0,0,0,53.94736842105263
fpc_formal_cremad_d00_f3_A,cremad,0,3,8,7,52.52525252525253,8,58.080808080808076,7,52.52525252525253,8,58.080808080808076,-5.555555555555543,-5.555555555555543,0.0,1,1,58.080808080808076
fpc_formal_cremad_d00_f4_A,cremad,0,4,8,4,50.49019607843137,4,50.49019607843137,8,56.372549019607845,8,56.372549019607845,0.0,0.0,0.0,0,0,56.372549019607845
fpc_formal_cremad_d01_f0_A,cremad,1,0,8,4,54.385964912280706,4,54.385964912280706,5,54.824561403508774,4,54.385964912280706,0.0,0.43859649122806843,-0.43859649122806843,0,1,55.70175438596491
fpc_formal_cremad_d01_f1_A,cremad,1,1,8,6,53.31910858226647,5,48.921289710763396,8,53.28354670459934,8,53.28354670459934,4.397818871503077,0.0,4.397818871503077,1,0,53.28354670459934
fpc_formal_cremad_d01_f2_A,cremad,1,2,8,5,59.64912280701754,5,59.64912280701754,5,59.64912280701754,6,57.01754385964912,0.0,2.6315789473684177,-2.6315789473684177,0,1,59.64912280701754
fpc_formal_cremad_d01_f3_A,cremad,1,3,8,6,56.372549019607845,5,55.392156862745104,5,55.392156862745104,5,55.392156862745104,0.9803921568627416,0.0,0.9803921568627416,1,0,42.15686274509804
fpc_formal_cremad_d01_f4_A,cremad,1,4,8,7,61.76470588235294,4,53.431372549019606,7,61.76470588235294,7,61.76470588235294,8.333333333333336,0.0,8.333333333333336,1,0,54.90196078431373
fpc_formal_cremad_d02_f0_A,cremad,2,0,8,7,66.22807017543859,7,66.22807017543859,7,66.22807017543859,8,66.22807017543859,0.0,0.0,0.0,0,1,66.22807017543859
fpc_formal_cremad_d02_f1_A,cremad,2,1,8,6,57.01754385964912,6,57.01754385964912,6,57.01754385964912,6,57.01754385964912,0.0,0.0,0.0,0,0,55.70175438596491
fpc_formal_cremad_d02_f2_A,cremad,2,2,8,8,58.333333333333336,8,58.333333333333336,8,58.333333333333336,8,58.333333333333336,0.0,0.0,0.0,0,0,58.333333333333336
fpc_formal_cremad_d02_f3_A,cremad,2,3,8,5,54.426619132501486,5,54.426619132501486,5,54.426619132501486,5,54.426619132501486,0.0,0.0,0.0,0,0,43.99881164587047
fpc_formal_cremad_d02_f4_A,cremad,2,4,8,8,51.85680332739157,4,47.45989304812834,8,51.85680332739157,7,50.37136066547831,4.396910279263224,1.485442661913254,2.9114676173499703,1,1,51.85680332739157
