corpus,model,contrast,protocol_a,protocol_b,metric,status,reason,point_mean_difference,speaker_difference_sample_sd,ci95_low,ci95_high,bootstrap_seed,bootstrap_replicates,n_speakers,n_speakers_expected,n_required_seed_cells,n_missing_seed_cells,n_missing_units,n_failed_units,n_invalid_units,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_error,sign_test_p_sensitivity,n_zero_differences,holm_family_size,holm_adjusted_p,holm_reject_0_05
ravdess,transformer,GL,groupkfold,loso,uar,complete,,-0.015190972222222222,0.067837402528869953,-0.04144965277777779,0.01193576388888889,202608101744,10000,24,24,6,0,0,0,0,112.5,0.28363259112146677,,,0,24,0.56726518224293354,false
ravdess,transformer,GL,groupkfold,loso,accuracy,complete,,-0.014583333333333337,0.067483174181704131,-0.040972222222222222,0.012500000000000002,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,transformer,GL,groupkfold,loso,macro_f1,complete,,-0.014029830941223833,0.074097343874937868,-0.042854499411285704,0.015834649416278317,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,fno,RG,random,groupkfold,uar,complete,,0.15386284722222224,0.083063693729918911,0.12282443576388889,0.18815104166666666,202608101744,10000,24,24,6,0,0,0,0,0,2.681397871432194e-05,,,1,24,0.0003217677445718633,true
ravdess,fno,RG,random,groupkfold,accuracy,complete,,0.15162037037037038,0.076866280196920572,0.12268518518518519,0.18310185185185182,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,fno,RG,random,groupkfold,macro_f1,complete,,0.18058247835956473,0.084416640466114093,0.14889261392918027,0.21575764843956413,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,fno,RL,random,loso,uar,complete,,0.1328125,0.075460292450499927,0.1052517361111111,0.16471896701388883,202608101744,10000,24,24,6,0,0,0,0,0,2.6987022409679446e-05,,,1,24,0.0003217677445718633,true
ravdess,fno,RL,random,loso,accuracy,complete,,0.13078703703703706,0.070805107887188773,0.1041666666666667,0.16041666666666665,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,fno,RL,random,loso,macro_f1,complete,,0.15846073276761424,0.077208230456525154,0.13042771710582007,0.191090497130189,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,fno,GL,groupkfold,loso,uar,complete,,-0.021050347222222227,0.053787324108730092,-0.041666666666666678,-0.00021701388888888581,202608101744,10000,24,24,6,0,0,0,0,78.5,0.070230280909419615,,,1,24,0.35115140454709809,false
