sequence,unit_id,corpus,model,protocol,seed,outer_fold,status,reason,n_expected_predictions,n_observed_predictions
308,ravdess__fno__random__s0__f001,ravdess,fno,random,0,1,success,,288,288
309,ravdess__fno__random__s0__f002,ravdess,fno,random,0,2,success,,288,288
310,ravdess__fno__random__s0__f003,ravdess,fno,random,0,3,success,,288,288
311,ravdess__fno__random__s0__f004,ravdess,fno,random,0,4,success,,288,288
312,ravdess__fno__random__s1__f000,ravdess,fno,random,1,0,success,,288,288
313,ravdess__fno__random__s1__f001,ravdess,fno,random,1,1,success,,288,288
314,ravdess__fno__random__s1__f002,ravdess,fno,random,1,2,success,,288,288
315,ravdess__fno__random__s1__f003,ravdess,fno,random,1,3,success,,288,288
316,ravdess__fno__random__s1__f004,ravdess,fno,random,1,4,success,,288,288
317,ravdess__fno__random__s2__f000,ravdess,fno,random,2,0,success,,288,288
318,ravdess__fno__random__s2__f001,ravdess,fno,random,2,1,success,,288,288
319,ravdess__fno__random__s2__f002,ravdess,fno,random,2,2,success,,288,288
320,ravdess__fno__random__s2__f003,ravdess,fno,random,2,3,success,,288,288
321,ravdess__fno__random__s2__f004,ravdess,fno,random,2,4,success,,288,288
322,ravdess__fno__groupkfold__s0__f000,ravdess,fno,groupkfold,0,0,success,,300,300
323,ravdess__fno__groupkfold__s0__f001,ravdess,fno,groupkfold,0,1,success,,300,300
324,ravdess__fno__groupkfold__s0__f002,ravdess,fno,groupkfold,0,2,success,,300,300
325,ravdess__fno__groupkfold__s0__f003,ravdess,fno,groupkfold,0,3,success,,300,300
326,ravdess__fno__groupkfold__s0__f004,ravdess,fno,groupkfold,0,4,success,,240,240
327,ravdess__fno__groupkfold__s1__f000,ravdess,fno,groupkfold,1,0,success,,300,300
328,ravdess__fno__groupkfold__s1__f001,ravdess,fno,groupkfold,1,1,success,,300,300
329,ravdess__fno__groupkfold__s1__f002,ravdess,fno,groupkfold,1,2,success,,300,300
330,ravdess__fno__groupkfold__s1__f003,ravdess,fno,groupkfold,1,3,success,,300,300
331,ravdess__fno__groupkfold__s1__f004,ravdess,fno,groupkfold,1,4,success,,240,240
332,ravdess__fno__groupkfold__s2__f000,ravdess,fno,groupkfold,2,0,success,,300,300
333,ravdess__fno__groupkfold__s2__f001,ravdess,fno,groupkfold,2,1,success,,300,300
334,ravdess__fno__groupkfold__s2__f002,ravdess,fno,groupkfold,2,2,success,,300,300
335,ravdess__fno__groupkfold__s2__f003,ravdess,fno,groupkfold,2,3,success,,300,300
336,ravdess__fno__groupkfold__s2__f004,ravdess,fno,groupkfold,2,4,success,,240,240
337,ravdess__fno__loso__s0__f000,ravdess,fno,loso,0,0,success,,60,60
338,ravdess__fno__loso__s0__f001,ravdess,fno,loso,0,1,success,,60,60
339,ravdess__fno__loso__s0__f002,ravdess,fno,loso,0,2,success,,60,60
340,ravdess__fno__loso__s0__f003,ravdess,fno,loso,0,3,success,,60,60
341,ravdess__fno__loso__s0__f004,ravdess,fno,loso,0,4,success,,60,60
342,ravdess__fno__loso__s0__f005,ravdess,fno,loso,0,5,success,,60,60
343,ravdess__fno__loso__s0__f006,ravdess,fno,loso,0,6,success,,60,60
344,ravdess__fno__loso__s0__f007,ravdess,fno,loso,0,7,success,,60,60
345,ravdess__fno__loso__s0__f008,ravdess,fno,loso,0,8,success,,60,60
346,ravdess__fno__loso__s0__f009,ravdess,fno,loso,0,9,success,,60,60
347,ravdess__fno__loso__s0__f010,ravdess,fno,loso,0,10,success,,60,60
348,ravdess__fno__loso__s0__f011,ravdess,fno,loso,0,11,success,,60,60
349,ravdess__fno__loso__s0__f012,ravdess,fno,loso,0,12,success,,60,60
350,ravdess__fno__loso__s0__f013,ravdess,fno,loso,0,13,success,,60,60
351,ravdess__fno__loso__s0__f014,ravdess,fno,loso,0,14,success,,60,60
352,ravdess__fno__loso__s0__f015,ravdess,fno,loso,0,15,success,,60,60
353,ravdess__fno__loso__s0__f016,ravdess,fno,loso,0,16,success,,60,60
354,ravdess__fno__loso__s0__f017,ravdess,fno,loso,0,17,success,,60,60
355,ravdess__fno__loso__s0__f018,ravdess,fno,loso,0,18,success,,60,60
356,ravdess__fno__loso__s0__f019,ravdess,fno,loso,0,19,success,,60,60
357,ravdess__fno__loso__s0__f020,ravdess,fno,loso,0,20,success,,60,60
358,ravdess__fno__loso__s0__f021,ravdess,fno,loso,0,21,success,,60,60
359,ravdess__fno__loso__s0__f022,ravdess,fno,loso,0,22,success,,60,60
360,ravdess__fno__loso__s0__f023,ravdess,fno,loso,0,23,success,,60,60
361,ravdess__fno__loso__s1__f000,ravdess,fno,loso,1,0,success,,60,60
362,ravdess__fno__loso__s1__f001,ravdess,fno,loso,1,1,success,,60,60
363,ravdess__fno__loso__s1__f002,ravdess,fno,loso,1,2,success,,60,60
364,ravdess__fno__loso__s1__f003,ravdess,fno,loso,1,3,success,,60,60
365,ravdess__fno__loso__s1__f004,ravdess,fno,loso,1,4,success,,60,60
366,ravdess__fno__loso__s1__f005,ravdess,fno,loso,1,5,success,,60,60
367,ravdess__fno__loso__s1__f006,ravdess,fno,loso,1,6,success,,60,60
368,ravdess__fno__loso__s1__f007,ravdess,fno,loso,1,7,success,,60,60
369,ravdess__fno__loso__s1__f008,ravdess,fno,loso,1,8,success,,60,60
370,ravdess__fno__loso__s1__f009,ravdess,fno,loso,1,9,success,,60,60
371,ravdess__fno__loso__s1__f010,ravdess,fno,loso,1,10,success,,60,60
372,ravdess__fno__loso__s1__f011,ravdess,fno,loso,1,11,success,,60,60
373,ravdess__fno__loso__s1__f012,ravdess,fno,loso,1,12,success,,60,60
374,ravdess__fno__loso__s1__f013,ravdess,fno,loso,1,13,success,,60,60
375,ravdess__fno__loso__s1__f014,ravdess,fno,loso,1,14,success,,60,60
376,ravdess__fno__loso__s1__f015,ravdess,fno,loso,1,15,success,,60,60
377,ravdess__fno__loso__s1__f016,ravdess,fno,loso,1,16,success,,60,60
378,ravdess__fno__loso__s1__f017,ravdess,fno,loso,1,17,success,,60,60
379,ravdess__fno__loso__s1__f018,ravdess,fno,loso,1,18,success,,60,60
380,ravdess__fno__loso__s1__f019,ravdess,fno,loso,1,19,success,,60,60
381,ravdess__fno__loso__s1__f020,ravdess,fno,loso,1,20,success,,60,60
382,ravdess__fno__loso__s1__f021,ravdess,fno,loso,1,21,success,,60,60
383,ravdess__fno__loso__s1__f022,ravdess,fno,loso,1,22,success,,60,60
384,ravdess__fno__loso__s1__f023,ravdess,fno,loso,1,23,success,,60,60
385,ravdess__fno__loso__s2__f000,ravdess,fno,loso,2,0,success,,60,60
386,ravdess__fno__loso__s2__f001,ravdess,fno,loso,2,1,success,,60,60
387,ravdess__fno__loso__s2__f002,ravdess,fno,loso,2,2,success,,60,60
388,ravdess__fno__loso__s2__f003,ravdess,fno,loso,2,3,success,,60,60
389,ravdess__fno__loso__s2__f004,ravdess,fno,loso,2,4,success,,60,60
390,ravdess__fno__loso__s2__f005,ravdess,fno,loso,2,5,success,,60,60
391,ravdess__fno__loso__s2__f006,ravdess,fno,loso,2,6,success,,60,60
392,ravdess__fno__loso__s2__f007,ravdess,fno,loso,2,7,success,,60,60
393,ravdess__fno__loso__s2__f008,ravdess,fno,loso,2,8,success,,60,60
394,ravdess__fno__loso__s2__f009,ravdess,fno,loso,2,9,success,,60,60
395,ravdess__fno__loso__s2__f010,ravdess,fno,loso,2,10,success,,60,60
396,ravdess__fno__loso__s2__f011,ravdess,fno,loso,2,11,success,,60,60
397,ravdess__fno__loso__s2__f012,ravdess,fno,loso,2,12,success,,60,60
398,ravdess__fno__loso__s2__f013,ravdess,fno,loso,2,13,success,,60,60
399,ravdess__fno__loso__s2__f014,ravdess,fno,loso,2,14,success,,60,60
400,ravdess__fno__loso__s2__f015,ravdess,fno,loso,2,15,success,,60,60
401,ravdess__fno__loso__s2__f016,ravdess,fno,loso,2,16,success,,60,60
402,ravdess__fno__loso__s2__f017,ravdess,fno,loso,2,17,success,,60,60
403,ravdess__fno__loso__s2__f018,ravdess,fno,loso,2,18,success,,60,60
404,ravdess__fno__loso__s2__f019,ravdess,fno,loso,2,19,success,,60,60
405,ravdess__fno__loso__s2__f020,ravdess,fno,loso,2,20,success,,60,60
406,ravdess__fno__loso__s2__f021,ravdess,fno,loso,2,21,success,,60,60
407,ravdess__fno__loso__s2__f022,ravdess,fno,loso,2,22,success,,60,60
408,ravdess__fno__loso__s2__f023,ravdess,fno,loso,2,23,success,,60,60
409,cremad__cnn__random__s0__f000,cremad,cnn,random,0,0,success,,1489,1489
410,cremad__cnn__random__s0__f001,cremad,cnn,random,0,1,success,,1489,1489
411,cremad__cnn__random__s0__f002,cremad,cnn,random,0,2,success,,1488,1488
412,cremad__cnn__random__s0__f003,cremad,cnn,random,0,3,success,,1488,1488
413,cremad__cnn__random__s0__f004,cremad,cnn,random,0,4,success,,1488,1488
414,cremad__cnn__random__s1__f000,cremad,cnn,random,1,0,success,,1489,1489
415,cremad__cnn__random__s1__f001,cremad,cnn,random,1,1,success,,1489,1489
416,cremad__cnn__random__s1__f002,cremad,cnn,random,1,2,success,,1488,1488
417,cremad__cnn__random__s1__f003,cremad,cnn,random,1,3,success,,1488,1488
418,cremad__cnn__random__s1__f004,cremad,cnn,random,1,4,success,,1488,1488
419,cremad__cnn__random__s2__f000,cremad,cnn,random,2,0,success,,1489,1489
420,cremad__cnn__random__s2__f001,cremad,cnn,random,2,1,success,,1489,1489
421,cremad__cnn__random__s2__f002,cremad,cnn,random,2,2,success,,1488,1488
422,cremad__cnn__random__s2__f003,cremad,cnn,random,2,3,success,,1488,1488
423,cremad__cnn__random__s2__f004,cremad,cnn,random,2,4,success,,1488,1488
424,cremad__cnn__groupkfold__s0__f000,cremad,cnn,groupkfold,0,0,success,,1476,1476
425,cremad__cnn__groupkfold__s0__f001,cremad,cnn,groupkfold,0,1,success,,1475,1475
426,cremad__cnn__groupkfold__s0__f002,cremad,cnn,groupkfold,0,2,success,,1475,1475
427,cremad__cnn__groupkfold__s0__f003,cremad,cnn,groupkfold,0,3,success,,1546,1546
428,cremad__cnn__groupkfold__s0__f004,cremad,cnn,groupkfold,0,4,success,,1470,1470
429,cremad__cnn__groupkfold__s1__f000,cremad,cnn,groupkfold,1,0,success,,1476,1476
430,cremad__cnn__groupkfold__s1__f001,cremad,cnn,groupkfold,1,1,success,,1475,1475
431,cremad__cnn__groupkfold__s1__f002,cremad,cnn,groupkfold,1,2,success,,1475,1475
432,cremad__cnn__groupkfold__s1__f003,cremad,cnn,groupkfold,1,3,success,,1546,1546
433,cremad__cnn__groupkfold__s1__f004,cremad,cnn,groupkfold,1,4,success,,1470,1470
434,cremad__cnn__groupkfold__s2__f000,cremad,cnn,groupkfold,2,0,success,,1476,1476
435,cremad__cnn__groupkfold__s2__f001,cremad,cnn,groupkfold,2,1,success,,1475,1475
436,cremad__cnn__groupkfold__s2__f002,cremad,cnn,groupkfold,2,2,success,,1475,1475
437,cremad__cnn__groupkfold__s2__f003,cremad,cnn,groupkfold,2,3,success,,1546,1546
438,cremad__cnn__groupkfold__s2__f004,cremad,cnn,groupkfold,2,4,success,,1470,1470
439,cremad__cnn__loso__s0__f000,cremad,cnn,loso,0,0,success,,82,82
440,cremad__cnn__loso__s0__f001,cremad,cnn,loso,0,1,success,,81,81
441,cremad__cnn__loso__s0__f002,cremad,cnn,loso,0,2,success,,82,82
442,cremad__cnn__loso__s0__f003,cremad,cnn,loso,0,3,success,,82,82
443,cremad__cnn__loso__s0__f004,cremad,cnn,loso,0,4,success,,82,82
444,cremad__cnn__loso__s0__f005,cremad,cnn,loso,0,5,success,,82,82
445,cremad__cnn__loso__s0__f006,cremad,cnn,loso,0,6,success,,82,82
446,cremad__cnn__loso__s0__f007,cremad,cnn,loso,0,7,success,,76,76
447,cremad__cnn__loso__s0__f008,cremad,cnn,loso,0,8,success,,76,76
448,cremad__cnn__loso__s0__f009,cremad,cnn,loso,0,9,success,,82,82
449,cremad__cnn__loso__s0__f010,cremad,cnn,loso,0,10,success,,82,82
450,cremad__cnn__loso__s0__f011,cremad,cnn,loso,0,11,success,,82,82
451,cremad__cnn__loso__s0__f012,cremad,cnn,loso,0,12,success,,82,82
452,cremad__cnn__loso__s0__f013,cremad,cnn,loso,0,13,success,,82,82
453,cremad__cnn__loso__s0__f014,cremad,cnn,loso,0,14,success,,82,82
454,cremad__cnn__loso__s0__f015,cremad,cnn,loso,0,15,success,,82,82
455,cremad__cnn__loso__s0__f016,cremad,cnn,loso,0,16,success,,82,82
456,cremad__cnn__loso__s0__f017,cremad,cnn,loso,0,17,success,,82,82
457,cremad__cnn__loso__s0__f018,cremad,cnn,loso,0,18,success,,76,76
458,cremad__cnn__loso__s0__f019,cremad,cnn,loso,0,19,success,,82,82
459,cremad__cnn__loso__s0__f020,cremad,cnn,loso,0,20,success,,82,82
460,cremad__cnn__loso__s0__f021,cremad,cnn,loso,0,21,success,,82,82
461,cremad__cnn__loso__s0__f022,cremad,cnn,loso,0,22,success,,82,82
462,cremad__cnn__loso__s0__f023,cremad,cnn,loso,0,23,success,,82,82
463,cremad__cnn__loso__s0__f024,cremad,cnn,loso,0,24,success,,82,82
464,cremad__cnn__loso__s0__f025,cremad,cnn,loso,0,25,success,,82,82
465,cremad__cnn__loso__s0__f026,cremad,cnn,loso,0,26,success,,82,82
466,cremad__cnn__loso__s0__f027,cremad,cnn,loso,0,27,success,,82,82
467,cremad__cnn__loso__s0__f028,cremad,cnn,loso,0,28,success,,82,82
468,cremad__cnn__loso__s0__f029,cremad,cnn,loso,0,29,success,,82,82
469,cremad__cnn__loso__s0__f030,cremad,cnn,loso,0,30,success,,82,82
470,cremad__cnn__loso__s0__f031,cremad,cnn,loso,0,31,success,,82,82
471,cremad__cnn__loso__s0__f032,cremad,cnn,loso,0,32,success,,82,82
472,cremad__cnn__loso__s0__f033,cremad,cnn,loso,0,33,success,,82,82
473,cremad__cnn__loso__s0__f034,cremad,cnn,loso,0,34,success,,82,82
474,cremad__cnn__loso__s0__f035,cremad,cnn,loso,0,35,success,,82,82
475,cremad__cnn__loso__s0__f036,cremad,cnn,loso,0,36,success,,82,82
476,cremad__cnn__loso__s0__f037,cremad,cnn,loso,0,37,success,,82,82
477,cremad__cnn__loso__s0__f038,cremad,cnn,loso,0,38,success,,82,82
478,cremad__cnn__loso__s0__f039,cremad,cnn,loso,0,39,success,,82,82
479,cremad__cnn__loso__s0__f040,cremad,cnn,loso,0,40,success,,82,82
480,cremad__cnn__loso__s0__f041,cremad,cnn,loso,0,41,success,,82,82
481,cremad__cnn__loso__s0__f042,cremad,cnn,loso,0,42,success,,82,82
482,cremad__cnn__loso__s0__f043,cremad,cnn,loso,0,43,success,,82,82
483,cremad__cnn__loso__s0__f044,cremad,cnn,loso,0,44,success,,82,82
484,cremad__cnn__loso__s0__f045,cremad,cnn,loso,0,45,success,,82,82
485,cremad__cnn__loso__s0__f046,cremad,cnn,loso,0,46,success,,82,82
486,cremad__cnn__loso__s0__f047,cremad,cnn,loso,0,47,success,,82,82
487,cremad__cnn__loso__s0__f048,cremad,cnn,loso,0,48,success,,82,82
488,cremad__cnn__loso__s0__f049,cremad,cnn,loso,0,49,success,,82,82
489,cremad__cnn__loso__s0__f050,cremad,cnn,loso,0,50,success,,82,82
490,cremad__cnn__loso__s0__f051,cremad,cnn,loso,0,51,success,,82,82
491,cremad__cnn__loso__s0__f052,cremad,cnn,loso,0,52,success,,82,82
492,cremad__cnn__loso__s0__f053,cremad,cnn,loso,0,53,success,,82,82
493,cremad__cnn__loso__s0__f054,cremad,cnn,loso,0,54,success,,82,82
494,cremad__cnn__loso__s0__f055,cremad,cnn,loso,0,55,success,,82,82
495,cremad__cnn__loso__s0__f056,cremad,cnn,loso,0,56,success,,82,82
496,cremad__cnn__loso__s0__f057,cremad,cnn,loso,0,57,success,,82,82
497,cremad__cnn__loso__s0__f058,cremad,cnn,loso,0,58,success,,82,82
498,cremad__cnn__loso__s0__f059,cremad,cnn,loso,0,59,success,,82,82
499,cremad__cnn__loso__s0__f060,cremad,cnn,loso,0,60,success,,82,82
500,cremad__cnn__loso__s0__f061,cremad,cnn,loso,0,61,success,,82,82
501,cremad__cnn__loso__s0__f062,cremad,cnn,loso,0,62,success,,82,82
502,cremad__cnn__loso__s0__f063,cremad,cnn,loso,0,63,success,,82,82
503,cremad__cnn__loso__s0__f064,cremad,cnn,loso,0,64,success,,82,82
504,cremad__cnn__loso__s0__f065,cremad,cnn,loso,0,65,success,,82,82
505,cremad__cnn__loso__s0__f066,cremad,cnn,loso,0,66,success,,82,82
506,cremad__cnn__loso__s0__f067,cremad,cnn,loso,0,67,success,,82,82
507,cremad__cnn__loso__s0__f068,cremad,cnn,loso,0,68,success,,82,82
508,cremad__cnn__loso__s0__f069,cremad,cnn,loso,0,69,success,,82,82
509,cremad__cnn__loso__s0__f070,cremad,cnn,loso,0,70,success,,82,82
510,cremad__cnn__loso__s0__f071,cremad,cnn,loso,0,71,success,,82,82
511,cremad__cnn__loso__s0__f072,cremad,cnn,loso,0,72,success,,82,82
512,cremad__cnn__loso__s0__f073,cremad,cnn,loso,0,73,success,,82,82
513,cremad__cnn__loso__s0__f074,cremad,cnn,loso,0,74,success,,82,82
514,cremad__cnn__loso__s0__f075,cremad,cnn,loso,0,75,success,,81,81
515,cremad__cnn__loso__s0__f076,cremad,cnn,loso,0,76,success,,82,82
516,cremad__cnn__loso__s0__f077,cremad,cnn,loso,0,77,success,,82,82
517,cremad__cnn__loso__s0__f078,cremad,cnn,loso,0,78,success,,82,82
518,cremad__cnn__loso__s0__f079,cremad,cnn,loso,0,79,success,,82,82
519,cremad__cnn__loso__s0__f080,cremad,cnn,loso,0,80,success,,82,82
520,cremad__cnn__loso__s0__f081,cremad,cnn,loso,0,81,success,,82,82
521,cremad__cnn__loso__s0__f082,cremad,cnn,loso,0,82,success,,82,82
522,cremad__cnn__loso__s0__f083,cremad,cnn,loso,0,83,success,,82,82
523,cremad__cnn__loso__s0__f084,cremad,cnn,loso,0,84,success,,82,82
524,cremad__cnn__loso__s0__f085,cremad,cnn,loso,0,85,success,,82,82
525,cremad__cnn__loso__s0__f086,cremad,cnn,loso,0,86,success,,82,82
526,cremad__cnn__loso__s0__f087,cremad,cnn,loso,0,87,success,,82,82
527,cremad__cnn__loso__s0__f088,cremad,cnn,loso,0,88,success,,82,82
528,cremad__cnn__loso__s0__f089,cremad,cnn,loso,0,89,success,,82,82
529,cremad__cnn__loso__s0__f090,cremad,cnn,loso,0,90,success,,82,82
530,cremad__cnn__loso__s1__f000,cremad,cnn,loso,1,0,success,,82,82
531,cremad__cnn__loso__s1__f001,cremad,cnn,loso,1,1,success,,81,81
532,cremad__cnn__loso__s1__f002,cremad,cnn,loso,1,2,success,,82,82
533,cremad__cnn__loso__s1__f003,cremad,cnn,loso,1,3,success,,82,82
534,cremad__cnn__loso__s1__f004,cremad,cnn,loso,1,4,success,,82,82
535,cremad__cnn__loso__s1__f005,cremad,cnn,loso,1,5,success,,82,82
536,cremad__cnn__loso__s1__f006,cremad,cnn,loso,1,6,success,,82,82
537,cremad__cnn__loso__s1__f007,cremad,cnn,loso,1,7,success,,76,76
538,cremad__cnn__loso__s1__f008,cremad,cnn,loso,1,8,success,,76,76
539,cremad__cnn__loso__s1__f009,cremad,cnn,loso,1,9,success,,82,82
540,cremad__cnn__loso__s1__f010,cremad,cnn,loso,1,10,success,,82,82
541,cremad__cnn__loso__s1__f011,cremad,cnn,loso,1,11,success,,82,82
542,cremad__cnn__loso__s1__f012,cremad,cnn,loso,1,12,success,,82,82
543,cremad__cnn__loso__s1__f013,cremad,cnn,loso,1,13,success,,82,82
544,cremad__cnn__loso__s1__f014,cremad,cnn,loso,1,14,success,,82,82
545,cremad__cnn__loso__s1__f015,cremad,cnn,loso,1,15,success,,82,82
546,cremad__cnn__loso__s1__f016,cremad,cnn,loso,1,16,success,,82,82
547,cremad__cnn__loso__s1__f017,cremad,cnn,loso,1,17,success,,82,82
548,cremad__cnn__loso__s1__f018,cremad,cnn,loso,1,18,success,,76,76
549,cremad__cnn__loso__s1__f019,cremad,cnn,loso,1,19,success,,82,82
550,cremad__cnn__loso__s1__f020,cremad,cnn,loso,1,20,success,,82,82
551,cremad__cnn__loso__s1__f021,cremad,cnn,loso,1,21,success,,82,82
552,cremad__cnn__loso__s1__f022,cremad,cnn,loso,1,22,success,,82,82
553,cremad__cnn__loso__s1__f023,cremad,cnn,loso,1,23,success,,82,82
554,cremad__cnn__loso__s1__f024,cremad,cnn,loso,1,24,success,,82,82
555,cremad__cnn__loso__s1__f025,cremad,cnn,loso,1,25,success,,82,82
556,cremad__cnn__loso__s1__f026,cremad,cnn,loso,1,26,success,,82,82
557,cremad__cnn__loso__s1__f027,cremad,cnn,loso,1,27,success,,82,82
558,cremad__cnn__loso__s1__f028,cremad,cnn,loso,1,28,success,,82,82
559,cremad__cnn__loso__s1__f029,cremad,cnn,loso,1,29,success,,82,82
560,cremad__cnn__loso__s1__f030,cremad,cnn,loso,1,30,success,,82,82
561,cremad__cnn__loso__s1__f031,cremad,cnn,loso,1,31,success,,82,82
562,cremad__cnn__loso__s1__f032,cremad,cnn,loso,1,32,success,,82,82
563,cremad__cnn__loso__s1__f033,cremad,cnn,loso,1,33,success,,82,82
564,cremad__cnn__loso__s1__f034,cremad,cnn,loso,1,34,success,,82,82
565,cremad__cnn__loso__s1__f035,cremad,cnn,loso,1,35,success,,82,82
566,cremad__cnn__loso__s1__f036,cremad,cnn,loso,1,36,success,,82,82
567,cremad__cnn__loso__s1__f037,cremad,cnn,loso,1,37,success,,82,82
568,cremad__cnn__loso__s1__f038,cremad,cnn,loso,1,38,success,,82,82
569,cremad__cnn__loso__s1__f039,cremad,cnn,loso,1,39,success,,82,82
570,cremad__cnn__loso__s1__f040,cremad,cnn,loso,1,40,success,,82,82
571,cremad__cnn__loso__s1__f041,cremad,cnn,loso,1,41,success,,82,82
572,cremad__cnn__loso__s1__f042,cremad,cnn,loso,1,42,success,,82,82
573,cremad__cnn__loso__s1__f043,cremad,cnn,loso,1,43,success,,82,82
574,cremad__cnn__loso__s1__f044,cremad,cnn,loso,1,44,success,,82,82
575,cremad__cnn__loso__s1__f045,cremad,cnn,loso,1,45,success,,82,82
576,cremad__cnn__loso__s1__f046,cremad,cnn,loso,1,46,success,,82,82
577,cremad__cnn__loso__s1__f047,cremad,cnn,loso,1,47,success,,82,82
578,cremad__cnn__loso__s1__f048,cremad,cnn,loso,1,48,success,,82,82
579,cremad__cnn__loso__s1__f049,cremad,cnn,loso,1,49,success,,82,82
580,cremad__cnn__loso__s1__f050,cremad,cnn,loso,1,50,success,,82,82
581,cremad__cnn__loso__s1__f051,cremad,cnn,loso,1,51,success,,82,82
582,cremad__cnn__loso__s1__f052,cremad,cnn,loso,1,52,success,,82,82
583,cremad__cnn__loso__s1__f053,cremad,cnn,loso,1,53,success,,82,82
584,cremad__cnn__loso__s1__f054,cremad,cnn,loso,1,54,success,,82,82
585,cremad__cnn__loso__s1__f055,cremad,cnn,loso,1,55,success,,82,82
586,cremad__cnn__loso__s1__f056,cremad,cnn,loso,1,56,success,,82,82
587,cremad__cnn__loso__s1__f057,cremad,cnn,loso,1,57,success,,82,82
588,cremad__cnn__loso__s1__f058,cremad,cnn,loso,1,58,success,,82,82
589,cremad__cnn__loso__s1__f059,cremad,cnn,loso,1,59,success,,82,82
590,cremad__cnn__loso__s1__f060,cremad,cnn,loso,1,60,success,,82,82
591,cremad__cnn__loso__s1__f061,cremad,cnn,loso,1,61,success,,82,82
592,cremad__cnn__loso__s1__f062,cremad,cnn,loso,1,62,success,,82,82
593,cremad__cnn__loso__s1__f063,cremad,cnn,loso,1,63,success,,82,82
594,cremad__cnn__loso__s1__f064,cremad,cnn,loso,1,64,success,,82,82
595,cremad__cnn__loso__s1__f065,cremad,cnn,loso,1,65,success,,82,82
596,cremad__cnn__loso__s1__f066,cremad,cnn,loso,1,66,success,,82,82
597,cremad__cnn__loso__s1__f067,cremad,cnn,loso,1,67,success,,82,82
598,cremad__cnn__loso__s1__f068,cremad,cnn,loso,1,68,success,,82,82
599,cremad__cnn__loso__s1__f069,cremad,cnn,loso,1,69,success,,82,82
600,cremad__cnn__loso__s1__f070,cremad,cnn,loso,1,70,success,,82,82
601,cremad__cnn__loso__s1__f071,cremad,cnn,loso,1,71,success,,82,82
602,cremad__cnn__loso__s1__f072,cremad,cnn,loso,1,72,success,,82,82
603,cremad__cnn__loso__s1__f073,cremad,cnn,loso,1,73,success,,82,82
604,cremad__cnn__loso__s1__f074,cremad,cnn,loso,1,74,success,,82,82
605,cremad__cnn__loso__s1__f075,cremad,cnn,loso,1,75,success,,81,81
606,cremad__cnn__loso__s1__f076,cremad,cnn,loso,1,76,success,,82,82
607,cremad__cnn__loso__s1__f077,cremad,cnn,loso,1,77,success,,82,82
608,cremad__cnn__loso__s1__f078,cremad,cnn,loso,1,78,success,,82,82
609,cremad__cnn__loso__s1__f079,cremad,cnn,loso,1,79,success,,82,82
610,cremad__cnn__loso__s1__f080,cremad,cnn,loso,1,80,success,,82,82
611,cremad__cnn__loso__s1__f081,cremad,cnn,loso,1,81,success,,82,82
612,cremad__cnn__loso__s1__f082,cremad,cnn,loso,1,82,success,,82,82
613,cremad__cnn__loso__s1__f083,cremad,cnn,loso,1,83,success,,82,82
614,cremad__cnn__loso__s1__f084,cremad,cnn,loso,1,84,success,,82,82
615,cremad__cnn__loso__s1__f085,cremad,cnn,loso,1,85,success,,82,82
616,cremad__cnn__loso__s1__f086,cremad,cnn,loso,1,86,success,,82,82
617,cremad__cnn__loso__s1__f087,cremad,cnn,loso,1,87,success,,82,82
618,cremad__cnn__loso__s1__f088,cremad,cnn,loso,1,88,success,,82,82
619,cremad__cnn__loso__s1__f089,cremad,cnn,loso,1,89,success,,82,82
620,cremad__cnn__loso__s1__f090,cremad,cnn,loso,1,90,success,,82,82
621,cremad__cnn__loso__s2__f000,cremad,cnn,loso,2,0,success,,82,82
622,cremad__cnn__loso__s2__f001,cremad,cnn,loso,2,1,success,,81,81
623,cremad__cnn__loso__s2__f002,cremad,cnn,loso,2,2,success,,82,82
624,cremad__cnn__loso__s2__f003,cremad,cnn,loso,2,3,success,,82,82
625,cremad__cnn__loso__s2__f004,cremad,cnn,loso,2,4,success,,82,82
626,cremad__cnn__loso__s2__f005,cremad,cnn,loso,2,5,success,,82,82
627,cremad__cnn__loso__s2__f006,cremad,cnn,loso,2,6,success,,82,82
628,cremad__cnn__loso__s2__f007,cremad,cnn,loso,2,7,success,,76,76
629,cremad__cnn__loso__s2__f008,cremad,cnn,loso,2,8,success,,76,76
630,cremad__cnn__loso__s2__f009,cremad,cnn,loso,2,9,success,,82,82
631,cremad__cnn__loso__s2__f010,cremad,cnn,loso,2,10,success,,82,82
632,cremad__cnn__loso__s2__f011,cremad,cnn,loso,2,11,success,,82,82
633,cremad__cnn__loso__s2__f012,cremad,cnn,loso,2,12,success,,82,82
634,cremad__cnn__loso__s2__f013,cremad,cnn,loso,2,13,success,,82,82
635,cremad__cnn__loso__s2__f014,cremad,cnn,loso,2,14,success,,82,82
636,cremad__cnn__loso__s2__f015,cremad,cnn,loso,2,15,success,,82,82
637,cremad__cnn__loso__s2__f016,cremad,cnn,loso,2,16,success,,82,82
638,cremad__cnn__loso__s2__f017,cremad,cnn,loso,2,17,success,,82,82
639,cremad__cnn__loso__s2__f018,cremad,cnn,loso,2,18,success,,76,76
640,cremad__cnn__loso__s2__f019,cremad,cnn,loso,2,19,success,,82,82
641,cremad__cnn__loso__s2__f020,cremad,cnn,loso,2,20,success,,82,82
642,cremad__cnn__loso__s2__f021,cremad,cnn,loso,2,21,success,,82,82
