corpus,model,protocol,seed,status,reason,n_utterances,n_speakers,uar,accuracy,macro_f1
ravdess,cnn,random,0,complete,,1440,24,0.55859375,0.54305555555555551,0.51687506286856011
ravdess,cnn,random,1,complete,,1440,24,0.56575520833333337,0.55555555555555558,0.53382408638531653
ravdess,cnn,random,2,complete,,1440,24,0.58138020833333337,0.56805555555555554,0.54269473904006293
ravdess,cnn,groupkfold,0,complete,,1440,24,0.38606770833333331,0.38263888888888886,0.3583954451887269
ravdess,cnn,groupkfold,1,complete,,1440,24,0.396484375,0.38819444444444445,0.3620077385400971
ravdess,cnn,groupkfold,2,complete,,1440,24,0.39192708333333331,0.37986111111111109,0.35721165282828504
ravdess,cnn,loso,0,complete,,1440,24,0.47200520833333337,0.47083333333333333,0.44718916507019002
ravdess,cnn,loso,1,complete,,1440,24,0.46419270833333337,0.45624999999999999,0.43663796645733832
ravdess,cnn,loso,2,complete,,1440,24,0.4375,0.43055555555555558,0.40866629917260083
ravdess,resnet_se,random,0,complete,,1440,24,0.67578125,0.66180555555555554,0.6501068891905315
ravdess,resnet_se,random,1,complete,,1440,24,0.66015625,0.64861111111111114,0.63952395373917237
ravdess,resnet_se,random,2,complete,,1440,24,0.64518229166666663,0.63749999999999996,0.62553306395571195
ravdess,resnet_se,groupkfold,0,complete,,1440,24,0.48111979166666669,0.47708333333333336,0.45533441345938042
ravdess,resnet_se,groupkfold,1,complete,,1440,24,0.43489583333333331,0.42916666666666664,0.41489249155516095
ravdess,resnet_se,groupkfold,2,complete,,1440,24,0.474609375,0.46458333333333335,0.44885547490089633
ravdess,resnet_se,loso,0,complete,,1440,24,0.53645833333333326,0.53055555555555556,0.52101478844864657
ravdess,resnet_se,loso,1,complete,,1440,24,0.49544270833333337,0.48958333333333331,0.47708810496006554
ravdess,resnet_se,loso,2,complete,,1440,24,0.49088541666666669,0.48680555555555555,0.47675206749456228
ravdess,transformer,random,0,complete,,1440,24,0.56966145833333326,0.56666666666666665,0.55645098695470274
ravdess,transformer,random,1,complete,,1440,24,0.59244791666666674,0.58680555555555558,0.57863339241535605
ravdess,transformer,random,2,complete,,1440,24,0.55859375,0.55555555555555558,0.5467369744043229
ravdess,transformer,groupkfold,0,complete,,1440,24,0.39973958333333331,0.40000000000000002,0.39081413892456163
ravdess,transformer,groupkfold,1,complete,,1440,24,0.42513020833333331,0.42152777777777778,0.40724941085283239
ravdess,transformer,groupkfold,2,complete,,1440,24,0.40559895833333331,0.40347222222222223,0.39729764639257226
ravdess,transformer,loso,0,complete,,1440,24,0.43684895833333337,0.43263888888888891,0.41892258864692089
ravdess,transformer,loso,1,complete,,1440,24,0.39778645833333337,0.39930555555555558,0.38691407592129679
ravdess,transformer,loso,2,complete,,1440,24,0.44140625,0.43680555555555556,0.43056313272472346
ravdess,fno,random,0,complete,,1440,24,0.54427083333333326,0.53055555555555556,0.52184376876065075
ravdess,fno,random,1,complete,,1440,24,0.568359375,0.55555555555555558,0.54856446173480689
ravdess,fno,random,2,complete,,1440,24,0.56119791666666674,0.5493055555555556,0.53947803273492079
ravdess,fno,groupkfold,0,complete,,1440,24,0.41796875,0.40902777777777777,0.38731261206519307
ravdess,fno,groupkfold,1,complete,,1440,24,0.41471354166666669,0.40347222222222223,0.37857428236066781
ravdess,fno,groupkfold,2,complete,,1440,24,0.37955729166666669,0.36805555555555558,0.35330114335499235
ravdess,fno,loso,0,complete,,1440,24,0.419921875,0.41180555555555554,0.39542513181098715
ravdess,fno,loso,1,complete,,1440,24,0.42252604166666663,0.41111111111111109,0.39287095042938952
ravdess,fno,loso,2,complete,,1440,24,0.43294270833333337,0.4201388888888889,0.39662770491440341
cremad,cnn,random,0,complete,,7442,91,0.58800920976536242,0.58371405536146193,0.57961491659635833
cremad,cnn,random,1,complete,,7442,91,0.57970155361107867,0.57538296156947055,0.57059444523395353
cremad,cnn,random,2,complete,,7442,91,0.59120278252074743,0.58680462241332976,0.58265707301942937
cremad,cnn,groupkfold,0,complete,,7442,91,0.54953542220230944,0.54488040849234076,0.53836310316492331
cremad,cnn,groupkfold,1,complete,,7442,91,0.55938624243648138,0.55536146197258807,0.55035423405995954
cremad,cnn,groupkfold,2,complete,,7442,91,0.566267509278648,0.56261757592045147,0.5602424400650915
cremad,cnn,loso,0,complete,,7442,91,0.57342334158718622,0.56933619994625095,0.56567249603654224
cremad,cnn,loso,1,complete,,7442,91,0.57929995939422851,0.57551733404998662,0.5718702931010432
