corpus,model,contrast,protocol_a,protocol_b,speaker_id,status,reason,n_required_seeds_per_protocol,uar_difference,accuracy_difference,macro_f1_difference
ravdess,cnn,RG,random,groupkfold,22,complete,,3,0.14583333333333331,0.13888888888888884,0.15573101004602558
ravdess,cnn,RG,random,groupkfold,23,complete,,3,0.29166666666666663,0.27777777777777779,0.2299726271797996
ravdess,cnn,RG,random,groupkfold,24,complete,,3,0.19270833333333331,0.16111111111111115,0.17594944937243689
ravdess,cnn,RL,random,loso,01,complete,,3,0.083333333333333259,0.094444444444444331,0.096441756828669734
ravdess,cnn,RL,random,loso,02,complete,,3,0.19791666666666663,0.2055555555555556,0.22441260570467064
ravdess,cnn,RL,random,loso,03,complete,,3,0.02604166666666663,0.027777777777777901,0.042950798801322632
ravdess,cnn,RL,random,loso,04,complete,,3,0.21354166666666669,0.20555555555555555,0.20572352211746808
ravdess,cnn,RL,random,loso,05,complete,,3,0.0625,0.044444444444444453,0.068900261335733848
ravdess,cnn,RL,random,loso,06,complete,,3,0.140625,0.11666666666666659,0.16485936449171734
ravdess,cnn,RL,random,loso,07,complete,,3,0.02083333333333337,0.022222222222222365,0.026283867795314997
ravdess,cnn,RL,random,loso,08,complete,,3,0.088541666666666741,0.088888888888888795,0.096429055920996376
ravdess,cnn,RL,random,loso,09,complete,,3,0.26041666666666669,0.25,0.26643234622465795
ravdess,cnn,RL,random,loso,10,complete,,3,0.10416666666666663,0.088888888888888851,0.063866000127609956
ravdess,cnn,RL,random,loso,11,complete,,3,0.015625,0.016666666666666607,-0.010957474924838173
ravdess,cnn,RL,random,loso,12,complete,,3,0.078125,0.061111111111111116,0.079975581967774712
ravdess,cnn,RL,random,loso,13,complete,,3,0.057291666666666685,0.061111111111111116,0.06118239837563047
ravdess,cnn,RL,random,loso,14,complete,,3,0.052083333333333315,0.033333333333333326,0.054730849586567043
ravdess,cnn,RL,random,loso,15,complete,,3,0.083333333333333315,0.072222222222222243,0.07252345442630137
ravdess,cnn,RL,random,loso,16,complete,,3,0.1875,0.17222222222222205,0.21869426769817135
ravdess,cnn,RL,random,loso,17,complete,,3,0.06770833333333337,0.049999999999999989,0.043308093212605869
ravdess,cnn,RL,random,loso,18,complete,,3,0.16666666666666669,0.16666666666666663,0.18154360502422151
ravdess,cnn,RL,random,loso,19,complete,,3,0.036458333333333259,0.038888888888888862,0.05872296809695271
ravdess,cnn,RL,random,loso,20,complete,,3,0.078125,0.08333333333333337,0.079368155087844394
ravdess,cnn,RL,random,loso,21,complete,,3,0.23437500000000006,0.20000000000000001,0.29682781831500249
ravdess,cnn,RL,random,loso,22,complete,,3,0.088541666666666685,0.083333333333333259,0.10549705214195726
ravdess,cnn,RL,random,loso,23,complete,,3,0.23958333333333331,0.22222222222222221,0.19242991846836022
ravdess,cnn,RL,random,loso,24,complete,,3,0.07291666666666663,0.066666666666666763,0.069099527923057291
ravdess,cnn,GL,groupkfold,loso,01,complete,,3,-0.13020833333333337,-0.12222222222222229,-0.15200280384415182
ravdess,cnn,GL,groupkfold,loso,02,complete,,3,-0.08333333333333337,-0.088888888888888851,-0.067160078744045837
ravdess,cnn,GL,groupkfold,loso,03,complete,,3,-0.09375,-0.10555555555555557,-0.094241673550239047
ravdess,cnn,GL,groupkfold,loso,04,complete,,3,-0.0625,-0.049999999999999989,-0.072120376557380211
ravdess,cnn,GL,groupkfold,loso,05,complete,,3,-0.046875,-0.049999999999999933,-0.042600512880930974
ravdess,cnn,GL,groupkfold,loso,06,complete,,3,-0.06770833333333337,-0.083333333333333315,-0.080780935526900854
ravdess,cnn,GL,groupkfold,loso,07,complete,,3,-0.15104166666666663,-0.16111111111111109,-0.16154027201184734
ravdess,cnn,GL,groupkfold,loso,08,complete,,3,-0.05729166666666663,-0.061111111111111227,-0.064434991881905879
ravdess,cnn,GL,groupkfold,loso,09,complete,,3,-0.020833333333333315,-0.027777777777777762,-0.050967887609822099
ravdess,cnn,GL,groupkfold,loso,10,complete,,3,-0.020833333333333315,-0.027777777777777846,-0.03859222634377435
ravdess,cnn,GL,groupkfold,loso,11,complete,,3,-0.12500000000000006,-0.13888888888888878,-0.14389835091331477
ravdess,cnn,GL,groupkfold,loso,12,complete,,3,-0.05729166666666663,-0.077777777777777779,-0.078985609906662535
ravdess,cnn,GL,groupkfold,loso,13,complete,,3,0.0052083333333333148,0.016666666666666718,0.015811215596892331
ravdess,cnn,GL,groupkfold,loso,14,complete,,3,-0.072916666666666685,-0.088888888888888851,-0.067162236379156581
ravdess,cnn,GL,groupkfold,loso,15,complete,,3,-0.01041666666666663,-0.016666666666666718,-0.044520302435118286
ravdess,cnn,GL,groupkfold,loso,16,complete,,3,-0.088541666666666685,-0.088888888888888962,-0.10361097984714013
ravdess,cnn,GL,groupkfold,loso,17,complete,,3,-0.171875,-0.19444444444444442,-0.17966187750855428
ravdess,cnn,GL,groupkfold,loso,18,complete,,3,0.03125,0.038888888888888806,0.037012398428386439
ravdess,cnn,GL,groupkfold,loso,19,complete,,3,-0.05208333333333337,-0.0500000000000001,-0.049529712561833361
ravdess,cnn,GL,groupkfold,loso,20,complete,,3,-0.098958333333333315,-0.083333333333333315,-0.089177928386644623
ravdess,cnn,GL,groupkfold,loso,21,complete,,3,0.010416666666666685,0.011111111111111127,0.0050630511114423404
ravdess,cnn,GL,groupkfold,loso,22,complete,,3,-0.05729166666666663,-0.05555555555555558,-0.050233957904068316
ravdess,cnn,GL,groupkfold,loso,23,complete,,3,-0.052083333333333343,-0.055555555555555552,-0.037542708711439388
ravdess,cnn,GL,groupkfold,loso,24,complete,,3,-0.11979166666666669,-0.094444444444444386,-0.1068499214493796
ravdess,resnet_se,RG,random,groupkfold,01,complete,,3,0.13020833333333331,0.12777777777777782,0.12875567808810845
ravdess,resnet_se,RG,random,groupkfold,02,complete,,3,0.22395833333333326,0.23888888888888904,0.23754056200339346
ravdess,resnet_se,RG,random,groupkfold,03,complete,,3,0.16145833333333337,0.15555555555555556,0.19804797478821246
ravdess,resnet_se,RG,random,groupkfold,04,complete,,3,0.23958333333333331,0.23888888888888893,0.25485378277602999
ravdess,resnet_se,RG,random,groupkfold,05,complete,,3,0.140625,0.13333333333333325,0.16754601278079279
ravdess,resnet_se,RG,random,groupkfold,06,complete,,3,0.15625,0.13888888888888895,0.18053629464317311
ravdess,resnet_se,RG,random,groupkfold,07,complete,,3,0.13541666666666669,0.12222222222222218,0.14532477756161966
ravdess,resnet_se,RG,random,groupkfold,08,complete,,3,0.15104166666666663,0.16111111111111109,0.18055355699512043
ravdess,resnet_se,RG,random,groupkfold,09,complete,,3,0.29687500000000006,0.30555555555555552,0.317852167350754
ravdess,resnet_se,RG,random,groupkfold,10,complete,,3,0.19791666666666663,0.19444444444444448,0.21719804676461024
ravdess,resnet_se,RG,random,groupkfold,11,complete,,3,0.072916666666666741,0.088888888888888906,0.073535149491031904
ravdess,resnet_se,RG,random,groupkfold,12,complete,,3,0.18229166666666663,0.18333333333333335,0.20383448279733113
ravdess,resnet_se,RG,random,groupkfold,13,complete,,3,0.171875,0.17777777777777776,0.19948191974997748
ravdess,resnet_se,RG,random,groupkfold,14,complete,,3,0.08333333333333337,0.094444444444444442,0.10430855092619795
ravdess,resnet_se,RG,random,groupkfold,15,complete,,3,0.171875,0.16666666666666669,0.18795164133224657
ravdess,resnet_se,RG,random,groupkfold,16,complete,,3,0.26562500000000006,0.26111111111111113,0.304178353597017
ravdess,resnet_se,RG,random,groupkfold,17,complete,,3,0.21354166666666669,0.21666666666666679,0.21730524211670732
ravdess,resnet_se,RG,random,groupkfold,18,complete,,3,0.32291666666666663,0.3000000000000001,0.35994591204430454
ravdess,resnet_se,RG,random,groupkfold,19,complete,,3,0.09895833333333337,0.099999999999999867,0.13058983063433538
ravdess,resnet_se,RG,random,groupkfold,20,complete,,3,0.25520833333333331,0.25555555555555548,0.28381410714615057
ravdess,resnet_se,RG,random,groupkfold,21,complete,,3,0.37500000000000006,0.35555555555555562,0.42547369534980356
ravdess,resnet_se,RG,random,groupkfold,22,complete,,3,0.21354166666666663,0.20000000000000007,0.24360037827291714
ravdess,resnet_se,RG,random,groupkfold,23,complete,,3,0.33854166666666669,0.29999999999999993,0.3019640604779924
ravdess,resnet_se,RG,random,groupkfold,24,complete,,3,0.125,0.099999999999999867,0.10237474723904594
ravdess,resnet_se,RL,random,loso,01,complete,,3,0.0625,0.061111111111111005,0.068072579650349296
ravdess,resnet_se,RL,random,loso,02,complete,,3,0.125,0.1166666666666667,0.11953547577580081
ravdess,resnet_se,RL,random,loso,03,complete,,3,0.11979166666666674,0.1166666666666667,0.1546878701316266
ravdess,resnet_se,RL,random,loso,04,complete,,3,0.32812499999999994,0.32222222222222224,0.33478131818924656
ravdess,resnet_se,RL,random,loso,05,complete,,3,0.140625,0.14999999999999997,0.14709298591845027
ravdess,resnet_se,RL,random,loso,06,complete,,3,0.140625,0.12777777777777777,0.16879177400176193
ravdess,resnet_se,RL,random,loso,07,complete,,3,0.02604166666666663,0.0055555555555555358,0.047893726953969429
ravdess,resnet_se,RL,random,loso,08,complete,,3,0.078125,0.083333333333333259,0.078834373600907726
ravdess,resnet_se,RL,random,loso,09,complete,,3,0.25520833333333337,0.24999999999999989,0.26446284239469403
ravdess,resnet_se,RL,random,loso,10,complete,,3,0.093749999999999944,0.094444444444444442,0.10895858849612716
ravdess,resnet_se,RL,random,loso,11,complete,,3,0.041666666666666741,0.038888888888888862,0.039952749778601249
ravdess,resnet_se,RL,random,loso,12,complete,,3,0.15104166666666663,0.14444444444444438,0.17161483454053117
ravdess,resnet_se,RL,random,loso,13,complete,,3,0.16666666666666669,0.16111111111111109,0.19289493429973303
ravdess,resnet_se,RL,random,loso,14,complete,,3,0.05729166666666663,0.061111111111111116,0.1019935865442495
ravdess,resnet_se,RL,random,loso,15,complete,,3,0.09375,0.094444444444444442,0.11992199979816082
ravdess,resnet_se,RL,random,loso,16,complete,,3,0.16145833333333337,0.13888888888888884,0.16741799258246637
ravdess,resnet_se,RL,random,loso,17,complete,,3,0.1875,0.1833333333333334,0.20756429895922651
ravdess,resnet_se,RL,random,loso,18,complete,,3,0.26041666666666663,0.24444444444444452,0.27223907690575483
ravdess,resnet_se,RL,random,loso,19,complete,,3,0.16145833333333337,0.14444444444444438,0.18510289085736664
ravdess,resnet_se,RL,random,loso,20,complete,,3,0.083333333333333259,0.094444444444444331,0.11099672258812121
ravdess,resnet_se,RL,random,loso,21,complete,,3,0.32812500000000006,0.31111111111111117,0.36223093951297286
ravdess,resnet_se,RL,random,loso,22,complete,,3,0.20833333333333331,0.21111111111111114,0.22070404583949471
ravdess,resnet_se,RL,random,loso,23,complete,,3,0.33333333333333331,0.30555555555555552,0.30348820581341224
ravdess,resnet_se,RL,random,loso,24,complete,,3,0.0625,0.066666666666666541,0.062299812115988562
ravdess,resnet_se,GL,groupkfold,loso,01,complete,,3,-0.067708333333333315,-0.066666666666666818,-0.060683098437759153
ravdess,resnet_se,GL,groupkfold,loso,02,complete,,3,-0.098958333333333259,-0.12222222222222234,-0.11800508622759265
ravdess,resnet_se,GL,groupkfold,loso,03,complete,,3,-0.04166666666666663,-0.038888888888888862,-0.043360104656585852
ravdess,resnet_se,GL,groupkfold,loso,04,complete,,3,0.08854166666666663,0.083333333333333315,0.079927535413216566
ravdess,resnet_se,GL,groupkfold,loso,05,complete,,3,0,0.016666666666666718,-0.020453026862342516
ravdess,resnet_se,GL,groupkfold,loso,06,complete,,3,-0.015625,-0.011111111111111183,-0.011744520641411182
ravdess,resnet_se,GL,groupkfold,loso,07,complete,,3,-0.10937500000000006,-0.11666666666666664,-0.097431050607650227
ravdess,resnet_se,GL,groupkfold,loso,08,complete,,3,-0.07291666666666663,-0.077777777777777835,-0.10171918339421271
ravdess,resnet_se,GL,groupkfold,loso,09,complete,,3,-0.041666666666666685,-0.055555555555555636,-0.053389324956059969
ravdess,resnet_se,GL,groupkfold,loso,10,complete,,3,-0.10416666666666669,-0.10000000000000003,-0.10823945826848308
ravdess,resnet_se,GL,groupkfold,loso,11,complete,,3,-0.03125,-0.050000000000000044,-0.033582399712430655
ravdess,resnet_se,GL,groupkfold,loso,12,complete,,3,-0.03125,-0.038888888888888973,-0.03221964825679996
ravdess,resnet_se,GL,groupkfold,loso,13,complete,,3,-0.0052083333333333148,-0.016666666666666663,-0.0065869854502444425
ravdess,resnet_se,GL,groupkfold,loso,14,complete,,3,-0.026041666666666741,-0.033333333333333326,-0.0023149643819484478
ravdess,resnet_se,GL,groupkfold,loso,15,complete,,3,-0.078125,-0.072222222222222243,-0.06802964153408575
ravdess,resnet_se,GL,groupkfold,loso,16,complete,,3,-0.10416666666666669,-0.12222222222222229,-0.13676036101455064
ravdess,resnet_se,GL,groupkfold,loso,17,complete,,3,-0.026041666666666685,-0.033333333333333381,-0.0097409431574808081
