corpus,comparison,model,window,endpoint,unit,hypothesis_test,mean_pp,n_draws,df,sd_draw_pp,se_pp,interval_scope,p_two_sided,holm_p_ten,pointwise_95_ci_pp,status,t_statistic
cremad,model_window,wavlm_base_plus,15,T_unseen_ce,UAR_percent,False,54.10261454443601,24,23,1.8721959888230149,0.3821604059251487,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[53.31205551231812, 54.8931735765539]",descriptive_estimate,NA
cremad,model_window,wavlm_base_plus,15,T_seen_uar,UAR_percent,False,56.54075405971691,24,23,1.5780269775994293,0.3221134079554119,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[55.87441170693193, 57.20709641250189]",descriptive_estimate,NA
cremad,model_window,wavlm_base_plus,15,T_unseen_uar,UAR_percent,False,56.42980640129763,24,23,1.796229950978751,0.3666539033835318,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[55.67132501367344, 57.188287788921826]",descriptive_estimate,NA
cremad,model_window,wavlm_base_plus,15,T_last,UAR_percent,False,53.23956181883168,24,23,1.858654324189455,0.3793962252068059,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[52.45472093019336, 54.02440270747]",descriptive_estimate,NA
ravdess,hubert_minus_wavlm15,hubert_minus_wavlm,15,D_CE,percentage_points,False,1.1805555555555556,24,23,2.6733856326277996,0.5457025571354761,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.051683807712117336, 2.309427303398994]",descriptive_estimate,NA
ravdess,hubert_minus_wavlm15,hubert_minus_wavlm,15,D_UAR,percentage_points,False,-0.008680555555555556,24,23,2.9663719923334226,0.6055081473750016,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-1.2612695927935915, 1.2439084816824804]",descriptive_estimate,NA
ravdess,hubert_minus_wavlm15,hubert_minus_wavlm,15,J,percentage_points,False,1.1892361111111112,24,23,3.3991904399638613,0.6938568430381764,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.24611612778114766, 2.62458835000337]",descriptive_estimate,NA
ravdess,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_seen_ce,percentage_points,False,7.083333333333333,24,23,3.288305475248722,0.6712225443966258,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[5.694803708582415, 8.47186295808425]",descriptive_estimate,NA
ravdess,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_unseen_ce,percentage_points,False,5.902777777777778,24,23,3.2915558288683426,0.6718860200509323,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[4.512875649065251, 7.292679906490305]",descriptive_estimate,NA
ravdess,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_seen_uar,percentage_points,False,7.421875,24,23,2.8748375426689994,0.586823756077976,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[6.207937571014604, 8.635812428985396]",descriptive_estimate,NA
ravdess,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_unseen_uar,percentage_points,False,7.430555555555555,24,23,3.0758003030147725,0.6278451077570064,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[6.1317589952296565, 8.729352115881454]",descriptive_estimate,NA
ravdess,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_last,percentage_points,False,7.473958333333333,24,23,4.2484334371255,0.8672078439279995,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[5.680002227176582, 9.267914439490085]",descriptive_estimate,NA
ravdess,model_window,hubert_base,15,D_CE,percentage_points,False,1.3975694444444444,24,23,2.3023295794808214,0.469961057453715,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.4253809263422331, 2.3697579625466556]",descriptive_estimate,NA
ravdess,model_window,hubert_base,15,D_UAR,percentage_points,False,0.6944444444444444,24,23,3.2540774001624464,0.6642357678267053,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.6796319317828099, 2.068520820671699]",descriptive_estimate,NA
ravdess,model_window,hubert_base,15,J,percentage_points,False,0.703125,24,23,2.8735244191689735,0.5865557158659492,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.5102579455608889, 1.9165079455608889]",descriptive_estimate,NA
ravdess,model_window,hubert_base,15,T_seen_ce,UAR_percent,False,42.06597222222222,24,23,3.469760600850465,0.7082619168080343,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[40.6008208178473, 43.53112362659714]",descriptive_estimate,NA
ravdess,model_window,hubert_base,15,T_unseen_ce,UAR_percent,False,40.66840277777778,24,23,3.4687067046231026,0.7080467911414609,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[39.20369639475021, 42.13310916080535]",descriptive_estimate,NA
ravdess,model_window,hubert_base,15,T_seen_uar,UAR_percent,False,41.44965277777778,24,23,3.253968664917117,0.6642135723376958,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[40.07562231641778, 42.82368323913778]",descriptive_estimate,NA
ravdess,model_window,hubert_base,15,T_unseen_uar,UAR_percent,False,40.755208333333336,24,23,3.2950774041951854,0.672604858604394,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[39.36381917377653, 42.146597492890145]",descriptive_estimate,NA
ravdess,model_window,hubert_base,15,T_last,UAR_percent,False,41.614583333333336,24,23,3.6527496508900374,0.7456144002341651,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[40.0721624298509, 43.15700423681577]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,15,D_CE,percentage_points,False,0.2170138888888889,24,23,1.1983268306415518,0.24460744001319631,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.2889951534595306, 0.7230229312373084]",descriptive_estimate,NA
ravdess,model_window,wavlm_base_plus,15,D_UAR,percentage_points,False,0.703125,24,23,2.125313009768856,0.4338277014693715,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.19431597625521846, 1.6005659762552185]",descriptive_estimate,NA
