unit_id,corpus,draw,fold,model,epoch,seen_ce,unseen_ce,seen_uar,unseen_uar,outer_uar,uar_unit,ce_unit
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,1,1.592041932101017,1.6064884519444895,34.02777777777778,36.80555555555556,32.207207207207205,UAR_percent,natural_log_loss
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,2,1.4898722062606462,1.5061263425915656,44.44444444444444,42.361111111111114,38.857278330962544,UAR_percent,natural_log_loss
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,3,1.3234883435904172,1.338889025571532,45.486111111111114,43.05555555555556,39.21289710763395,UAR_percent,natural_log_loss
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,4,1.123800553557632,1.2332340467663705,57.986111111111114,51.388888888888886,53.733997155049785,UAR_percent,natural_log_loss
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,5,1.5301614113432005,1.5953133762868887,45.138888888888886,45.138888888888886,43.468468468468465,UAR_percent,natural_log_loss
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,6,1.3152302931714133,1.3535644261398951,54.166666666666664,52.43055555555556,52.84495021337126,UAR_percent,natural_log_loss
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,7,1.3082949582084558,1.429251722304497,53.47222222222222,51.736111111111114,50.48601232811759,UAR_percent,natural_log_loss
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,8,1.1568156488433183,1.2883826683638793,60.763888888888886,54.166666666666664,59.815078236130866,UAR_percent,natural_log_loss
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,9,2.4129653882377124,2.454708451558982,37.84722222222222,37.84722222222222,35.56187766714083,UAR_percent,natural_log_loss
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,10,1.8268800471707225,1.8856035541808356,49.65277777777778,49.65277777777778,45.76813655761024,UAR_percent,natural_log_loss
