unit_id,corpus,draw,fold,model,window,rule,selected_epoch,unit,oracle_shortfall_unit,outer_uar,oracle_outer_uar,oracle_shortfall_pp,oracle_used_for_selection
ads2_formal_cremad_d00_f3_wavlm_base_plus_A,cremad,0,3,wavlm_base_plus,15,unseen_uar,12,UAR_percent,percentage_points,57.57575757575758,57.57575757575758,0.0,False
ads2_formal_cremad_d00_f3_hubert_base_A,cremad,0,3,hubert_base,15,last,15,UAR_percent,percentage_points,53.535353535353536,59.09090909090909,5.555555555555555,False
ads2_formal_cremad_d00_f3_hubert_base_A,cremad,0,3,hubert_base,15,seen_ce,4,UAR_percent,percentage_points,57.07070707070707,59.09090909090909,2.0202020202020203,False
ads2_formal_cremad_d00_f3_hubert_base_A,cremad,0,3,hubert_base,15,unseen_ce,4,UAR_percent,percentage_points,57.07070707070707,59.09090909090909,2.0202020202020203,False
ads2_formal_cremad_d00_f3_hubert_base_A,cremad,0,3,hubert_base,15,seen_uar,14,UAR_percent,percentage_points,54.54545454545455,59.09090909090909,4.545454545454546,False
ads2_formal_cremad_d00_f3_hubert_base_A,cremad,0,3,hubert_base,15,unseen_uar,10,UAR_percent,percentage_points,56.06060606060606,59.09090909090909,3.0303030303030303,False
ads2_formal_cremad_d00_f4_wavlm_base_plus_A,cremad,0,4,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,53.431372549019606,57.35294117647059,3.9215686274509802,False
ads2_formal_cremad_d00_f4_wavlm_base_plus_A,cremad,0,4,wavlm_base_plus,15,seen_ce,6,UAR_percent,percentage_points,49.01960784313726,57.35294117647059,8.333333333333334,False
ads2_formal_cremad_d00_f4_wavlm_base_plus_A,cremad,0,4,wavlm_base_plus,15,unseen_ce,5,UAR_percent,percentage_points,50.98039215686274,57.35294117647059,6.372549019607843,False
ads2_formal_cremad_d00_f4_wavlm_base_plus_A,cremad,0,4,wavlm_base_plus,15,seen_uar,10,UAR_percent,percentage_points,53.431372549019606,57.35294117647059,3.9215686274509802,False
ads2_formal_cremad_d00_f4_wavlm_base_plus_A,cremad,0,4,wavlm_base_plus,15,unseen_uar,12,UAR_percent,percentage_points,57.35294117647059,57.35294117647059,0.0,False
ads2_formal_cremad_d00_f4_hubert_base_A,cremad,0,4,hubert_base,15,last,15,UAR_percent,percentage_points,52.450980392156865,56.372549019607845,3.9215686274509802,False
ads2_formal_cremad_d00_f4_hubert_base_A,cremad,0,4,hubert_base,15,seen_ce,3,UAR_percent,percentage_points,51.470588235294116,56.372549019607845,4.901960784313726,False
ads2_formal_cremad_d00_f4_hubert_base_A,cremad,0,4,hubert_base,15,unseen_ce,3,UAR_percent,percentage_points,51.470588235294116,56.372549019607845,4.901960784313726,False
ads2_formal_cremad_d00_f4_hubert_base_A,cremad,0,4,hubert_base,15,seen_uar,7,UAR_percent,percentage_points,52.94117647058823,56.372549019607845,3.4313725490196076,False
ads2_formal_cremad_d00_f4_hubert_base_A,cremad,0,4,hubert_base,15,unseen_uar,13,UAR_percent,percentage_points,53.92156862745098,56.372549019607845,2.450980392156863,False
ads2_formal_cremad_d01_f0_wavlm_base_plus_A,cremad,1,0,wavlm_base_plus,15,last,15,UAR_percent,percentage_points,53.50877192982456,60.526315789473685,7.017543859649122,False
ads2_formal_cremad_d01_f0_wavlm_base_plus_A,cremad,1,0,wavlm_base_plus,15,seen_ce,4,UAR_percent,percentage_points,53.94736842105263,60.526315789473685,6.578947368421052,False
ads2_formal_cremad_d01_f0_wavlm_base_plus_A,cremad,1,0,wavlm_base_plus,15,unseen_ce,4,UAR_percent,percentage_points,53.94736842105263,60.526315789473685,6.578947368421052,False
ads2_formal_cremad_d01_f0_wavlm_base_plus_A,cremad,1,0,wavlm_base_plus,15,seen_uar,13,UAR_percent,percentage_points,55.70175438596491,60.526315789473685,4.824561403508772,False
ads2_formal_cremad_d01_f0_wavlm_base_plus_A,cremad,1,0,wavlm_base_plus,15,unseen_uar,12,UAR_percent,percentage_points,58.333333333333336,60.526315789473685,2.192982456140351,False
ads2_formal_cremad_d01_f0_hubert_base_A,cremad,1,0,hubert_base,15,last,15,UAR_percent,percentage_points,57.45614035087719,65.35087719298245,7.894736842105263,False
ads2_formal_cremad_d01_f0_hubert_base_A,cremad,1,0,hubert_base,15,seen_ce,3,UAR_percent,percentage_points,56.14035087719298,65.35087719298245,9.210526315789474,False
ads2_formal_cremad_d01_f0_hubert_base_A,cremad,1,0,hubert_base,15,unseen_ce,3,UAR_percent,percentage_points,56.14035087719298,65.35087719298245,9.210526315789474,False
ads2_formal_cremad_d01_f0_hubert_base_A,cremad,1,0,hubert_base,15,seen_uar,12,UAR_percent,percentage_points,65.35087719298245,65.35087719298245,0.0,False
