corpus,comparison,model,window,draw,units,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_pp,T_unseen_ce_pp,T_seen_uar_pp,T_unseen_uar_pp,T_last_pp
cremad,model_window,wavlm_base_plus,15,11,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-0.6743909685086156,-0.18153250351392766,-0.4928584649946879,56.0912277320946,56.76561870060322,56.240587618296594,56.42212012181052,53.811235947458854
cremad,model_window,wavlm_base_plus,15,12,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-0.08771929824561403,0.08771929824561403,-0.17543859649122806,52.62454264002252,52.71226193826813,52.912718516433685,52.824999218188076,53.04609563123495
cremad,model_window,wavlm_base_plus,15,13,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.846233230134159,-0.19607843137254902,1.0423116615067078,55.066103254957746,54.219870024823585,56.95464814659861,57.15072657797116,52.789166875854185
cremad,model_window,wavlm_base_plus,15,14,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.45698808856703593,-1.2632728422202106,1.7202609307872465,54.542077963130595,54.08508987456356,55.429257008204374,56.692529850424584,52.10928631981263
cremad,model_window,wavlm_base_plus,15,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.5686274509803921,-0.2837977296181631,1.8524251805985552,53.962848297213625,52.39422084623323,55.72755417956656,56.011351909184725,51.45510835913313
cremad,model_window,wavlm_base_plus,15,16,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.43859649122807015,0.6346749226006192,-0.19607843137254902,52.85345717234262,52.414860681114554,56.18679050567595,55.552115583075334,54.5046439628483
cremad,model_window,wavlm_base_plus,15,17,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",2.1503082029397818,1.457479150977603,0.6928290519621789,57.477663421935866,55.32735521899608,58.444946494482096,56.9874673435045,56.81922564275506
cremad,model_window,wavlm_base_plus,15,18,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.4279013040622948,0.19677572309151256,1.2311255809707822,58.62798768371524,57.200086379652944,58.84540324168807,58.648627518596555,53.509490351595616
cremad,model_window,wavlm_base_plus,15,19,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.7894736842105263,2.038183694530444,-1.2487100103199174,56.63570691434469,55.84623323013416,57.074303405572756,55.03611971104231,54.15376676986584
cremad,model_window,wavlm_base_plus,15,20,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.7902554961378491,1.3939706664164868,-0.6037151702786377,53.05625918629015,52.266003690152296,54.96622572473966,53.57225505832317,51.422115895800104
