unit_id,corpus,draw,fold,model,window,units,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_pp,T_unseen_ce_pp,T_seen_uar_pp,T_unseen_uar_pp,T_last_pp,epoch_last,epoch_seen_ce,epoch_unseen_ce,epoch_seen_uar,epoch_unseen_uar,ce_epoch_disagreement,uar_epoch_disagreement
ads2_formal_cremad_d01_f0_wavlm_base_plus_A,cremad,1,0,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,-2.6315789473684212,2.6315789473684212,53.94736842105263,53.94736842105263,55.70175438596491,58.333333333333336,53.50877192982456,15,4,4,13,12,0,1
ads2_formal_cremad_d01_f0_hubert_base_A,cremad,1,0,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,2.192982456140351,-2.192982456140351,56.14035087719298,56.14035087719298,65.35087719298245,63.1578947368421,57.45614035087719,15,3,3,12,8,0,1
ads2_formal_cremad_d01_f1_wavlm_base_plus_A,cremad,1,1,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,-4.409672830725462,4.409672830725462,53.27169274537695,53.27169274537695,51.505452821242294,55.915125651967756,53.27169274537695,15,5,5,7,14,0,1
ads2_formal_cremad_d01_f1_hubert_base_A,cremad,1,1,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,4.788999525841631,-4.788999525841631,53.61545756282598,53.61545756282598,58.46372688477952,53.674727358937886,54.94310099573257,15,5,5,10,8,0,1
ads2_formal_cremad_d01_f2_wavlm_base_plus_A,cremad,1,2,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.0,0.0,54.824561403508774,54.824561403508774,59.21052631578947,59.21052631578947,58.333333333333336,15,5,5,10,10,0,0
ads2_formal_cremad_d01_f2_hubert_base_A,cremad,1,2,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,-3.0701754385964914,3.0701754385964914,61.8421052631579,61.8421052631579,58.771929824561404,61.8421052631579,56.14035087719298,15,5,5,11,5,0,1
ads2_formal_cremad_d01_f3_wavlm_base_plus_A,cremad,1,3,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-1.9607843137254901,0.0,-1.9607843137254901,51.96078431372549,53.92156862745098,51.96078431372549,51.96078431372549,42.15686274509804,15,8,4,8,8,1,0
ads2_formal_cremad_d01_f3_hubert_base_A,cremad,1,3,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",7.352941176470588,4.901960784313726,2.450980392156863,62.745098039215684,55.3921568627451,62.745098039215684,57.84313725490196,50.98039215686274,15,8,5,8,10,1,1
ads2_formal_cremad_d01_f4_wavlm_base_plus_A,cremad,1,4,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",3.4313725490196076,5.392156862745098,-1.9607843137254901,58.8235294117647,55.3921568627451,59.80392156862745,54.411764705882355,56.86274509803921,15,6,3,12,14,1,1
ads2_formal_cremad_d01_f4_hubert_base_A,cremad,1,4,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",2.9411764705882355,1.4705882352941178,1.4705882352941178,68.13725490196079,65.19607843137256,68.13725490196079,66.66666666666667,64.70588235294117,15,7,6,7,9,1,1
