level,model,cell,speaker,coverage,accepted_error,n_r,gap_coverage,gap_accepted_error,coverage_secondary,accepted_error_secondary,gap_accepted_error_secondary
cremad,cnn,GR,1001,0.7235772357723578,0.55047363031234,3,-0.07637814141180772,0.21071392089630203,0.1910569105691057,0.5092787114845938,0.31052223986939903
cremad,cnn,GR,1002,0.8106995884773661,0.5316205533596837,3,0.0109676849921115,0.16941118889021142,0.22633744855967075,0.435932827237175,0.22543548464393146
cremad,cnn,GR,1003,0.7479674796747968,0.29500291375291376,3,-0.051809136531226985,-0.06487414687854755,0.32926829268292684,0.09272447982125402,-0.11395140085686985
cremad,cnn,GR,1004,0.7642276422764228,0.3034274193548387,3,-0.035504261208831954,-0.04397427696841908,0.3089430894308943,0.16593521421107627,-0.03726773580903159
cremad,cnn,GR,1005,0.7682926829268292,0.43176964272298957,3,-0.03143922055842548,0.07570724668045209,0.3008130081300813,0.25831649831649833,0.052820558641324296
cremad,cnn,GR,1006,0.8416666666666667,0.3769722814498934,3,0.041713110790345974,0.01831302988733517,0.3416666666666666,0.22307692307692303,0.017787519562112535
cremad,cnn,GR,1007,0.8739837398373984,0.48350376229982633,3,0.07438770591736106,0.12152200474733298,0.46341463414634143,0.31323529411764706,0.10451122781349835
cremad,cnn,GR,1008,0.850877192982456,0.5162241450472427,3,0.05119051790063881,0.1753769023552696,0.40350877192982465,0.4213862765586904,0.2244915458362632
cremad,cnn,GR,1009,0.8114035087719298,0.31360039226418535,3,0.011807474851892522,-0.03723544493681937,0.3245614035087719,0.07919254658385093,-0.12654453222451245
cremad,cnn,GR,1010,0.7682926829268292,0.2638354700854701,3,-0.03161616022872238,-0.09156793219970387,0.2682926829268293,0.0457070707070707,-0.1595342820244063
cremad,cnn,GR,1011,0.8292682926829268,0.3036890645586298,3,0.029491676476903057,-0.03327656829971054,0.44308943089430897,0.10765494667933691,-0.0902483813185289
cremad,cnn,GR,1012,0.6788617886178862,0.2937799043062201,3,-0.12086829355952378,-0.052373597068832566,0.25609756097560976,0.07943722943722943,-0.12166564690816263
cremad,cnn,GR,1013,0.8541666666666666,0.31569115815691157,3,0.054301230606707586,-0.05281744245626857,0.49583333333333335,0.19312156521458848,-0.01661687818591473
cremad,cnn,GR,1014,0.7926829268292682,0.2600955794504181,3,-0.007182509230690748,-0.10785420585122245,0.3089430894308943,0.17673934293850144,-0.031867210242385445
cremad,cnn,GR,1015,0.8008130081300813,0.3398692810457516,3,0.0010811046448265804,-0.007532415277506162,0.23170731707317072,0.20952380952380953,0.006320859503701648
cremad,cnn,GR,1016,0.8048780487804877,0.3278650475341652,3,0.0049673843170913905,-0.023447418360286226,0.26422764227642276,0.2329365079365079,0.03175122270541806
cremad,cnn,GR,1017,0.8083333333333332,0.4477374477374478,3,0.008558538435154306,0.09131345742104764,0.30833333333333335,0.2834313725490196,0.07786322243192166
cremad,cnn,GR,1018,0.8252032520325203,0.18722563652326604,3,0.025471348547265554,-0.16716476723017268,0.3252032520325204,0.028381642512077292,-0.1764136120551791
cremad,cnn,GR,1019,0.7587719298245613,0.32223878125517463,3,-0.04091292394941115,-0.03943347129440494,0.3026315789473684,0.11864889496468443,-0.08915840345236843
