unit_id,level,model,cell,r,fold,primary.tau,primary.budget,primary.promised_coverage,primary.val_coverage,primary.val_accepted_error,primary.val_error_rate,primary.test_coverage,primary.test_accepted_error,primary.test_error_rate,primary.n_val,primary.n_val_accepted,primary.n_val_accepted_errors,primary.n_test,primary.n_test_accepted,primary.n_test_accepted_errors,primary.gap_coverage,primary.test_review_deviation,primary.gap_accepted_error,secondary.r_star,secondary.tau,secondary.val_rejection,secondary.val_coverage,secondary.val_accepted_error,secondary.feasible,secondary.min_accepted,secondary.test_coverage,secondary.test_accepted_error,secondary.n_val,secondary.n_val_accepted,secondary.n_val_accepted_errors,secondary.n_test,secondary.n_test_accepted,secondary.n_test_accepted_errors,secondary.gap_accepted_error,secondary.gap_coverage
9651c228af35ab086d0e530d4f365e8449e7b84cb694ddc19dd2dd7bed47091c,cremad,cnn,GG,0,0,0.42845919180137676,0.2,0.8,0.7997416020671835,0.3368336025848142,0.3953488372093023,0.7911864406779661,0.3736075407026564,0.4257627118644068,1548,1238,417,1475,1167,436,-0.008555161389217414,0.008813559322033926,0.036773938117842186,0.19767441860465115,0.6988865923004984,0.6925064599483204,0.3074935400516796,0.19747899159663865,True,1,0.3071186440677966,0.271523178807947,1548,476,94,1475,453,123,0.07404418721130837,-0.0003748959838830168
aed145a22f864d54aefbf13209428e69c79a614214be028adc840288c33b367a,cremad,cnn,GG,0,1,0.41927700328051065,0.2,0.8,0.7998643147896879,0.40458015267175573,0.4497964721845319,0.7827496757457847,0.38939519469759737,0.440337224383917,1474,1179,477,1542,1207,470,-0.0171146390439032,0.0172503242542153,-0.015184957974158364,0.22489823609226595,0.7646981806366894,0.7788331071913162,0.22116689280868385,0.22392638036809817,True,1,0.22503242542153049,0.24495677233429394,1474,326,73,1542,347,85,0.02103039196619577,0.0038655326128466394
d57e605de84593b524f0eeef3913928e914eb87604483d641ed508bcbac6d50c,cremad,cnn,GG,0,2,0.42990985996453607,0.2,0.8,0.7997432605905006,0.34590690208667735,0.4088575096277279,0.8046132971506106,0.38532883642495785,0.4423337856173677,1558,1246,431,1474,1186,457,0.00487003656010998,-0.004613297150610596,0.039421934338280507,0.20442875481386394,0.6906481048485855,0.7015404364569962,0.29845956354300385,0.20430107526881722,True,1,0.2618724559023066,0.21243523316062177,1558,465,95,1474,386,82,0.00813415789180455,-0.036587107640697225
270c5f98f193ec34f1ef9e03fa801410b230cc5361572472d36d403ed2fbc7a8,cremad,cnn,GG,0,3,0.4025571024271789,0.2,0.8,0.7996134020618557,0.36502820306204675,0.42847938144329895,0.8276566757493188,0.41646090534979424,0.4645776566757493,1552,1241,453,1468,1215,506,0.028043273687463066,-0.027656675749318793,0.05143270228774749,0.21423969072164947,0.6024397221747549,0.6900773195876289,0.30992268041237114,0.21413721413721415,True,1,0.34264305177111715,0.27435387673956263,1552,481,103,1468,503,138,0.06021666260234848,0.032720371358746
d7833486b62fe09e3067810eea24934d527ec1a41787ec54075eeb11837fa074,cremad,cnn,GG,0,4,0.43756435774914904,0.2,0.8,0.8,0.42961165048543687,0.47702265372168284,0.7818428184281843,0.3492201039861352,0.42005420054200543,1545,1236,531,1476,1154,403,-0.018157181571815784,0.018157181571815728,-0.08039154649930169,0.23851132686084142,0.7229631041699267,0.7611650485436893,0.23883495145631073,0.23848238482384823,True,1,0.23306233062330622,0.18604651162790697,1545,369,88,1476,344,64,-0.05243587319594126,-0.005772620833004505
9402253c6129069614bdc7ea83cee819d233a0ae32acf22638d212c83b37ab0b,cremad,cnn,GG,1,0,0.4225263327628528,0.2,0.8,0.8001285347043702,0.39116465863453814,0.442159383033419,0.8125426039536469,0.3598993288590604,0.4164962508520791,1556,1245,487,1467,1192,429,0.012414069249276682,-0.01254260395364687,-0.031265329775477746,0.2210796915167095,0.7112888692119496,0.7230077120822622,0.2769922879177378,0.22041763341067286,True,1,0.29175187457396046,0.23130841121495327,1556,431,95,1467,428,99,0.01089077780428041,0.014759586656222679
07a9d8ab3d52e2cb1b7fde42727803c42ce96ee26cab3d982a1c1f3be70fed7d,cremad,cnn,GG,1,1,0.44208002203681424,0.2,0.8,0.7996134020618557,0.3682514101531023,0.4175257731958763,0.8066485753052918,0.4415475189234651,0.48846675712347354,1552,1241,457,1474,1189,525,0.007035173243436055,-0.006648575305291782,0.0732961087703628,0.20876288659793815,0.7568215340119758,0.7667525773195877,0.23324742268041232,0.20718232044198895,True,1,0.23609226594301222,0.2471264367816092,1552,362,75,1474,348,86,0.03994411633962025,0.0028448432625999
1777442a0df93447ad366acd5a5d93a47a3b8b0da0c55adafce11ea9e2f16c14,cremad,cnn,GG,1,2,0.4300317532613776,0.2,0.8,0.8001364256480218,0.3836317135549872,0.44747612551159616,0.7855297157622739,0.3774671052631579,0.4315245478036176,1466,1173,450,1548,1216,459,-0.01460670988574786,0.014470284237726061,-0.006164608291829299,0.22373806275579808,0.7339127101853272,0.7401091405184175,0.2598908594815825,0.2230971128608924,True,1,0.25452196382428943,0.25888324873096447,1466,381,85,1548,394,102,0.03578613587007207,-0.0053688956572930935
b458d52e10da731400f8147e5cb080186fb28e3781b43bdc70c627310b9eb84c,cremad,cnn,GG,1,3,0.42796917594824213,0.2,0.8,0.7996134020618557,0.3827558420628525,0.44329896907216493,0.7981029810298103,0.3200339558573854,0.37330623306233063,1552,1241,475,1476,1178,377,-0.0015104210320454614,0.0018970189701897344,-0.06272188620546709,0.22164948453608246,0.715049777794648,0.7667525773195877,0.23324742268041232,0.22099447513812154,True,1,0.25745257452574527,0.11315789473684211,1552,362,80,1476,380,43,-0.10783658040127943,0.02420515184533295
7030db670d6f9feaa91610c43a2308bfb545cb6aeb4fd882a2745f108e8dfe7d,cremad,cnn,GG,1,4,0.4080962990748445,0.2,0.8,0.8,0.4080645161290323,0.4567741935483871,0.7591836734693878,0.43548387096774194,0.4891156462585034,1550,1240,506,1470,1116,486,-0.04081632653061229,0.040816326530612235,0.027419354838709664,0.22838709677419355,0.6721908301504098,0.7225806451612903,0.2774193548387097,0.22790697674418606,True,1,0.22585034013605443,0.25301204819277107,1550,430,98,1470,332,84,0.02510507144858501,-0.05156901470265529
