fold,rotation,draw,policy_a,policy_b,n_intersection,intersection_fraction_of_24,jaccard
2,0,2,U,R,10,0.4166666666666667,0.2631578947368421
2,0,2,U,C,10,0.4166666666666667,0.2631578947368421
2,0,2,R,C,11,0.4583333333333333,0.2972972972972973
2,1,0,U,R,11,0.4583333333333333,0.2972972972972973
2,1,0,U,C,9,0.375,0.23076923076923078
2,1,0,R,C,11,0.4583333333333333,0.2972972972972973
2,1,1,U,R,8,0.3333333333333333,0.2
2,1,1,U,C,10,0.4166666666666667,0.2631578947368421
2,1,1,R,C,11,0.4583333333333333,0.2972972972972973
2,1,2,U,R,9,0.375,0.23076923076923078
2,1,2,U,C,8,0.3333333333333333,0.2
2,1,2,R,C,11,0.4583333333333333,0.2972972972972973
2,2,0,U,R,10,0.4166666666666667,0.2631578947368421
2,2,0,U,C,14,0.5833333333333334,0.4117647058823529
2,2,0,R,C,8,0.3333333333333333,0.2
2,2,1,U,R,9,0.375,0.23076923076923078
2,2,1,U,C,7,0.2916666666666667,0.17073170731707318
2,2,1,R,C,8,0.3333333333333333,0.2
2,2,2,U,R,8,0.3333333333333333,0.2
2,2,2,U,C,13,0.5416666666666666,0.37142857142857144
2,2,2,R,C,8,0.3333333333333333,0.2
2,3,0,U,R,10,0.4166666666666667,0.2631578947368421
2,3,0,U,C,9,0.375,0.23076923076923078
2,3,0,R,C,10,0.4166666666666667,0.2631578947368421
2,3,1,U,R,10,0.4166666666666667,0.2631578947368421
2,3,1,U,C,12,0.5,0.3333333333333333
2,3,1,R,C,10,0.4166666666666667,0.2631578947368421
2,3,2,U,R,8,0.3333333333333333,0.2
2,3,2,U,C,8,0.3333333333333333,0.2
2,3,2,R,C,10,0.4166666666666667,0.2631578947368421
2,4,0,U,R,8,0.3333333333333333,0.2
2,4,0,U,C,8,0.3333333333333333,0.2
2,4,0,R,C,8,0.3333333333333333,0.2
2,4,1,U,R,11,0.4583333333333333,0.2972972972972973
2,4,1,U,C,10,0.4166666666666667,0.2631578947368421
2,4,1,R,C,8,0.3333333333333333,0.2
2,4,2,U,R,13,0.5416666666666666,0.37142857142857144
2,4,2,U,C,8,0.3333333333333333,0.2
2,4,2,R,C,8,0.3333333333333333,0.2
2,5,0,U,R,12,0.5,0.3333333333333333
2,5,0,U,C,7,0.2916666666666667,0.17073170731707318
2,5,0,R,C,9,0.375,0.23076923076923078
2,5,1,U,R,12,0.5,0.3333333333333333
2,5,1,U,C,12,0.5,0.3333333333333333
2,5,1,R,C,9,0.375,0.23076923076923078
2,5,2,U,R,9,0.375,0.23076923076923078
2,5,2,U,C,9,0.375,0.23076923076923078
2,5,2,R,C,9,0.375,0.23076923076923078
3,0,0,U,R,6,0.25,0.14285714285714285
3,0,0,U,C,7,0.2916666666666667,0.17073170731707318
3,0,0,R,C,12,0.5,0.3333333333333333
3,0,1,U,R,12,0.5,0.3333333333333333
3,0,1,U,C,15,0.625,0.45454545454545453
3,0,1,R,C,12,0.5,0.3333333333333333
3,0,2,U,R,10,0.4166666666666667,0.2631578947368421
3,0,2,U,C,9,0.375,0.23076923076923078
3,0,2,R,C,12,0.5,0.3333333333333333
3,1,0,U,R,12,0.5,0.3333333333333333
3,1,0,U,C,11,0.4583333333333333,0.2972972972972973
3,1,0,R,C,8,0.3333333333333333,0.2
3,1,1,U,R,10,0.4166666666666667,0.2631578947368421
3,1,1,U,C,13,0.5416666666666666,0.37142857142857144
3,1,1,R,C,8,0.3333333333333333,0.2
3,1,2,U,R,9,0.375,0.23076923076923078
3,1,2,U,C,9,0.375,0.23076923076923078
3,1,2,R,C,8,0.3333333333333333,0.2
3,2,0,U,R,10,0.4166666666666667,0.2631578947368421
3,2,0,U,C,9,0.375,0.23076923076923078
3,2,0,R,C,9,0.375,0.23076923076923078
3,2,1,U,R,8,0.3333333333333333,0.2
3,2,1,U,C,5,0.20833333333333334,0.11627906976744186
3,2,1,R,C,9,0.375,0.23076923076923078
3,2,2,U,R,16,0.6666666666666666,0.5
3,2,2,U,C,6,0.25,0.14285714285714285
3,2,2,R,C,9,0.375,0.23076923076923078
3,3,0,U,R,6,0.25,0.14285714285714285
3,3,0,U,C,9,0.375,0.23076923076923078
3,3,0,R,C,10,0.4166666666666667,0.2631578947368421
3,3,1,U,R,13,0.5416666666666666,0.37142857142857144
3,3,1,U,C,10,0.4166666666666667,0.2631578947368421
3,3,1,R,C,10,0.4166666666666667,0.2631578947368421
3,3,2,U,R,10,0.4166666666666667,0.2631578947368421
3,3,2,U,C,9,0.375,0.23076923076923078
3,3,2,R,C,10,0.4166666666666667,0.2631578947368421
3,4,0,U,R,11,0.4583333333333333,0.2972972972972973
3,4,0,U,C,11,0.4583333333333333,0.2972972972972973
3,4,0,R,C,12,0.5,0.3333333333333333
3,4,1,U,R,10,0.4166666666666667,0.2631578947368421
3,4,1,U,C,9,0.375,0.23076923076923078
3,4,1,R,C,12,0.5,0.3333333333333333
3,4,2,U,R,12,0.5,0.3333333333333333
3,4,2,U,C,11,0.4583333333333333,0.2972972972972973
3,4,2,R,C,12,0.5,0.3333333333333333
3,5,0,U,R,12,0.5,0.3333333333333333
3,5,0,U,C,12,0.5,0.3333333333333333
3,5,0,R,C,12,0.5,0.3333333333333333
3,5,1,U,R,11,0.4583333333333333,0.2972972972972973
3,5,1,U,C,10,0.4166666666666667,0.2631578947368421
3,5,1,R,C,12,0.5,0.3333333333333333
3,5,2,U,R,11,0.4583333333333333,0.2972972972972973
3,5,2,U,C,10,0.4166666666666667,0.2631578947368421
3,5,2,R,C,12,0.5,0.3333333333333333
4,0,0,U,R,8,0.3333333333333333,0.2
4,0,0,U,C,12,0.5,0.3333333333333333
4,0,0,R,C,9,0.375,0.23076923076923078
4,0,1,U,R,10,0.4166666666666667,0.2631578947368421
4,0,1,U,C,9,0.375,0.23076923076923078
4,0,1,R,C,9,0.375,0.23076923076923078
4,0,2,U,R,10,0.4166666666666667,0.2631578947368421
4,0,2,U,C,11,0.4583333333333333,0.2972972972972973
4,0,2,R,C,9,0.375,0.23076923076923078
4,1,0,U,R,10,0.4166666666666667,0.2631578947368421
4,1,0,U,C,9,0.375,0.23076923076923078
4,1,0,R,C,11,0.4583333333333333,0.2972972972972973
4,1,1,U,R,9,0.375,0.23076923076923078
4,1,1,U,C,10,0.4166666666666667,0.2631578947368421
4,1,1,R,C,11,0.4583333333333333,0.2972972972972973
4,1,2,U,R,11,0.4583333333333333,0.2972972972972973
4,1,2,U,C,11,0.4583333333333333,0.2972972972972973
4,1,2,R,C,11,0.4583333333333333,0.2972972972972973
4,2,0,U,R,8,0.3333333333333333,0.2
4,2,0,U,C,7,0.2916666666666667,0.17073170731707318
4,2,0,R,C,8,0.3333333333333333,0.2
4,2,1,U,R,9,0.375,0.23076923076923078
4,2,1,U,C,8,0.3333333333333333,0.2
4,2,1,R,C,8,0.3333333333333333,0.2
4,2,2,U,R,7,0.2916666666666667,0.17073170731707318
4,2,2,U,C,10,0.4166666666666667,0.2631578947368421
4,2,2,R,C,8,0.3333333333333333,0.2
4,3,0,U,R,11,0.4583333333333333,0.2972972972972973
4,3,0,U,C,10,0.4166666666666667,0.2631578947368421
4,3,0,R,C,12,0.5,0.3333333333333333
4,3,1,U,R,9,0.375,0.23076923076923078
4,3,1,U,C,9,0.375,0.23076923076923078
4,3,1,R,C,12,0.5,0.3333333333333333
4,3,2,U,R,11,0.4583333333333333,0.2972972972972973
4,3,2,U,C,8,0.3333333333333333,0.2
4,3,2,R,C,12,0.5,0.3333333333333333
4,4,0,U,R,11,0.4583333333333333,0.2972972972972973
4,4,0,U,C,10,0.4166666666666667,0.2631578947368421
4,4,0,R,C,7,0.2916666666666667,0.17073170731707318
4,4,1,U,R,8,0.3333333333333333,0.2
4,4,1,U,C,11,0.4583333333333333,0.2972972972972973
4,4,1,R,C,7,0.2916666666666667,0.17073170731707318
4,4,2,U,R,8,0.3333333333333333,0.2
4,4,2,U,C,12,0.5,0.3333333333333333
4,4,2,R,C,7,0.2916666666666667,0.17073170731707318
4,5,0,U,R,10,0.4166666666666667,0.2631578947368421
4,5,0,U,C,11,0.4583333333333333,0.2972972972972973
4,5,0,R,C,10,0.4166666666666667,0.2631578947368421
4,5,1,U,R,7,0.2916666666666667,0.17073170731707318
4,5,1,U,C,10,0.4166666666666667,0.2631578947368421
4,5,1,R,C,10,0.4166666666666667,0.2631578947368421
4,5,2,U,R,9,0.375,0.23076923076923078
4,5,2,U,C,12,0.5,0.3333333333333333
4,5,2,R,C,10,0.4166666666666667,0.2631578947368421
