speaker,mean_uar_pp,nn3_distance,global_loso_mean_distance,n_contexts,references_per_context,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp
1001,22.222222222222225,0.6720929892159053,0.8760080723522002,18,8,20.833333333333336,23.611111111111114,22.22222222222222
1003,41.20370370370371,0.5761813610486384,0.8081292877711095,18,8,41.66666666666667,41.66666666666667,40.277777777777786
1004,42.12962962962962,0.5659846022739466,0.8421480013643325,18,8,40.27777777777777,43.05555555555555,43.05555555555555
1005,33.7962962962963,0.5708071459829639,0.7975279064492357,18,8,30.555555555555557,33.33333333333333,37.5
1007,40.27777777777778,0.5317251152695608,0.8067409068183201,18,8,40.27777777777777,36.11111111111111,44.44444444444445
1010,49.53703703703704,0.5782218319143115,0.8035258408099457,18,8,45.83333333333333,50.0,52.77777777777778
1011,52.77777777777778,0.45734235865977957,0.7811753096073517,18,8,48.611111111111114,56.94444444444444,52.77777777777778
1012,40.74074074074074,0.5116349297294636,0.8350118419253003,18,8,43.05555555555555,34.72222222222223,44.44444444444444
1013,56.60774410774411,0.5621618699989702,0.7938037636615493,18,8,58.964646464646464,53.28282828282828,57.57575757575758
1014,53.7037037037037,0.6405222811364264,0.8571635504085418,18,8,51.38888888888889,51.38888888888889,58.333333333333336
1015,41.666666666666664,0.597205928166311,0.808670753456672,18,8,44.44444444444444,40.27777777777777,40.27777777777777
1016,41.666666666666664,0.5857200302880917,0.8279735072540466,18,8,45.83333333333333,40.277777777777786,38.88888888888889
1017,35.01683501683502,0.5053150217627658,0.8052133592137058,18,8,39.267676767676775,34.974747474747474,30.808080808080806
1018,56.48148148148149,0.48258499657209886,0.8076587023684493,18,8,58.333333333333336,54.166666666666664,56.94444444444444
1020,49.53703703703704,0.5802285185087599,0.825862631916666,18,8,38.888888888888886,62.5,47.22222222222223
1021,40.74074074074075,0.5473525788774202,0.8068644484415748,18,8,38.88888888888889,41.66666666666667,41.66666666666667
1022,38.888888888888886,0.641000168144548,0.8516317514497671,18,8,38.888888888888886,40.27777777777777,37.5
1023,43.055555555555564,0.5671799186160151,0.8037892805670042,18,8,41.66666666666667,41.66666666666667,45.83333333333333
1024,32.870370370370374,0.5788078418892314,0.8404560971013673,18,8,34.72222222222223,27.77777777777778,36.11111111111111
1025,32.870370370370374,0.5263294609542458,0.804079616672325,18,8,26.38888888888889,33.33333333333333,38.88888888888889
1026,50.46296296296296,0.5843036311295816,0.7799812871722943,18,8,52.77777777777778,50.0,48.61111111111111
1027,51.85185185185185,0.585091253553209,0.8241515126588618,18,8,50.0,50.0,55.55555555555556
1028,42.129629629629626,0.5384451580796653,0.8180664931762632,18,8,40.27777777777777,48.611111111111114,37.5
1029,40.27777777777778,0.5526289739898406,0.8070343455005632,18,8,38.88888888888889,38.88888888888889,43.05555555555556
1030,51.851851851851855,0.5375128750831507,0.8391503109091045,18,8,51.38888888888889,51.38888888888889,52.77777777777778
1031,31.48148148148148,0.614585421435265,0.8423324204490812,18,8,34.72222222222223,27.777777777777775,31.944444444444443
1032,42.592592592592595,0.6737133800567707,0.848262040518544,18,8,40.277777777777786,43.05555555555555,44.44444444444444
1033,47.22222222222221,0.591749081875245,0.8282664211932488,18,8,45.83333333333333,48.61111111111111,47.222222222222214
1034,50.46296296296297,0.6608728219927578,0.8798741807570772,18,8,50.0,58.333333333333336,43.05555555555556
1035,46.2962962962963,0.5714740567517611,0.8192625212771835,18,8,44.44444444444445,43.05555555555555,51.38888888888889
1036,37.03703703703704,0.7429012842942483,0.8613330968456213,18,8,41.66666666666667,34.72222222222223,34.722222222222214
1037,56.018518518518526,0.6191968723425347,0.8556568220613914,18,8,54.166666666666664,56.94444444444444,56.94444444444445
1038,52.77777777777777,0.6161836907136968,0.81164209906964,18,8,62.5,47.22222222222223,48.6111111111111
1039,45.37037037037036,0.6071544099065445,0.9066051926140233,18,8,44.44444444444444,45.83333333333333,45.83333333333333
1040,40.74074074074074,0.5816741171198738,0.8162641255654458,18,8,44.44444444444444,38.888888888888886,38.888888888888886
1041,50.0,0.6182660329826324,0.8561917772270944,18,8,55.55555555555556,55.55555555555556,38.888888888888886
1042,33.7962962962963,0.6384699866167352,0.901666782436497,18,8,34.72222222222223,30.555555555555554,36.11111111111111
1043,54.62962962962964,0.6275910881402363,0.8316884821377903,18,8,50.0,59.72222222222222,54.16666666666667
1044,49.074074074074076,0.6120600020382746,0.8399735590704728,18,8,50.0,48.611111111111114,48.61111111111111
1045,46.296296296296305,0.6215077971536768,0.8057814604944695,18,8,41.66666666666667,51.38888888888889,45.83333333333333
1046,37.96296296296296,0.5723528512070893,0.8327229746273964,18,8,37.5,37.5,38.888888888888886
1047,54.629629629629626,0.5520454616252966,0.797402103823338,18,8,51.388888888888886,58.333333333333336,54.166666666666664
1048,50.0,0.6870207376119112,0.8387998824869313,18,8,50.000000000000014,48.61111111111111,51.388888888888886
1049,47.22222222222223,0.5965020813555282,0.812611365985299,18,8,51.38888888888889,43.05555555555556,47.22222222222223
1050,52.31481481481481,0.7069211176798087,0.8679058889346551,18,8,48.611111111111114,54.166666666666664,54.166666666666664
1051,53.24074074074074,0.5611077190325755,0.8404891272206055,18,8,59.72222222222222,50.0,50.0
1052,42.12962962962963,0.5240800720108504,0.7656040516837045,18,8,37.5,43.05555555555556,45.83333333333334
1053,50.925925925925924,0.602350602766442,0.8605839096207726,18,8,52.77777777777778,52.77777777777777,47.222222222222214
1054,25.0,0.6605356962807799,0.852031519249471,18,8,27.77777777777778,26.38888888888889,20.833333333333336
1055,48.14814814814815,0.5602270099948531,0.8486052668976742,18,8,43.05555555555556,52.77777777777778,48.61111111111111
1056,43.51851851851851,0.6358688743044878,0.8702912431018478,18,8,44.44444444444445,44.44444444444444,41.66666666666667
1057,37.96296296296296,0.75033142619881,0.8918663428238679,18,8,37.5,38.88888888888889,37.5
1058,44.90740740740741,0.6037261950156201,0.83963858082198,18,8,44.44444444444445,44.44444444444444,45.83333333333333
1059,30.555555555555557,0.5992601168423687,0.8676885059833697,18,8,34.72222222222223,26.38888888888889,30.555555555555554
1060,30.555555555555557,0.6834070820135315,0.924548710578966,18,8,30.555555555555557,31.944444444444443,29.166666666666668
1061,35.18518518518518,0.622258964040387,0.8745337626582251,18,8,34.722222222222214,40.277777777777786,30.555555555555557
1062,43.51851851851851,0.6488413640587816,0.841622563241626,18,8,48.611111111111114,47.222222222222214,34.72222222222223
1063,50.46296296296296,0.6309341479603654,0.882106975004382,18,8,52.77777777777778,51.388888888888886,47.22222222222223
1064,45.370370370370374,0.5517556371659178,0.7889295836099822,18,8,41.66666666666667,47.222222222222214,47.22222222222223
1065,49.53703703703704,0.4805744367925061,0.7974230179362816,18,8,48.611111111111114,47.22222222222223,52.77777777777778
1066,48.61111111111111,0.5787888280524452,0.7996904797501327,18,8,45.83333333333333,54.166666666666664,45.83333333333333
1067,34.72222222222222,0.7577659791674853,0.8898472175956454,18,8,33.33333333333333,33.33333333333333,37.5
1068,43.98148148148149,0.5504534186505098,0.8215784950874605,18,8,45.83333333333333,44.44444444444444,41.66666666666667
1069,37.03703703703704,0.6122967032540033,0.8020462986550916,18,8,34.72222222222223,37.5,38.88888888888889
1070,41.666666666666664,0.6536405884231715,0.8776519683783118,18,8,47.22222222222223,34.72222222222223,43.05555555555555
1071,34.72222222222222,0.5966704026673619,0.8316862938001566,18,8,33.33333333333333,36.111111111111114,34.722222222222214
1072,45.37037037037036,0.5062741403953909,0.8244558967282916,18,8,43.05555555555555,44.44444444444445,48.6111111111111
1073,46.75925925925926,0.6806506824195959,0.8790466317429195,18,8,50.000000000000014,48.61111111111111,41.66666666666667
1074,31.48148148148148,0.5669712467561818,0.8457405511577281,18,8,29.166666666666664,30.555555555555554,34.72222222222223
