fold,rotation,label_index,n_candidate_people,n_emotional_queries,identity_top1,mean_emotion_to_own_neutral_distance,mean_between_neutral_centroid_distance,own_emotion_distance_over_between_neutral
0,0,0,60,480,0.9291666666666667,0.5113287508041293,0.8382000548002275,0.6100318747008396
0,0,1,60,480,0.8833333333333333,0.5095023483312193,0.8382000548002275,0.6078529169896697
0,0,2,60,480,0.8520833333333333,0.5432007907917412,0.8382000548002275,0.6480562577882496
0,0,3,60,480,0.9166666666666666,0.4981042085470747,0.8382000548002275,0.5942545645213426
0,0,5,60,480,0.91875,0.4811756617364306,0.8382000548002275,0.5740582561177614
0,1,0,58,464,0.9137931034482759,0.5192825271677224,0.8319928900844056,0.6241429865044174
0,1,1,58,464,0.8577586206896551,0.527275472166244,0.8319928900844056,0.6337499736479142
0,1,2,58,464,0.8189655172413793,0.550901395747493,0.8319928900844056,0.6621467590806024
0,1,3,58,464,0.8706896551724138,0.5182080677266112,0.8319928900844056,0.6228515578709322
0,1,5,58,464,0.8987068965517241,0.4960829117284769,0.8319928900844056,0.5962585950441829
0,2,0,62,496,0.907258064516129,0.5220206165235223,0.837032852785372,0.6236560665288204
0,2,1,62,496,0.875,0.5251085668413086,0.837032852785372,0.6273452291554851
0,2,2,62,496,0.8145161290322581,0.5517030771898225,0.837032852785372,0.6591175906106131
0,2,3,62,496,0.8850806451612904,0.5085164757441852,0.837032852785372,0.6075227203472462
0,2,5,62,496,0.9032258064516129,0.49488992437958534,0.837032852785372,0.5912431307000117
0,3,0,61,488,0.9344262295081968,0.5091880225405916,0.8465078395495738,0.6015160152699002
0,3,1,61,488,0.8995901639344263,0.5083472782807694,0.8465078395495738,0.6005228239247739
0,3,2,61,488,0.8278688524590164,0.5488320090618124,0.8465078395495738,0.6483484067363694
0,3,3,61,488,0.9159836065573771,0.4939904558235709,0.8465078395495738,0.583562765451083
0,3,5,61,488,0.9200819672131147,0.4785368630599691,0.8465078395495738,0.5653070659269951
0,4,0,59,472,0.9300847457627118,0.5182903480415757,0.8407224658851629,0.6164820961408336
0,4,1,59,472,0.875,0.5201063979060874,0.8407224658851629,0.6186422024044382
0,4,2,59,472,0.8432203389830508,0.5483559174919336,0.8407224658851629,0.6522436829549829
0,4,3,59,472,0.9152542372881356,0.5040389755726563,0.8407224658851629,0.5995307560170573
0,4,5,59,472,0.9152542372881356,0.4885598884803062,0.8407224658851629,0.581119106845707
0,5,0,59,472,0.9110169491525424,0.516710216310226,0.8378488893615164,0.6167105105360772
0,5,1,59,472,0.8665254237288136,0.5175589147653524,0.8378488893615164,0.6177234598469884
0,5,2,59,472,0.8432203389830508,0.5426145644006529,0.8378488893615164,0.6476281955976011
0,5,3,59,472,0.885593220338983,0.5115188308628394,0.8378488893615164,0.6105144225382252
0,5,5,59,472,0.9088983050847458,0.48313046737430104,0.8378488893615164,0.5766319840114261
1,0,0,60,480,0.9208333333333333,0.5070172488420278,0.8367040724567857,0.6059696200035101
1,0,1,60,480,0.9041666666666667,0.5029545857863226,0.8367040724567857,0.6011140645097067
1,0,2,60,480,0.85625,0.5410159321299254,0.8367040724567857,0.6466036797709837
1,0,3,60,480,0.91875,0.4941996379677985,0.8367040724567857,0.5906504512601414
1,0,5,60,480,0.9270833333333334,0.47056518351081267,0.8367040724567857,0.5624033621936465
1,1,0,59,472,0.913135593220339,0.5137310047869158,0.8317581870039162,0.617644662612136
1,1,1,59,472,0.8601694915254238,0.5225887158633495,0.8317581870039162,0.6282940451067529
1,1,2,59,472,0.8241525423728814,0.5517880769672745,0.8317581870039162,0.6633996341591483
1,1,3,59,472,0.8834745762711864,0.5145397114263858,0.8317581870039162,0.6186169483703118
1,1,5,59,472,0.8983050847457628,0.49339136398096684,0.8317581870039162,0.5931908716861765
1,2,0,62,496,0.8830645161290323,0.5222060334408327,0.8375764523405692,0.6234726776063866
1,2,1,62,496,0.8790322580645161,0.5221136501430784,0.8375764523405692,0.623362379259894
1,2,2,62,496,0.8084677419354839,0.5555527574521991,0.8375764523405692,0.6632860270841333
1,2,3,62,496,0.9012096774193549,0.5097295245700366,0.8375764523405692,0.6085767133801585
1,2,5,62,496,0.905241935483871,0.49116140684485954,0.8375764523405692,0.5864078502593183
1,3,0,61,488,0.9364754098360656,0.5018366014133424,0.8415643202250718,0.5963140182548721
1,3,1,61,488,0.9118852459016393,0.5012230231178126,0.8415643202250718,0.5955849256819292
1,3,2,61,488,0.8401639344262295,0.5459893708999205,0.8415643202250718,0.6487791340225767
1,3,3,61,488,0.930327868852459,0.490748615710057,0.8415643202250718,0.5831385717241541
1,3,5,61,488,0.9241803278688525,0.46962075571436035,0.8415643202250718,0.5580331109911633
1,4,0,59,472,0.9300847457627118,0.5121117836514993,0.8377623110141402,0.6112852976539018
1,4,1,59,472,0.8983050847457628,0.5118809045434584,0.8377623110141402,0.6110097074238262
1,4,2,59,472,0.847457627118644,0.5461778770666408,0.8377623110141402,0.6519484940847644
1,4,3,59,472,0.9173728813559322,0.5020903482024893,0.8377623110141402,0.599323151210624
1,4,5,59,472,0.9194915254237288,0.47958971198430955,0.8377623110141402,0.5724651320298112
1,5,0,59,472,0.902542372881356,0.5093336777808329,0.8407704181572786,0.6057940036676629
1,5,1,59,472,0.8728813559322034,0.5100044568911225,0.8407704181572786,0.6065918185001111
1,5,2,59,472,0.8453389830508474,0.5407577525685826,0.8407704181572786,0.6431693371821579
1,5,3,59,472,0.8983050847457628,0.5043842580361837,0.8407704181572786,0.5999072364387482
1,5,5,59,472,0.9216101694915254,0.4798637152055242,0.8407704181572786,0.5707428625489039
2,0,0,59,472,0.9194915254237288,0.5058510553915863,0.8332313883912531,0.6070955348528688
2,0,1,59,472,0.885593220338983,0.5102871164370643,0.8332313883912531,0.6124194594040584
2,0,2,59,472,0.8220338983050848,0.5512722909234968,0.8332313883912531,0.6616076861768928
2,0,3,59,472,0.8961864406779662,0.5021695790839797,0.8332313883912531,0.6026772227742583
2,0,5,59,472,0.8940677966101694,0.49269313099415096,0.8332313883912531,0.5913040937468877
2,1,0,58,464,0.9094827586206896,0.5234984333914974,0.8264997859546909,0.6333920979626192
2,1,1,58,464,0.8405172413793104,0.5264999388218061,0.8264997859546909,0.6370236844207351
2,1,2,58,464,0.7995689655172413,0.5583496604496091,0.8264997859546909,0.6755593527524738
2,1,3,58,464,0.8599137931034483,0.5224279522110453,0.8264997859546909,0.632096899586717
2,1,5,58,464,0.8685344827586207,0.5072434525263758,0.8264997859546909,0.6137248443935872
2,2,0,61,488,0.8954918032786885,0.520037901279514,0.8324878588165421,0.6246792620120558
2,2,1,61,488,0.8831967213114754,0.5242314892407197,0.8324878588165421,0.6297166783741002
2,2,2,61,488,0.7930327868852459,0.555782454415374,0.8324878588165421,0.6676162883690218
2,2,3,61,488,0.8852459016393442,0.5146334409580167,0.8324878588165421,0.618187323103565
2,2,5,61,488,0.8729508196721312,0.503491181689861,0.8324878588165421,0.6048030326900141
2,3,0,61,488,0.9405737704918032,0.5000673965418366,0.8355143127461229,0.5985144585952602
2,3,1,61,488,0.8934426229508197,0.5050435227446697,0.8355143127461229,0.6044702227598234
2,3,2,61,488,0.8135245901639344,0.5489227886216851,0.8355143127461229,0.6569878938608671
2,3,3,61,488,0.8975409836065574,0.4954990945425446,0.8355143127461229,0.5930468060014019
2,3,5,61,488,0.8934426229508197,0.4882337219960674,0.8355143127461229,0.5843511170878299
2,4,0,59,472,0.9258474576271186,0.5131003236569107,0.831677192074802,0.6169464890300393
2,4,1,59,472,0.8707627118644068,0.5168159493148597,0.831677192074802,0.6214141186504688
2,4,2,59,472,0.826271186440678,0.5538550525055259,0.831677192074802,0.6659495508393256
2,4,3,59,472,0.8877118644067796,0.5101751226867356,0.831677192074802,0.6134292578277774
2,4,5,59,472,0.8792372881355932,0.49704039561397884,0.831677192074802,0.5976361986962779
2,5,0,57,456,0.9078947368421053,0.5139612493019698,0.8367212380866554,0.6142562491628081
2,5,1,57,456,0.8552631578947368,0.51592465358829,0.8367212380866554,0.6166027944600325
2,5,2,57,456,0.8245614035087719,0.5512625805393274,0.8367212380866554,0.6588366058448676
2,5,3,57,456,0.8771929824561403,0.5125978861557404,0.8367212380866554,0.6126268377361935
2,5,5,57,456,0.8837719298245614,0.4949459122981972,0.8367212380866554,0.5915302370356923
3,0,0,62,496,0.9375,0.4954351633214887,0.8376451514251797,0.5914618648225316
3,0,1,62,496,0.8911290322580645,0.499943223673668,0.8376451514251797,0.5968436907001234
3,0,2,62,496,0.8649193548387096,0.5248071040568029,0.8376451514251797,0.6265267615575517
3,0,3,62,496,0.9395161290322581,0.48407034851183756,0.8376451514251797,0.5778942881579799
3,0,5,62,496,0.9213709677419355,0.47142802692992364,0.8376451514251797,0.5628015945986558
3,1,0,62,496,0.9092741935483871,0.5112247563930926,0.8263245490327282,0.6186730831021753
3,1,1,62,496,0.8649193548387096,0.5142646066724255,0.8263245490327282,0.6223518438056921
3,1,2,62,496,0.844758064516129,0.5363014025577223,0.8263245490327282,0.6490202949742947
3,1,3,62,496,0.9032258064516129,0.5038025894423263,0.8263245490327282,0.6096909380606725
3,1,5,62,496,0.905241935483871,0.485653548919961,0.8263245490327282,0.5877273638892286
3,2,0,63,504,0.9166666666666666,0.5092711847596739,0.8394453562877061,0.6066758019983967
3,2,1,63,504,0.8809523809523809,0.5129421691540693,0.8394453562877061,0.6110489090349638
3,2,2,63,504,0.8472222222222222,0.5338602589988977,0.8394453562877061,0.6359678506767816
3,2,3,63,504,0.9087301587301587,0.4989055816451323,0.8394453562877061,0.5943276449243239
3,2,5,63,504,0.9067460317460317,0.4868907355235546,0.8394453562877061,0.580014806058062
3,3,0,62,496,0.9455645161290323,0.4921779917602019,0.8447184122059349,0.5826533252364022
3,3,1,62,496,0.8991935483870968,0.49481557642599977,0.8447184122059349,0.5857757677304755
3,3,2,62,496,0.8528225806451613,0.5304381582445908,0.8447184122059349,0.6279467223395561
3,3,3,62,496,0.9173387096774194,0.48338596963985675,0.8447184122059349,0.5722450968927282
