fold,rotation,comparison,speaker,distance_rank_spearman,nn3_intersection_fraction,n_peer_people
0,0,xvector_half4_vs_half4,1018,0.9083576855639977,1.0,59
0,0,xvector_half4_vs_half4,1021,0.9491525423728814,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1022,0.9194623027469316,1.0,59
0,0,xvector_half4_vs_half4,1023,0.8715371127995324,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1024,0.931385154880187,0.0,59
0,0,xvector_half4_vs_half4,1026,0.939041496201052,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1027,0.8912331969608416,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1029,0.9311513734658095,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1031,0.9303915838690824,0.0,59
0,0,xvector_half4_vs_half4,1033,0.9443600233781414,0.0,59
0,0,xvector_half4_vs_half4,1035,0.9308007013442431,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1036,0.9396259497369959,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1037,0.9274693161893629,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1039,0.9530099357101111,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1040,0.8778492109877265,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1041,0.9169491525423729,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1042,0.9404441846873174,0.0,59
0,0,xvector_half4_vs_half4,1044,0.9482758620689655,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1046,0.9617767387492694,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1048,0.9452951490356517,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1049,0.9218001168907072,0.0,59
0,0,xvector_half4_vs_half4,1050,0.9447691408533022,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1051,0.9541788427819988,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1054,0.9548801870251316,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1055,0.9483343074225599,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1056,0.8901811805961426,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1057,0.9268848626534191,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1058,0.9388077147866745,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1060,0.9307422559906487,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1062,0.9615429573348919,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1063,0.9590882524839275,1.0,59
0,0,xvector_half4_vs_half4,1064,0.924313267095266,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1065,0.921624780829924,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1066,0.9373465809468148,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1067,0.8724137931034482,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1069,0.9265926358854472,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1071,0.9523670368205728,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1072,0.9443600233781414,1.0,59
0,0,xvector_half4_vs_half4,1073,0.9361192285213326,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1074,0.9368790181180596,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1075,0.9487434248977207,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1077,0.911864406779661,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1078,0.9104617182933957,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1079,0.9329631794272355,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1080,0.9056691992986557,1.0,59
0,0,xvector_half4_vs_half4,1081,0.9279953243717124,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1082,0.9556399766218585,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1083,0.9319111630625365,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1084,0.8743424897720631,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1088,0.9412624196376388,0.6666666666666666,59
0,0,xvector_half4_vs_half4,1090,0.822676797194623,0.3333333333333333,59
0,0,xvector_half4_vs_half4,1091,0.9441262419637639,1.0,59
0,0,ecapa_vs_xvector,1003,0.5967270601987142,0.3333333333333333,59
0,0,ecapa_vs_xvector,1004,0.30046756282875514,0.3333333333333333,59
0,0,ecapa_vs_xvector,1005,0.6819988310929281,1.0,59
0,0,ecapa_vs_xvector,1007,0.34424313267095263,0.0,59
0,0,ecapa_vs_xvector,1009,0.5236703682057277,0.3333333333333333,59
0,0,ecapa_vs_xvector,1012,0.5343074225599065,0.3333333333333333,59
0,0,ecapa_vs_xvector,1014,0.578667445938048,0.3333333333333333,59
0,0,ecapa_vs_xvector,1016,0.7762127410870836,0.6666666666666666,59
0,0,ecapa_vs_xvector,1018,0.6309175920514319,0.3333333333333333,59
0,0,ecapa_vs_xvector,1021,0.6145528930450029,0.3333333333333333,59
0,0,ecapa_vs_xvector,1022,0.5568088836937464,0.3333333333333333,59
0,0,ecapa_vs_xvector,1023,0.5160140268848626,0.3333333333333333,59
0,0,ecapa_vs_xvector,1024,0.3898889538281707,0.0,59
0,0,ecapa_vs_xvector,1026,0.7618936294564582,0.6666666666666666,59
0,0,ecapa_vs_xvector,1027,0.5767971946230275,0.3333333333333333,59
0,0,ecapa_vs_xvector,1029,0.6232028053769725,0.0,59
0,0,ecapa_vs_xvector,1031,0.4642314436002338,0.6666666666666666,59
0,0,ecapa_vs_xvector,1033,0.6360023378141437,0.3333333333333333,59
0,0,ecapa_vs_xvector,1035,0.6182933956750438,0.3333333333333333,59
0,0,ecapa_vs_xvector,1036,0.08310929281122151,0.3333333333333333,59
0,0,ecapa_vs_xvector,1037,0.2990064289888954,1.0,59
0,0,ecapa_vs_xvector,1039,0.44161309175920516,0.3333333333333333,59
0,0,ecapa_vs_xvector,1040,0.5514319111630626,0.6666666666666666,59
0,0,ecapa_vs_xvector,1041,0.5803039158386908,0.3333333333333333,59
0,0,ecapa_vs_xvector,1042,0.1739918176504968,0.6666666666666666,59
0,0,ecapa_vs_xvector,1044,0.5822326125073056,0.0,59
0,0,ecapa_vs_xvector,1046,0.5973699590882525,0.0,59
0,0,ecapa_vs_xvector,1048,0.49643483343074224,0.0,59
0,0,ecapa_vs_xvector,1049,0.5368205727644653,0.6666666666666666,59
0,0,ecapa_vs_xvector,1050,0.1130333138515488,0.6666666666666666,59
0,0,ecapa_vs_xvector,1051,0.5092928112215079,0.6666666666666666,59
0,0,ecapa_vs_xvector,1054,0.5910578609000584,0.6666666666666666,59
0,0,ecapa_vs_xvector,1055,0.4327878433664524,0.6666666666666666,59
0,0,ecapa_vs_xvector,1056,0.35955581531268266,0.6666666666666666,59
0,0,ecapa_vs_xvector,1057,0.025891291642314435,0.3333333333333333,59
0,0,ecapa_vs_xvector,1058,0.14050263004091174,0.3333333333333333,59
0,0,ecapa_vs_xvector,1060,0.25511396843950906,0.0,59
0,0,ecapa_vs_xvector,1062,0.5071303331385155,0.0,59
0,0,ecapa_vs_xvector,1063,0.6873173582700175,0.6666666666666666,59
0,0,ecapa_vs_xvector,1064,0.7393921683226183,1.0,59
0,0,ecapa_vs_xvector,1065,0.5567504383401519,0.6666666666666666,59
0,0,ecapa_vs_xvector,1066,0.6729982466393921,0.6666666666666666,59
0,0,ecapa_vs_xvector,1067,0.2909994155464641,0.3333333333333333,59
0,0,ecapa_vs_xvector,1069,0.7026884862653419,0.3333333333333333,59
0,0,ecapa_vs_xvector,1071,0.3586791350087668,0.6666666666666666,59
0,0,ecapa_vs_xvector,1072,0.4869666861484512,0.6666666666666666,59
0,0,ecapa_vs_xvector,1073,0.5109292811221507,0.6666666666666666,59
0,0,ecapa_vs_xvector,1074,0.5909994155464641,0.6666666666666666,59
0,0,ecapa_vs_xvector,1075,0.6695499707773233,0.6666666666666666,59
0,0,ecapa_vs_xvector,1077,0.451957919345412,0.3333333333333333,59
0,0,ecapa_vs_xvector,1078,0.33565166569257743,1.0,59
0,0,ecapa_vs_xvector,1079,0.3233781414377557,0.3333333333333333,59
0,0,ecapa_vs_xvector,1080,0.6253068381063706,0.3333333333333333,59
0,0,ecapa_vs_xvector,1081,0.5553477498538866,0.3333333333333333,59
0,0,ecapa_vs_xvector,1082,0.5902980713033313,0.3333333333333333,59
0,0,ecapa_vs_xvector,1083,0.3607831677381648,0.6666666666666666,59
0,0,ecapa_vs_xvector,1084,0.7213325540619521,0.6666666666666666,59
0,0,ecapa_vs_xvector,1088,0.5650496785505552,0.6666666666666666,59
0,0,ecapa_vs_xvector,1090,0.4860900058445354,1.0,59
0,0,ecapa_vs_xvector,1091,0.4792518994739918,0.3333333333333333,59
0,1,ecapa_half4_vs_half4,1003,0.8124189784806845,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1004,0.6331993777547317,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1005,0.727702877884366,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1007,0.7549909255898367,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1012,0.6470702618615505,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1014,0.585105003889033,0.0,57
0,1,ecapa_half4_vs_half4,1016,0.5941794140523723,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1018,0.5671506352087115,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1021,0.5875032408607727,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1022,0.726017630282603,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1023,0.6740342234897588,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1024,0.5939849624060151,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1026,0.802113041223749,0.0,57
0,1,ecapa_half4_vs_half4,1027,0.7474721285973555,1.0,57
0,1,ecapa_half4_vs_half4,1029,0.4466554316826549,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1031,0.5981332641949701,1.0,57
0,1,ecapa_half4_vs_half4,1033,0.8286232823437905,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1035,0.7663339382940109,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1036,0.16320974850920406,0.0,57
0,1,ecapa_half4_vs_half4,1037,0.7052113041223749,0.0,57
0,1,ecapa_half4_vs_half4,1039,0.5303992740471869,1.0,57
0,1,ecapa_half4_vs_half4,1041,0.7812418978480684,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1042,0.5723360124449054,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1044,0.73930515945035,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1046,0.588021778584392,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1048,0.39959813326419497,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1049,0.6444127560280011,0.0,57
0,1,ecapa_half4_vs_half4,1050,0.6522556390977443,0.0,57
0,1,ecapa_half4_vs_half4,1051,0.6569224786103189,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1054,0.6139486647653617,0.0,57
0,1,ecapa_half4_vs_half4,1055,0.6974980554835364,1.0,57
0,1,ecapa_half4_vs_half4,1056,0.5787529167746953,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1057,0.4701840808918849,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1058,0.6564687581021519,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1060,0.5822530464091262,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1062,0.6175784288306975,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1063,0.6143375680580763,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1064,0.8584392014519057,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1065,0.7180451127819549,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1066,0.7930386310604096,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1067,0.49799066632097483,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1069,0.5973554576095411,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1071,0.6765620948924034,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1072,0.6916645060928183,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1073,0.650051853772362,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1074,0.6047446201711174,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1075,0.5766787658802178,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1077,0.6440886699507389,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1078,0.5883458646616542,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1079,0.6894607207674358,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1080,0.8421052631578947,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1081,0.8044464609800362,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1082,0.7708063261602282,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1083,0.6068835882810475,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1084,0.7010630023334198,0.0,57
0,1,ecapa_half4_vs_half4,1088,0.693155302048224,0.6666666666666666,57
0,1,ecapa_half4_vs_half4,1090,0.673126782473425,0.3333333333333333,57
0,1,ecapa_half4_vs_half4,1091,0.49403681617837697,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1003,0.9174876847290641,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1004,0.9415348716619134,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1005,0.9549520352605652,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1007,0.7328234379051076,0.0,57
0,1,xvector_half4_vs_half4,1012,0.8904589058854032,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1014,0.8001037075447239,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1016,0.9331086336530983,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1018,0.8938942183043816,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1021,0.9463961628208453,0.0,57
0,1,xvector_half4_vs_half4,1022,0.926497277676951,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1023,0.9462665283899404,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1024,0.9131449312937516,0.0,57
0,1,xvector_half4_vs_half4,1026,0.905107596577651,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1027,0.8318641431164118,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1029,0.9113300492610837,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1031,0.9638319937775474,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1033,0.9585169821104486,1.0,57
0,1,xvector_half4_vs_half4,1035,0.9480165932071558,1.0,57
0,1,xvector_half4_vs_half4,1036,0.9285714285714286,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1037,0.9537853253824216,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1039,0.9493777547316568,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1041,0.931682654913145,0.0,57
0,1,xvector_half4_vs_half4,1042,0.9553409385532797,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1044,0.9283121597096189,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1046,0.9419885921700804,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1048,0.9450998185117967,0.0,57
0,1,xvector_half4_vs_half4,1049,0.9394607207674358,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1050,0.8950609281825253,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1051,0.9437386569872959,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1054,0.9660357791029297,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1055,0.9441275602800103,1.0,57
0,1,xvector_half4_vs_half4,1056,0.9257842883069743,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1057,0.9319419237749547,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1058,0.9066632097485092,1.0,57
0,1,xvector_half4_vs_half4,1060,0.9404977962146747,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1062,0.9537853253824216,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1063,0.9368680321493389,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1064,0.9482758620689655,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1065,0.9450998185117967,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1066,0.9425071298936998,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1067,0.8539668135856884,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1069,0.9152190821882292,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1071,0.9470443349753694,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1072,0.9500259268861809,1.0,57
0,1,xvector_half4_vs_half4,1073,0.9591003370495204,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1074,0.9117837697692507,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1075,0.9401737101374125,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1077,0.9185247601763028,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1078,0.875615763546798,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1079,0.9621467461757843,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1080,0.9436738397718434,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1081,0.8980425200933367,0.3333333333333333,57
0,1,xvector_half4_vs_half4,1082,0.9400440757065076,0.6666666666666666,57
0,1,xvector_half4_vs_half4,1083,0.9101633393829401,0.3333333333333333,57
