unit_id,corpus,draw,fold,epoch,seen_ce,unseen_ce,seen_uar,unseen_uar,outer_uar
fpc_formal_cremad_d00_f0_A,cremad,0,0,1,1.607603064087151,1.63633789774013,28.125,28.47222222222222,26.043148411569465
fpc_formal_cremad_d00_f0_A,cremad,0,0,2,1.3873550488325987,1.40118889697527,44.79166666666667,43.40277777777778,42.318634423897585
fpc_formal_cremad_d00_f0_A,cremad,0,0,3,1.289121211991761,1.3173364964112015,48.95833333333333,44.09722222222222,39.59222380275012
fpc_formal_cremad_d00_f0_A,cremad,0,0,4,1.1492024735808093,1.1892464309032584,56.59722222222222,53.81944444444444,49.85775248933144
fpc_formal_cremad_d00_f0_A,cremad,0,0,5,1.1752536977657957,1.2617652799762826,55.90277777777778,54.513888888888886,51.11427216690374
fpc_formal_cremad_d00_f0_A,cremad,0,0,6,1.0992188349957839,1.213107662496136,59.02777777777778,52.77777777777778,55.03793266951161
fpc_formal_cremad_d00_f0_A,cremad,0,0,7,1.4275567756482015,1.4329149370856724,52.77777777777778,51.388888888888886,51.505452821242294
fpc_formal_cremad_d00_f0_A,cremad,0,0,8,1.422980644177845,1.4495564109677208,54.166666666666664,56.59722222222222,51.505452821242294
fpc_formal_cremad_d00_f0_A,cremad,0,0,9,1.5809408534042866,1.7027345985924696,51.041666666666664,52.083333333333336,48.85016595542911
fpc_formal_cremad_d00_f0_A,cremad,0,0,10,1.7009713083972884,1.8815288748261234,52.43055555555556,48.95833333333333,46.14746325272641
fpc_formal_cremad_d00_f0_A,cremad,0,0,11,1.5842978833649042,1.6714229614991636,53.81944444444444,54.861111111111114,50.55713608345187
fpc_formal_cremad_d00_f0_A,cremad,0,0,12,1.9794242517350422,2.177824177181638,48.61111111111111,48.95833333333333,45.697012802275964
fpc_formal_cremad_d00_f0_A,cremad,0,0,13,2.090174140407977,2.296332081885001,49.30555555555556,48.26388888888889,48.826458036984356
fpc_formal_cremad_d00_f0_A,cremad,0,0,14,2.165966674388855,2.407282456806601,52.43055555555556,47.22222222222222,45.7325746799431
fpc_formal_cremad_d00_f0_A,cremad,0,0,15,2.5087092383375236,2.5113164397412313,47.56944444444444,47.91666666666667,39.5448079658606
fpc_formal_cremad_d00_f1_A,cremad,0,1,1,1.6142129731389716,1.641980040331928,28.819444444444443,27.430555555555557,32.45614035087719
fpc_formal_cremad_d00_f1_A,cremad,0,1,2,1.3981865384120407,1.4480634677509474,42.70833333333333,37.84722222222222,43.859649122807014
fpc_formal_cremad_d00_f1_A,cremad,0,1,3,1.4540117746832462,1.532391371643859,43.40277777777778,40.625,46.92982456140351
fpc_formal_cremad_d00_f1_A,cremad,0,1,4,1.1957842041945712,1.2364370864295542,53.125,50.34722222222222,57.89473684210527
fpc_formal_cremad_d00_f1_A,cremad,0,1,5,1.2431173987626454,1.2486523689145386,54.166666666666664,53.81944444444444,60.526315789473685
fpc_formal_cremad_d00_f1_A,cremad,0,1,6,1.1122722323218237,1.1896219827350076,60.416666666666664,58.333333333333336,65.35087719298247
fpc_formal_cremad_d00_f1_A,cremad,0,1,7,1.1462260829522712,1.2217333633353764,60.416666666666664,59.72222222222222,64.03508771929825
fpc_formal_cremad_d00_f1_A,cremad,0,1,8,1.1969786678161025,1.2821179787720818,59.375,56.94444444444444,64.91228070175438
fpc_formal_cremad_d00_f1_A,cremad,0,1,9,1.4912434307681803,1.6741277400017784,54.166666666666664,53.81944444444444,59.64912280701754
fpc_formal_cremad_d00_f1_A,cremad,0,1,10,1.5464328543426693,1.6515753068676078,56.59722222222222,53.81944444444444,60.526315789473685
fpc_formal_cremad_d00_f1_A,cremad,0,1,11,1.5012145990794763,1.588914267548584,57.638888888888886,52.083333333333336,58.77192982456141
fpc_formal_cremad_d00_f1_A,cremad,0,1,12,1.7374480592575818,1.8689947023224955,54.166666666666664,52.43055555555556,59.64912280701754
fpc_formal_cremad_d00_f1_A,cremad,0,1,13,1.9221928410770426,2.111762790037277,54.861111111111114,52.77777777777778,58.333333333333336
fpc_formal_cremad_d00_f1_A,cremad,0,1,14,1.9204713127086346,2.073827492091364,54.513888888888886,51.041666666666664,55.26315789473685
fpc_formal_cremad_d00_f1_A,cremad,0,1,15,1.671666048055076,1.908119530245531,58.333333333333336,56.59722222222222,62.28070175438597
fpc_formal_cremad_d00_f2_A,cremad,0,2,1,1.563451839489195,1.5241631884232727,37.5,39.23611111111111,38.59649122807017
fpc_formal_cremad_d00_f2_A,cremad,0,2,2,1.4776082802408568,1.4572836038566228,40.97222222222222,40.27777777777778,42.54385964912281
fpc_formal_cremad_d00_f2_A,cremad,0,2,3,1.4105047038177023,1.4037998292893101,46.18055555555556,43.75,49.122807017543856
fpc_formal_cremad_d00_f2_A,cremad,0,2,4,1.5336327909641878,1.5623603707517197,44.44444444444444,43.75,46.49122807017544
fpc_formal_cremad_d00_f2_A,cremad,0,2,5,1.076044981780909,1.1433957610131498,57.291666666666664,55.90277777777778,58.333333333333336
fpc_formal_cremad_d00_f2_A,cremad,0,2,6,1.472076586872609,1.549347058854349,46.875,49.30555555555556,51.31578947368421
fpc_formal_cremad_d00_f2_A,cremad,0,2,7,1.3826876648693631,1.483633911069681,54.166666666666664,52.43055555555556,53.50877192982456
fpc_formal_cremad_d00_f2_A,cremad,0,2,8,1.5007425329019461,1.5901258126075322,52.083333333333336,52.083333333333336,53.94736842105263
fpc_formal_cremad_d00_f2_A,cremad,0,2,9,1.3401366361063174,1.4046640944291242,53.81944444444444,54.861111111111114,56.14035087719298
fpc_formal_cremad_d00_f2_A,cremad,0,2,10,1.352086982693898,1.4582676919381816,52.77777777777778,58.68055555555556,56.14035087719298
fpc_formal_cremad_d00_f2_A,cremad,0,2,11,1.231547260597964,1.380733810467161,58.68055555555556,55.208333333333336,57.45614035087719
fpc_formal_cremad_d00_f2_A,cremad,0,2,12,1.2525504610991713,1.48431247155355,61.80555555555556,57.291666666666664,58.77192982456141
fpc_formal_cremad_d00_f2_A,cremad,0,2,13,1.64220355849801,1.8584919086806104,55.55555555555556,53.81944444444444,54.385964912280706
fpc_formal_cremad_d00_f2_A,cremad,0,2,14,1.5763545828638843,1.748404907159541,56.94444444444444,55.208333333333336,54.824561403508774
fpc_formal_cremad_d00_f2_A,cremad,0,2,15,1.9297160455854896,2.0385021867830586,53.125,55.208333333333336,53.07017543859649
fpc_formal_cremad_d00_f3_A,cremad,0,3,1,1.6485504521553815,1.626276274130913,29.51388888888889,32.98611111111111,30.808080808080806
fpc_formal_cremad_d00_f3_A,cremad,0,3,2,1.411830010086385,1.3877825909294959,46.18055555555556,44.79166666666667,38.88888888888889
