unit_id,corpus,draw,fold,delta_CE_pp,delta_UAR_pp,J_pp,last_outer_uar,oracle_outer_uar,middle_8_10_minus_late_14_15_pp,ce_epoch_agreement,uar_epoch_agreement
fpc_formal_ravdess_d02_f0_A,ravdess,2,0,0.0,-4.166666666666667,4.166666666666667,35.41666666666667,35.41666666666667,-11.11111111111111,1,0
fpc_formal_ravdess_d02_f1_A,ravdess,2,1,0.0,-2.0833333333333335,2.0833333333333335,35.41666666666667,45.83333333333333,-5.555555555555557,1,0
fpc_formal_ravdess_d02_f2_A,ravdess,2,2,0.0,3.125,-3.125,21.875,28.125,5.729166666666668,1,0
fpc_formal_ravdess_d02_f3_A,ravdess,2,3,0.0,-3.125,3.125,28.125,28.125,-6.770833333333332,1,0
fpc_formal_ravdess_d02_f4_A,ravdess,2,4,3.125,3.125,0.0,46.875,46.875,-9.895833333333332,0,0
fpc_formal_ravdess_d03_f0_A,ravdess,3,0,0.0,0.0,0.0,31.25,31.25,-11.11111111111111,1,1
fpc_formal_ravdess_d03_f1_A,ravdess,3,1,0.0,-2.0833333333333335,2.0833333333333335,37.5,39.58333333333333,-21.180555555555554,1,0
fpc_formal_ravdess_d03_f2_A,ravdess,3,2,0.0,-3.125,3.125,40.625,40.625,-9.895833333333332,1,0
fpc_formal_ravdess_d03_f3_A,ravdess,3,3,3.125,0.0,3.125,43.75,46.875,-8.854166666666664,0,1
fpc_formal_ravdess_d03_f4_A,ravdess,3,4,0.0,3.125,-3.125,37.5,37.5,-17.708333333333332,1,0
fpc_formal_ravdess_d04_f0_A,ravdess,4,0,8.333333333333334,-4.166666666666667,12.5,35.41666666666667,35.41666666666667,-4.861111111111114,0,0
fpc_formal_ravdess_d04_f1_A,ravdess,4,1,0.0,2.0833333333333335,-2.0833333333333335,27.083333333333332,37.5,-0.3472222222222179,1,0
fpc_formal_ravdess_d04_f2_A,ravdess,4,2,0.0,-9.375,9.375,34.375,40.625,-9.375,1,0
fpc_formal_ravdess_d04_f3_A,ravdess,4,3,0.0,6.25,-6.25,21.875,31.25,-4.6875,1,0
fpc_formal_ravdess_d04_f4_A,ravdess,4,4,0.0,0.0,0.0,43.75,43.75,-19.270833333333332,1,1
