corpus,draw,delta_CE_pp,delta_UAR_pp,J_pp,last_outer_uar,middle_8_10_minus_late_14_15_pp
cremad,0,-0.07507507507507508,1.0057735754330182,-1.0808486505080932,52.77058088203599,2.9313397270053585
cremad,1,4.224053775137366,-0.9907120743034056,5.214765849440772,52.88065154938219,0.2776848055485857
cremad,2,0.8793820558526441,0.8735966475904556,0.005785408262188448,52.97385620915033,-0.05978255204261131
cremad,3,0.8825093035619351,0.6965944272445821,0.1859148763173531,53.39634737467556,3.334506051224318
cremad,4,0.7017543859649122,-0.37605153704224914,1.0778059230071615,53.950815436883545,0.9092302500455262
cremad,5,-0.49019607843137253,-1.0709006219842132,0.5807045435528407,53.88265974953282,0.7689733076729979
cremad,6,1.8020807184893872,0.5776068779164755,1.2244738405729119,53.27279573409604,0.47178405537538737
cremad,7,0.43107841869451774,1.2774215250995438,-0.8463431064050259,53.9696648520178,-0.761809515679488
cremad,8,-2.4433186352690996,-0.9170062266037499,-1.52631240866535,51.93711442937449,0.08958719485035119
cremad,9,0.7017543859649122,1.4186118892001245,-0.7168575032352122,53.828697560895705,1.3723510846833846
cremad,10,1.9068435167506375,0.34055727554179566,1.5662862412088419,50.11605047208762,-0.05684688347227507
cremad,11,-1.4765300059417708,-0.10674057113685596,-1.3697894348049147,52.60764282436109,1.511361488141675
cremad,12,1.0814022578728462,-2.049285423898427,3.130687681771273,53.88185258154299,-3.0549301060136953
cremad,13,-0.05159958720330237,0.19607843137254902,-0.2476780185758514,54.809639360722954,-2.0444360769438177
cremad,14,1.688578530683794,-0.8975961607540555,2.5861746914378494,53.44662844662845,-1.5356983778036422
cremad,15,3.1424148606811144,-0.03611971104231166,3.1785345717234263,51.92466460268317,2.1680426556587564
cremad,16,3.410732714138287,1.676986584107327,1.7337461300309598,53.89576883384933,0.7137942896456835
cremad,17,2.236844218268367,-0.5231082475664519,2.759952465834819,54.012541953718426,0.3809593438076405
cremad,18,0.08771929824561403,0.016595542911332386,0.07112375533428165,56.1549897772808,0.09586986367172017
cremad,19,0.0,-0.7533539731682146,0.7533539731682146,57.55417956656347,-1.0251117991056078
cremad,20,0.0,0.9184726522187823,-0.9184726522187823,53.02608124589549,-0.18614941989555406
cremad,21,2.855020796197267,0.5618100509741376,2.293210745223129,58.264694472124816,-1.0661576296251227
cremad,22,0.7017543859649122,0.2631578947368421,0.43859649122807015,53.81539856772055,-0.8717724197600333
cremad,23,0.24279697654310659,-2.1413828689370487,2.3841798454801553,52.79153766769866,0.6178237060590022
subesco,0,-1.4285714285714286,-0.7142857142857143,-0.7142857142857143,44.642857142857146,-1.1904761904761885
subesco,1,8.214285714285714,-2.142857142857143,10.357142857142858,45.71428571428571,-4.523809523809521
subesco,2,2.857142857142857,2.142857142857143,0.7142857142857143,48.214285714285715,-4.642857142857144
subesco,3,4.642857142857143,-0.35714285714285715,5.0,46.42857142857143,-1.785714285714286
subesco,4,7.142857142857143,0.0,7.142857142857143,52.5,-5.238095238095238
subesco,5,0.35714285714285715,0.7142857142857143,-0.35714285714285715,46.42857142857143,-3.0952380952380905
subesco,6,3.2142857142857144,-3.5714285714285716,6.785714285714286,46.785714285714285,-5.416666666666669
subesco,7,3.5714285714285716,-1.0714285714285714,4.642857142857143,44.642857142857146,-1.2500000000000013
subesco,8,6.071428571428571,0.35714285714285715,5.714285714285714,46.07142857142857,-2.7976190476190483
subesco,9,-1.4285714285714286,-0.35714285714285715,-1.0714285714285714,50.357142857142854,-2.4404761904761925
subesco,10,0.35714285714285715,1.7857142857142858,-1.4285714285714286,44.285714285714285,-1.0714285714285723
subesco,11,2.142857142857143,2.857142857142857,-0.7142857142857143,50.00000000000001,-6.964285714285717
subesco,12,-0.35714285714285715,0.0,-0.35714285714285715,42.5,-1.0119047619047605
subesco,13,2.142857142857143,2.142857142857143,0.0,49.642857142857146,-0.0595238095238102
subesco,14,1.7857142857142858,0.35714285714285715,1.4285714285714286,51.78571428571429,-3.0357142857142847
subesco,15,0.7142857142857143,-3.9285714285714284,4.642857142857143,44.28571428571429,-2.1428571428571432
subesco,16,-0.35714285714285715,-0.35714285714285715,0.0,48.21428571428571,-2.440476190476187
subesco,17,1.4285714285714286,-1.4285714285714286,2.857142857142857,48.21428571428571,-4.345238095238093
subesco,18,-0.35714285714285715,1.4285714285714286,-1.7857142857142858,45.357142857142854,-3.75
subesco,19,-2.142857142857143,-2.142857142857143,0.0,52.857142857142854,-2.3214285714285694
subesco,20,2.857142857142857,-2.5,5.357142857142857,44.642857142857146,-1.5476190476190452
subesco,21,9.642857142857142,3.2142857142857144,6.428571428571429,44.285714285714285,-4.107142857142857
subesco,22,2.5,-3.5714285714285716,6.071428571428571,47.5,-2.083333333333333
subesco,23,0.35714285714285715,-0.35714285714285715,0.7142857142857143,49.642857142857146,-2.2023809523809517
ravdess,0,1.0416666666666667,1.4583333333333333,-0.4166666666666667,37.083333333333336,-13.92361111111111
ravdess,1,2.9166666666666665,0.0,2.9166666666666665,26.458333333333332,-6.25
ravdess,2,0.625,-0.625,1.25,33.54166666666667,-5.520833333333333
ravdess,3,0.625,-0.4166666666666667,1.0416666666666667,38.125,-13.75
ravdess,4,1.6666666666666667,-1.0416666666666667,2.7083333333333335,32.5,-7.708333333333333
ravdess,5,0.0,4.791666666666667,-4.791666666666667,36.04166666666667,-12.187499999999998
ravdess,6,0.0,0.625,-0.625,31.666666666666664,-9.270833333333332
ravdess,7,0.625,0.0,0.625,27.5,-7.1875
ravdess,8,0.625,-2.7083333333333335,3.3333333333333335,37.291666666666664,-10.520833333333332
ravdess,9,0.8333333333333334,-0.8333333333333334,1.6666666666666667,34.375,-8.159722222222223
ravdess,10,1.25,2.9166666666666665,-1.6666666666666667,32.916666666666664,-7.256944444444443
ravdess,11,-2.7083333333333335,1.4583333333333333,-4.166666666666667,31.041666666666668,-8.020833333333332
ravdess,12,1.875,-1.875,3.75,36.041666666666664,-11.493055555555554
ravdess,13,0.0,1.875,-1.875,29.166666666666664,-6.631944444444443
ravdess,14,1.25,2.9166666666666665,-1.6666666666666667,33.125,-5.590277777777777
ravdess,15,3.75,-1.875,5.625,33.958333333333336,-6.493055555555557
ravdess,16,0.0,-2.0833333333333335,2.0833333333333335,28.958333333333332,-9.6875
ravdess,17,-3.3333333333333335,0.0,-3.3333333333333335,30.625,-6.458333333333334
ravdess,18,-1.25,-5.0,3.75,35.20833333333333,-14.166666666666668
ravdess,19,3.125,1.25,1.875,32.70833333333333,-12.5
ravdess,20,0.0,0.20833333333333334,-0.20833333333333334,33.33333333333333,-6.979166666666669
ravdess,21,-0.8333333333333334,-0.625,-0.20833333333333334,32.708333333333336,-8.090277777777777
ravdess,22,-0.4166666666666667,0.0,-0.4166666666666667,32.083333333333336,-10.868055555555555
ravdess,23,0.0,0.0,0.0,31.25,-6.736111111111112
