unit_id,corpus,draw,fold,rule,selected_epoch,seen_uar,unseen_uar,outer_uar,oracle_outer_uar,oracle_shortfall_pp,oracle_used_for_selection
fpc_formal_cremad_d00_f0_A,cremad,0,0,seen_ce,6,59.02777777777778,52.77777777777778,55.03793266951161,55.03793266951161,0.0,False
fpc_formal_cremad_d00_f0_A,cremad,0,0,unseen_ce,4,56.59722222222222,53.81944444444444,49.85775248933144,55.03793266951161,5.180180180180173,False
fpc_formal_cremad_d00_f0_A,cremad,0,0,seen_uar,6,59.02777777777778,52.77777777777778,55.03793266951161,55.03793266951161,0.0,False
fpc_formal_cremad_d00_f0_A,cremad,0,0,unseen_uar,8,54.166666666666664,56.59722222222222,51.505452821242294,55.03793266951161,3.5324798482693183,False
fpc_formal_cremad_d00_f0_A,cremad,0,0,last,15,47.56944444444444,47.91666666666667,39.5448079658606,55.03793266951161,15.493124703651013,False
fpc_formal_cremad_d00_f1_A,cremad,0,1,seen_ce,6,60.416666666666664,58.333333333333336,65.35087719298247,65.35087719298247,0.0,False
fpc_formal_cremad_d00_f1_A,cremad,0,1,unseen_ce,6,60.416666666666664,58.333333333333336,65.35087719298247,65.35087719298247,0.0,False
fpc_formal_cremad_d00_f1_A,cremad,0,1,seen_uar,6,60.416666666666664,58.333333333333336,65.35087719298247,65.35087719298247,0.0,False
fpc_formal_cremad_d00_f1_A,cremad,0,1,unseen_uar,7,60.416666666666664,59.72222222222222,64.03508771929825,65.35087719298247,1.3157894736842195,False
fpc_formal_cremad_d00_f1_A,cremad,0,1,last,15,58.333333333333336,56.59722222222222,62.28070175438597,65.35087719298247,3.0701754385964932,False
fpc_formal_cremad_d00_f2_A,cremad,0,2,seen_ce,5,57.291666666666664,55.90277777777778,58.333333333333336,58.77192982456141,0.43859649122807554,False
fpc_formal_cremad_d00_f2_A,cremad,0,2,unseen_ce,5,57.291666666666664,55.90277777777778,58.333333333333336,58.77192982456141,0.43859649122807554,False
fpc_formal_cremad_d00_f2_A,cremad,0,2,seen_uar,12,61.80555555555556,57.291666666666664,58.77192982456141,58.77192982456141,0.0,False
fpc_formal_cremad_d00_f2_A,cremad,0,2,unseen_uar,10,52.77777777777778,58.68055555555556,56.14035087719298,58.77192982456141,2.631578947368432,False
fpc_formal_cremad_d00_f2_A,cremad,0,2,last,15,53.125,55.208333333333336,53.07017543859649,58.77192982456141,5.701754385964918,False
fpc_formal_cremad_d00_f3_A,cremad,0,3,seen_ce,7,61.111111111111114,62.5,52.52525252525253,61.61616161616161,9.09090909090908,False
fpc_formal_cremad_d00_f3_A,cremad,0,3,unseen_ce,8,60.06944444444444,64.23611111111111,58.080808080808076,61.61616161616161,3.5353535353535364,False
fpc_formal_cremad_d00_f3_A,cremad,0,3,seen_uar,10,61.80555555555556,67.36111111111111,61.61616161616161,61.61616161616161,0.0,False
fpc_formal_cremad_d00_f3_A,cremad,0,3,unseen_uar,10,61.80555555555556,67.36111111111111,61.61616161616161,61.61616161616161,0.0,False
fpc_formal_cremad_d00_f3_A,cremad,0,3,last,15,57.638888888888886,59.375,54.54545454545454,61.61616161616161,7.070707070707073,False
fpc_formal_cremad_d00_f4_A,cremad,0,4,seen_ce,4,57.291666666666664,52.43055555555556,50.49019607843137,58.333333333333336,7.8431372549019684,False
fpc_formal_cremad_d00_f4_A,cremad,0,4,unseen_ce,4,57.291666666666664,52.43055555555556,50.49019607843137,58.333333333333336,7.8431372549019684,False
fpc_formal_cremad_d00_f4_A,cremad,0,4,seen_uar,11,60.763888888888886,54.513888888888886,55.88235294117647,58.333333333333336,2.4509803921568647,False
fpc_formal_cremad_d00_f4_A,cremad,0,4,unseen_uar,13,60.416666666666664,59.02777777777778,58.333333333333336,58.333333333333336,0.0,False
fpc_formal_cremad_d00_f4_A,cremad,0,4,last,15,57.291666666666664,57.986111111111114,54.41176470588235,58.333333333333336,3.9215686274509878,False
fpc_formal_cremad_d01_f0_A,cremad,1,0,seen_ce,4,55.208333333333336,59.375,54.385964912280706,59.210526315789465,4.82456140350876,False
fpc_formal_cremad_d01_f0_A,cremad,1,0,unseen_ce,4,55.208333333333336,59.375,54.385964912280706,59.210526315789465,4.82456140350876,False
fpc_formal_cremad_d01_f0_A,cremad,1,0,seen_uar,14,61.458333333333336,63.541666666666664,59.210526315789465,59.210526315789465,0.0,False
fpc_formal_cremad_d01_f0_A,cremad,1,0,unseen_uar,9,60.416666666666664,64.23611111111111,58.77192982456141,59.210526315789465,0.4385964912280542,False
fpc_formal_cremad_d01_f0_A,cremad,1,0,last,15,55.55555555555556,54.861111111111114,50.877192982456144,59.210526315789465,8.333333333333321,False
fpc_formal_cremad_d01_f1_A,cremad,1,1,seen_ce,11,65.27777777777779,56.25,57.21906116642958,57.21906116642958,0.0,False
fpc_formal_cremad_d01_f1_A,cremad,1,1,unseen_ce,5,52.43055555555556,47.91666666666667,48.921289710763396,57.21906116642958,8.297771455666187,False
fpc_formal_cremad_d01_f1_A,cremad,1,1,seen_uar,11,65.27777777777779,56.25,57.21906116642958,57.21906116642958,0.0,False
fpc_formal_cremad_d01_f1_A,cremad,1,1,unseen_uar,11,65.27777777777779,56.25,57.21906116642958,57.21906116642958,0.0,False
fpc_formal_cremad_d01_f1_A,cremad,1,1,last,15,63.19444444444444,52.77777777777778,55.03793266951161,57.21906116642958,2.181128496917971,False
fpc_formal_cremad_d01_f2_A,cremad,1,2,seen_ce,11,62.5,61.111111111111114,63.1578947368421,64.03508771929825,0.877192982456144,False
