sequence,unit_id,corpus,model,protocol,seed,outer_fold,status
350,ravdess__fno__loso__s0__f013,ravdess,fno,loso,0,13,success
351,ravdess__fno__loso__s0__f014,ravdess,fno,loso,0,14,success
352,ravdess__fno__loso__s0__f015,ravdess,fno,loso,0,15,success
353,ravdess__fno__loso__s0__f016,ravdess,fno,loso,0,16,success
354,ravdess__fno__loso__s0__f017,ravdess,fno,loso,0,17,success
355,ravdess__fno__loso__s0__f018,ravdess,fno,loso,0,18,success
356,ravdess__fno__loso__s0__f019,ravdess,fno,loso,0,19,success
357,ravdess__fno__loso__s0__f020,ravdess,fno,loso,0,20,success
358,ravdess__fno__loso__s0__f021,ravdess,fno,loso,0,21,success
359,ravdess__fno__loso__s0__f022,ravdess,fno,loso,0,22,success
360,ravdess__fno__loso__s0__f023,ravdess,fno,loso,0,23,success
361,ravdess__fno__loso__s1__f000,ravdess,fno,loso,1,0,success
362,ravdess__fno__loso__s1__f001,ravdess,fno,loso,1,1,success
363,ravdess__fno__loso__s1__f002,ravdess,fno,loso,1,2,success
364,ravdess__fno__loso__s1__f003,ravdess,fno,loso,1,3,success
365,ravdess__fno__loso__s1__f004,ravdess,fno,loso,1,4,success
366,ravdess__fno__loso__s1__f005,ravdess,fno,loso,1,5,success
367,ravdess__fno__loso__s1__f006,ravdess,fno,loso,1,6,success
368,ravdess__fno__loso__s1__f007,ravdess,fno,loso,1,7,success
369,ravdess__fno__loso__s1__f008,ravdess,fno,loso,1,8,success
370,ravdess__fno__loso__s1__f009,ravdess,fno,loso,1,9,success
371,ravdess__fno__loso__s1__f010,ravdess,fno,loso,1,10,success
372,ravdess__fno__loso__s1__f011,ravdess,fno,loso,1,11,success
373,ravdess__fno__loso__s1__f012,ravdess,fno,loso,1,12,success
374,ravdess__fno__loso__s1__f013,ravdess,fno,loso,1,13,success
375,ravdess__fno__loso__s1__f014,ravdess,fno,loso,1,14,success
376,ravdess__fno__loso__s1__f015,ravdess,fno,loso,1,15,success
377,ravdess__fno__loso__s1__f016,ravdess,fno,loso,1,16,success
378,ravdess__fno__loso__s1__f017,ravdess,fno,loso,1,17,success
379,ravdess__fno__loso__s1__f018,ravdess,fno,loso,1,18,success
380,ravdess__fno__loso__s1__f019,ravdess,fno,loso,1,19,success
381,ravdess__fno__loso__s1__f020,ravdess,fno,loso,1,20,success
382,ravdess__fno__loso__s1__f021,ravdess,fno,loso,1,21,success
383,ravdess__fno__loso__s1__f022,ravdess,fno,loso,1,22,success
384,ravdess__fno__loso__s1__f023,ravdess,fno,loso,1,23,success
385,ravdess__fno__loso__s2__f000,ravdess,fno,loso,2,0,success
386,ravdess__fno__loso__s2__f001,ravdess,fno,loso,2,1,success
387,ravdess__fno__loso__s2__f002,ravdess,fno,loso,2,2,success
388,ravdess__fno__loso__s2__f003,ravdess,fno,loso,2,3,success
389,ravdess__fno__loso__s2__f004,ravdess,fno,loso,2,4,success
390,ravdess__fno__loso__s2__f005,ravdess,fno,loso,2,5,success
391,ravdess__fno__loso__s2__f006,ravdess,fno,loso,2,6,success
392,ravdess__fno__loso__s2__f007,ravdess,fno,loso,2,7,success
393,ravdess__fno__loso__s2__f008,ravdess,fno,loso,2,8,success
394,ravdess__fno__loso__s2__f009,ravdess,fno,loso,2,9,success
395,ravdess__fno__loso__s2__f010,ravdess,fno,loso,2,10,success
396,ravdess__fno__loso__s2__f011,ravdess,fno,loso,2,11,success
397,ravdess__fno__loso__s2__f012,ravdess,fno,loso,2,12,success
398,ravdess__fno__loso__s2__f013,ravdess,fno,loso,2,13,success
399,ravdess__fno__loso__s2__f014,ravdess,fno,loso,2,14,success
400,ravdess__fno__loso__s2__f015,ravdess,fno,loso,2,15,success
401,ravdess__fno__loso__s2__f016,ravdess,fno,loso,2,16,success
402,ravdess__fno__loso__s2__f017,ravdess,fno,loso,2,17,success
403,ravdess__fno__loso__s2__f018,ravdess,fno,loso,2,18,success
404,ravdess__fno__loso__s2__f019,ravdess,fno,loso,2,19,success
405,ravdess__fno__loso__s2__f020,ravdess,fno,loso,2,20,success
406,ravdess__fno__loso__s2__f021,ravdess,fno,loso,2,21,success
407,ravdess__fno__loso__s2__f022,ravdess,fno,loso,2,22,success
408,ravdess__fno__loso__s2__f023,ravdess,fno,loso,2,23,success
409,cremad__cnn__random__s0__f000,cremad,cnn,random,0,0,success
410,cremad__cnn__random__s0__f001,cremad,cnn,random,0,1,success
411,cremad__cnn__random__s0__f002,cremad,cnn,random,0,2,success
412,cremad__cnn__random__s0__f003,cremad,cnn,random,0,3,success
413,cremad__cnn__random__s0__f004,cremad,cnn,random,0,4,success
414,cremad__cnn__random__s1__f000,cremad,cnn,random,1,0,success
415,cremad__cnn__random__s1__f001,cremad,cnn,random,1,1,success
416,cremad__cnn__random__s1__f002,cremad,cnn,random,1,2,success
417,cremad__cnn__random__s1__f003,cremad,cnn,random,1,3,success
418,cremad__cnn__random__s1__f004,cremad,cnn,random,1,4,success
419,cremad__cnn__random__s2__f000,cremad,cnn,random,2,0,success
420,cremad__cnn__random__s2__f001,cremad,cnn,random,2,1,success
421,cremad__cnn__random__s2__f002,cremad,cnn,random,2,2,success
422,cremad__cnn__random__s2__f003,cremad,cnn,random,2,3,success
423,cremad__cnn__random__s2__f004,cremad,cnn,random,2,4,success
424,cremad__cnn__groupkfold__s0__f000,cremad,cnn,groupkfold,0,0,success
425,cremad__cnn__groupkfold__s0__f001,cremad,cnn,groupkfold,0,1,success
426,cremad__cnn__groupkfold__s0__f002,cremad,cnn,groupkfold,0,2,success
427,cremad__cnn__groupkfold__s0__f003,cremad,cnn,groupkfold,0,3,success
428,cremad__cnn__groupkfold__s0__f004,cremad,cnn,groupkfold,0,4,success
429,cremad__cnn__groupkfold__s1__f000,cremad,cnn,groupkfold,1,0,success
430,cremad__cnn__groupkfold__s1__f001,cremad,cnn,groupkfold,1,1,success
431,cremad__cnn__groupkfold__s1__f002,cremad,cnn,groupkfold,1,2,success
432,cremad__cnn__groupkfold__s1__f003,cremad,cnn,groupkfold,1,3,success
433,cremad__cnn__groupkfold__s1__f004,cremad,cnn,groupkfold,1,4,success
434,cremad__cnn__groupkfold__s2__f000,cremad,cnn,groupkfold,2,0,success
435,cremad__cnn__groupkfold__s2__f001,cremad,cnn,groupkfold,2,1,success
436,cremad__cnn__groupkfold__s2__f002,cremad,cnn,groupkfold,2,2,success
437,cremad__cnn__groupkfold__s2__f003,cremad,cnn,groupkfold,2,3,success
438,cremad__cnn__groupkfold__s2__f004,cremad,cnn,groupkfold,2,4,success
439,cremad__cnn__loso__s0__f000,cremad,cnn,loso,0,0,success
440,cremad__cnn__loso__s0__f001,cremad,cnn,loso,0,1,success
441,cremad__cnn__loso__s0__f002,cremad,cnn,loso,0,2,success
442,cremad__cnn__loso__s0__f003,cremad,cnn,loso,0,3,success
443,cremad__cnn__loso__s0__f004,cremad,cnn,loso,0,4,success
444,cremad__cnn__loso__s0__f005,cremad,cnn,loso,0,5,success
445,cremad__cnn__loso__s0__f006,cremad,cnn,loso,0,6,success
446,cremad__cnn__loso__s0__f007,cremad,cnn,loso,0,7,success
447,cremad__cnn__loso__s0__f008,cremad,cnn,loso,0,8,success
448,cremad__cnn__loso__s0__f009,cremad,cnn,loso,0,9,success
449,cremad__cnn__loso__s0__f010,cremad,cnn,loso,0,10,success
450,cremad__cnn__loso__s0__f011,cremad,cnn,loso,0,11,success
451,cremad__cnn__loso__s0__f012,cremad,cnn,loso,0,12,success
452,cremad__cnn__loso__s0__f013,cremad,cnn,loso,0,13,success
453,cremad__cnn__loso__s0__f014,cremad,cnn,loso,0,14,success
454,cremad__cnn__loso__s0__f015,cremad,cnn,loso,0,15,success
455,cremad__cnn__loso__s0__f016,cremad,cnn,loso,0,16,success
456,cremad__cnn__loso__s0__f017,cremad,cnn,loso,0,17,success
457,cremad__cnn__loso__s0__f018,cremad,cnn,loso,0,18,success
458,cremad__cnn__loso__s0__f019,cremad,cnn,loso,0,19,success
459,cremad__cnn__loso__s0__f020,cremad,cnn,loso,0,20,success
460,cremad__cnn__loso__s0__f021,cremad,cnn,loso,0,21,success
461,cremad__cnn__loso__s0__f022,cremad,cnn,loso,0,22,success
462,cremad__cnn__loso__s0__f023,cremad,cnn,loso,0,23,success
463,cremad__cnn__loso__s0__f024,cremad,cnn,loso,0,24,success
464,cremad__cnn__loso__s0__f025,cremad,cnn,loso,0,25,success
465,cremad__cnn__loso__s0__f026,cremad,cnn,loso,0,26,success
466,cremad__cnn__loso__s0__f027,cremad,cnn,loso,0,27,success
467,cremad__cnn__loso__s0__f028,cremad,cnn,loso,0,28,success
468,cremad__cnn__loso__s0__f029,cremad,cnn,loso,0,29,success
469,cremad__cnn__loso__s0__f030,cremad,cnn,loso,0,30,success
470,cremad__cnn__loso__s0__f031,cremad,cnn,loso,0,31,success
471,cremad__cnn__loso__s0__f032,cremad,cnn,loso,0,32,success
472,cremad__cnn__loso__s0__f033,cremad,cnn,loso,0,33,success
473,cremad__cnn__loso__s0__f034,cremad,cnn,loso,0,34,success
474,cremad__cnn__loso__s0__f035,cremad,cnn,loso,0,35,success
475,cremad__cnn__loso__s0__f036,cremad,cnn,loso,0,36,success
476,cremad__cnn__loso__s0__f037,cremad,cnn,loso,0,37,success
477,cremad__cnn__loso__s0__f038,cremad,cnn,loso,0,38,success
478,cremad__cnn__loso__s0__f039,cremad,cnn,loso,0,39,success
479,cremad__cnn__loso__s0__f040,cremad,cnn,loso,0,40,success
480,cremad__cnn__loso__s0__f041,cremad,cnn,loso,0,41,success
481,cremad__cnn__loso__s0__f042,cremad,cnn,loso,0,42,success
482,cremad__cnn__loso__s0__f043,cremad,cnn,loso,0,43,success
483,cremad__cnn__loso__s0__f044,cremad,cnn,loso,0,44,success
484,cremad__cnn__loso__s0__f045,cremad,cnn,loso,0,45,success
485,cremad__cnn__loso__s0__f046,cremad,cnn,loso,0,46,success
486,cremad__cnn__loso__s0__f047,cremad,cnn,loso,0,47,success
487,cremad__cnn__loso__s0__f048,cremad,cnn,loso,0,48,success
488,cremad__cnn__loso__s0__f049,cremad,cnn,loso,0,49,success
489,cremad__cnn__loso__s0__f050,cremad,cnn,loso,0,50,success
490,cremad__cnn__loso__s0__f051,cremad,cnn,loso,0,51,success
491,cremad__cnn__loso__s0__f052,cremad,cnn,loso,0,52,success
492,cremad__cnn__loso__s0__f053,cremad,cnn,loso,0,53,success
493,cremad__cnn__loso__s0__f054,cremad,cnn,loso,0,54,success
494,cremad__cnn__loso__s0__f055,cremad,cnn,loso,0,55,success
495,cremad__cnn__loso__s0__f056,cremad,cnn,loso,0,56,success
496,cremad__cnn__loso__s0__f057,cremad,cnn,loso,0,57,success
497,cremad__cnn__loso__s0__f058,cremad,cnn,loso,0,58,success
498,cremad__cnn__loso__s0__f059,cremad,cnn,loso,0,59,success
499,cremad__cnn__loso__s0__f060,cremad,cnn,loso,0,60,success
500,cremad__cnn__loso__s0__f061,cremad,cnn,loso,0,61,success
501,cremad__cnn__loso__s0__f062,cremad,cnn,loso,0,62,success
502,cremad__cnn__loso__s0__f063,cremad,cnn,loso,0,63,success
503,cremad__cnn__loso__s0__f064,cremad,cnn,loso,0,64,success
504,cremad__cnn__loso__s0__f065,cremad,cnn,loso,0,65,success
505,cremad__cnn__loso__s0__f066,cremad,cnn,loso,0,66,success
506,cremad__cnn__loso__s0__f067,cremad,cnn,loso,0,67,success
507,cremad__cnn__loso__s0__f068,cremad,cnn,loso,0,68,success
508,cremad__cnn__loso__s0__f069,cremad,cnn,loso,0,69,success
509,cremad__cnn__loso__s0__f070,cremad,cnn,loso,0,70,success
510,cremad__cnn__loso__s0__f071,cremad,cnn,loso,0,71,success
511,cremad__cnn__loso__s0__f072,cremad,cnn,loso,0,72,success
512,cremad__cnn__loso__s0__f073,cremad,cnn,loso,0,73,success
513,cremad__cnn__loso__s0__f074,cremad,cnn,loso,0,74,success
514,cremad__cnn__loso__s0__f075,cremad,cnn,loso,0,75,success
515,cremad__cnn__loso__s0__f076,cremad,cnn,loso,0,76,success
516,cremad__cnn__loso__s0__f077,cremad,cnn,loso,0,77,success
517,cremad__cnn__loso__s0__f078,cremad,cnn,loso,0,78,success
518,cremad__cnn__loso__s0__f079,cremad,cnn,loso,0,79,success
519,cremad__cnn__loso__s0__f080,cremad,cnn,loso,0,80,success
520,cremad__cnn__loso__s0__f081,cremad,cnn,loso,0,81,success
521,cremad__cnn__loso__s0__f082,cremad,cnn,loso,0,82,success
522,cremad__cnn__loso__s0__f083,cremad,cnn,loso,0,83,success
523,cremad__cnn__loso__s0__f084,cremad,cnn,loso,0,84,success
524,cremad__cnn__loso__s0__f085,cremad,cnn,loso,0,85,success
525,cremad__cnn__loso__s0__f086,cremad,cnn,loso,0,86,success
526,cremad__cnn__loso__s0__f087,cremad,cnn,loso,0,87,success
527,cremad__cnn__loso__s0__f088,cremad,cnn,loso,0,88,success
528,cremad__cnn__loso__s0__f089,cremad,cnn,loso,0,89,success
529,cremad__cnn__loso__s0__f090,cremad,cnn,loso,0,90,success
530,cremad__cnn__loso__s1__f000,cremad,cnn,loso,1,0,success
531,cremad__cnn__loso__s1__f001,cremad,cnn,loso,1,1,success
532,cremad__cnn__loso__s1__f002,cremad,cnn,loso,1,2,success
533,cremad__cnn__loso__s1__f003,cremad,cnn,loso,1,3,success
534,cremad__cnn__loso__s1__f004,cremad,cnn,loso,1,4,success
535,cremad__cnn__loso__s1__f005,cremad,cnn,loso,1,5,success
536,cremad__cnn__loso__s1__f006,cremad,cnn,loso,1,6,success
537,cremad__cnn__loso__s1__f007,cremad,cnn,loso,1,7,success
538,cremad__cnn__loso__s1__f008,cremad,cnn,loso,1,8,success
539,cremad__cnn__loso__s1__f009,cremad,cnn,loso,1,9,success
540,cremad__cnn__loso__s1__f010,cremad,cnn,loso,1,10,success
541,cremad__cnn__loso__s1__f011,cremad,cnn,loso,1,11,success
542,cremad__cnn__loso__s1__f012,cremad,cnn,loso,1,12,success
543,cremad__cnn__loso__s1__f013,cremad,cnn,loso,1,13,success
544,cremad__cnn__loso__s1__f014,cremad,cnn,loso,1,14,success
545,cremad__cnn__loso__s1__f015,cremad,cnn,loso,1,15,success
546,cremad__cnn__loso__s1__f016,cremad,cnn,loso,1,16,success
547,cremad__cnn__loso__s1__f017,cremad,cnn,loso,1,17,success
548,cremad__cnn__loso__s1__f018,cremad,cnn,loso,1,18,success
549,cremad__cnn__loso__s1__f019,cremad,cnn,loso,1,19,success
550,cremad__cnn__loso__s1__f020,cremad,cnn,loso,1,20,success
551,cremad__cnn__loso__s1__f021,cremad,cnn,loso,1,21,success
552,cremad__cnn__loso__s1__f022,cremad,cnn,loso,1,22,success
553,cremad__cnn__loso__s1__f023,cremad,cnn,loso,1,23,success
554,cremad__cnn__loso__s1__f024,cremad,cnn,loso,1,24,success
555,cremad__cnn__loso__s1__f025,cremad,cnn,loso,1,25,success
556,cremad__cnn__loso__s1__f026,cremad,cnn,loso,1,26,success
557,cremad__cnn__loso__s1__f027,cremad,cnn,loso,1,27,success
558,cremad__cnn__loso__s1__f028,cremad,cnn,loso,1,28,success
559,cremad__cnn__loso__s1__f029,cremad,cnn,loso,1,29,success
560,cremad__cnn__loso__s1__f030,cremad,cnn,loso,1,30,success
561,cremad__cnn__loso__s1__f031,cremad,cnn,loso,1,31,success
562,cremad__cnn__loso__s1__f032,cremad,cnn,loso,1,32,success
563,cremad__cnn__loso__s1__f033,cremad,cnn,loso,1,33,success
564,cremad__cnn__loso__s1__f034,cremad,cnn,loso,1,34,success
565,cremad__cnn__loso__s1__f035,cremad,cnn,loso,1,35,success
566,cremad__cnn__loso__s1__f036,cremad,cnn,loso,1,36,success
567,cremad__cnn__loso__s1__f037,cremad,cnn,loso,1,37,success
568,cremad__cnn__loso__s1__f038,cremad,cnn,loso,1,38,success
569,cremad__cnn__loso__s1__f039,cremad,cnn,loso,1,39,success
570,cremad__cnn__loso__s1__f040,cremad,cnn,loso,1,40,success
571,cremad__cnn__loso__s1__f041,cremad,cnn,loso,1,41,success
572,cremad__cnn__loso__s1__f042,cremad,cnn,loso,1,42,success
573,cremad__cnn__loso__s1__f043,cremad,cnn,loso,1,43,success
574,cremad__cnn__loso__s1__f044,cremad,cnn,loso,1,44,success
575,cremad__cnn__loso__s1__f045,cremad,cnn,loso,1,45,success
576,cremad__cnn__loso__s1__f046,cremad,cnn,loso,1,46,success
577,cremad__cnn__loso__s1__f047,cremad,cnn,loso,1,47,success
578,cremad__cnn__loso__s1__f048,cremad,cnn,loso,1,48,success
579,cremad__cnn__loso__s1__f049,cremad,cnn,loso,1,49,success
580,cremad__cnn__loso__s1__f050,cremad,cnn,loso,1,50,success
581,cremad__cnn__loso__s1__f051,cremad,cnn,loso,1,51,success
582,cremad__cnn__loso__s1__f052,cremad,cnn,loso,1,52,success
583,cremad__cnn__loso__s1__f053,cremad,cnn,loso,1,53,success
584,cremad__cnn__loso__s1__f054,cremad,cnn,loso,1,54,success
585,cremad__cnn__loso__s1__f055,cremad,cnn,loso,1,55,success
586,cremad__cnn__loso__s1__f056,cremad,cnn,loso,1,56,success
587,cremad__cnn__loso__s1__f057,cremad,cnn,loso,1,57,success
588,cremad__cnn__loso__s1__f058,cremad,cnn,loso,1,58,success
589,cremad__cnn__loso__s1__f059,cremad,cnn,loso,1,59,success
590,cremad__cnn__loso__s1__f060,cremad,cnn,loso,1,60,success
591,cremad__cnn__loso__s1__f061,cremad,cnn,loso,1,61,success
592,cremad__cnn__loso__s1__f062,cremad,cnn,loso,1,62,success
593,cremad__cnn__loso__s1__f063,cremad,cnn,loso,1,63,success
594,cremad__cnn__loso__s1__f064,cremad,cnn,loso,1,64,success
595,cremad__cnn__loso__s1__f065,cremad,cnn,loso,1,65,success
596,cremad__cnn__loso__s1__f066,cremad,cnn,loso,1,66,success
597,cremad__cnn__loso__s1__f067,cremad,cnn,loso,1,67,success
598,cremad__cnn__loso__s1__f068,cremad,cnn,loso,1,68,success
599,cremad__cnn__loso__s1__f069,cremad,cnn,loso,1,69,success
600,cremad__cnn__loso__s1__f070,cremad,cnn,loso,1,70,success
601,cremad__cnn__loso__s1__f071,cremad,cnn,loso,1,71,success
602,cremad__cnn__loso__s1__f072,cremad,cnn,loso,1,72,success
603,cremad__cnn__loso__s1__f073,cremad,cnn,loso,1,73,success
604,cremad__cnn__loso__s1__f074,cremad,cnn,loso,1,74,success
605,cremad__cnn__loso__s1__f075,cremad,cnn,loso,1,75,success
606,cremad__cnn__loso__s1__f076,cremad,cnn,loso,1,76,success
607,cremad__cnn__loso__s1__f077,cremad,cnn,loso,1,77,success
608,cremad__cnn__loso__s1__f078,cremad,cnn,loso,1,78,success
609,cremad__cnn__loso__s1__f079,cremad,cnn,loso,1,79,success
610,cremad__cnn__loso__s1__f080,cremad,cnn,loso,1,80,success
611,cremad__cnn__loso__s1__f081,cremad,cnn,loso,1,81,success
612,cremad__cnn__loso__s1__f082,cremad,cnn,loso,1,82,success
613,cremad__cnn__loso__s1__f083,cremad,cnn,loso,1,83,success
614,cremad__cnn__loso__s1__f084,cremad,cnn,loso,1,84,success
615,cremad__cnn__loso__s1__f085,cremad,cnn,loso,1,85,success
616,cremad__cnn__loso__s1__f086,cremad,cnn,loso,1,86,success
617,cremad__cnn__loso__s1__f087,cremad,cnn,loso,1,87,success
618,cremad__cnn__loso__s1__f088,cremad,cnn,loso,1,88,success
619,cremad__cnn__loso__s1__f089,cremad,cnn,loso,1,89,success
620,cremad__cnn__loso__s1__f090,cremad,cnn,loso,1,90,success
621,cremad__cnn__loso__s2__f000,cremad,cnn,loso,2,0,success
622,cremad__cnn__loso__s2__f001,cremad,cnn,loso,2,1,success
623,cremad__cnn__loso__s2__f002,cremad,cnn,loso,2,2,success
624,cremad__cnn__loso__s2__f003,cremad,cnn,loso,2,3,success
625,cremad__cnn__loso__s2__f004,cremad,cnn,loso,2,4,success
626,cremad__cnn__loso__s2__f005,cremad,cnn,loso,2,5,success
627,cremad__cnn__loso__s2__f006,cremad,cnn,loso,2,6,success
628,cremad__cnn__loso__s2__f007,cremad,cnn,loso,2,7,success
629,cremad__cnn__loso__s2__f008,cremad,cnn,loso,2,8,success
630,cremad__cnn__loso__s2__f009,cremad,cnn,loso,2,9,success
631,cremad__cnn__loso__s2__f010,cremad,cnn,loso,2,10,success
632,cremad__cnn__loso__s2__f011,cremad,cnn,loso,2,11,success
633,cremad__cnn__loso__s2__f012,cremad,cnn,loso,2,12,success
634,cremad__cnn__loso__s2__f013,cremad,cnn,loso,2,13,success
635,cremad__cnn__loso__s2__f014,cremad,cnn,loso,2,14,success
636,cremad__cnn__loso__s2__f015,cremad,cnn,loso,2,15,success
637,cremad__cnn__loso__s2__f016,cremad,cnn,loso,2,16,success
638,cremad__cnn__loso__s2__f017,cremad,cnn,loso,2,17,success
639,cremad__cnn__loso__s2__f018,cremad,cnn,loso,2,18,success
640,cremad__cnn__loso__s2__f019,cremad,cnn,loso,2,19,success
641,cremad__cnn__loso__s2__f020,cremad,cnn,loso,2,20,success
642,cremad__cnn__loso__s2__f021,cremad,cnn,loso,2,21,success
643,cremad__cnn__loso__s2__f022,cremad,cnn,loso,2,22,success
644,cremad__cnn__loso__s2__f023,cremad,cnn,loso,2,23,success
645,cremad__cnn__loso__s2__f024,cremad,cnn,loso,2,24,success
646,cremad__cnn__loso__s2__f025,cremad,cnn,loso,2,25,success
647,cremad__cnn__loso__s2__f026,cremad,cnn,loso,2,26,success
648,cremad__cnn__loso__s2__f027,cremad,cnn,loso,2,27,success
649,cremad__cnn__loso__s2__f028,cremad,cnn,loso,2,28,success
650,cremad__cnn__loso__s2__f029,cremad,cnn,loso,2,29,success
651,cremad__cnn__loso__s2__f030,cremad,cnn,loso,2,30,success
652,cremad__cnn__loso__s2__f031,cremad,cnn,loso,2,31,success
653,cremad__cnn__loso__s2__f032,cremad,cnn,loso,2,32,success
654,cremad__cnn__loso__s2__f033,cremad,cnn,loso,2,33,success
655,cremad__cnn__loso__s2__f034,cremad,cnn,loso,2,34,success
656,cremad__cnn__loso__s2__f035,cremad,cnn,loso,2,35,success
657,cremad__cnn__loso__s2__f036,cremad,cnn,loso,2,36,success
658,cremad__cnn__loso__s2__f037,cremad,cnn,loso,2,37,success
659,cremad__cnn__loso__s2__f038,cremad,cnn,loso,2,38,success
660,cremad__cnn__loso__s2__f039,cremad,cnn,loso,2,39,success
661,cremad__cnn__loso__s2__f040,cremad,cnn,loso,2,40,success
662,cremad__cnn__loso__s2__f041,cremad,cnn,loso,2,41,success
663,cremad__cnn__loso__s2__f042,cremad,cnn,loso,2,42,success
664,cremad__cnn__loso__s2__f043,cremad,cnn,loso,2,43,success
665,cremad__cnn__loso__s2__f044,cremad,cnn,loso,2,44,success
666,cremad__cnn__loso__s2__f045,cremad,cnn,loso,2,45,success
667,cremad__cnn__loso__s2__f046,cremad,cnn,loso,2,46,success
668,cremad__cnn__loso__s2__f047,cremad,cnn,loso,2,47,success
669,cremad__cnn__loso__s2__f048,cremad,cnn,loso,2,48,success
670,cremad__cnn__loso__s2__f049,cremad,cnn,loso,2,49,success
671,cremad__cnn__loso__s2__f050,cremad,cnn,loso,2,50,success
672,cremad__cnn__loso__s2__f051,cremad,cnn,loso,2,51,success
673,cremad__cnn__loso__s2__f052,cremad,cnn,loso,2,52,success
674,cremad__cnn__loso__s2__f053,cremad,cnn,loso,2,53,success
675,cremad__cnn__loso__s2__f054,cremad,cnn,loso,2,54,success
676,cremad__cnn__loso__s2__f055,cremad,cnn,loso,2,55,success
677,cremad__cnn__loso__s2__f056,cremad,cnn,loso,2,56,success
678,cremad__cnn__loso__s2__f057,cremad,cnn,loso,2,57,success
679,cremad__cnn__loso__s2__f058,cremad,cnn,loso,2,58,success
680,cremad__cnn__loso__s2__f059,cremad,cnn,loso,2,59,success
681,cremad__cnn__loso__s2__f060,cremad,cnn,loso,2,60,success
682,cremad__cnn__loso__s2__f061,cremad,cnn,loso,2,61,success
683,cremad__cnn__loso__s2__f062,cremad,cnn,loso,2,62,success
684,cremad__cnn__loso__s2__f063,cremad,cnn,loso,2,63,success
685,cremad__cnn__loso__s2__f064,cremad,cnn,loso,2,64,success
686,cremad__cnn__loso__s2__f065,cremad,cnn,loso,2,65,success
687,cremad__cnn__loso__s2__f066,cremad,cnn,loso,2,66,success
688,cremad__cnn__loso__s2__f067,cremad,cnn,loso,2,67,success
689,cremad__cnn__loso__s2__f068,cremad,cnn,loso,2,68,success
690,cremad__cnn__loso__s2__f069,cremad,cnn,loso,2,69,success
691,cremad__cnn__loso__s2__f070,cremad,cnn,loso,2,70,success
692,cremad__cnn__loso__s2__f071,cremad,cnn,loso,2,71,success
693,cremad__cnn__loso__s2__f072,cremad,cnn,loso,2,72,success
694,cremad__cnn__loso__s2__f073,cremad,cnn,loso,2,73,success
695,cremad__cnn__loso__s2__f074,cremad,cnn,loso,2,74,success
696,cremad__cnn__loso__s2__f075,cremad,cnn,loso,2,75,success
697,cremad__cnn__loso__s2__f076,cremad,cnn,loso,2,76,success
698,cremad__cnn__loso__s2__f077,cremad,cnn,loso,2,77,success
699,cremad__cnn__loso__s2__f078,cremad,cnn,loso,2,78,success
700,cremad__cnn__loso__s2__f079,cremad,cnn,loso,2,79,success
701,cremad__cnn__loso__s2__f080,cremad,cnn,loso,2,80,success
702,cremad__cnn__loso__s2__f081,cremad,cnn,loso,2,81,success
703,cremad__cnn__loso__s2__f082,cremad,cnn,loso,2,82,success
704,cremad__cnn__loso__s2__f083,cremad,cnn,loso,2,83,success
705,cremad__cnn__loso__s2__f084,cremad,cnn,loso,2,84,success
706,cremad__cnn__loso__s2__f085,cremad,cnn,loso,2,85,success
707,cremad__cnn__loso__s2__f086,cremad,cnn,loso,2,86,success
708,cremad__cnn__loso__s2__f087,cremad,cnn,loso,2,87,success
709,cremad__cnn__loso__s2__f088,cremad,cnn,loso,2,88,success
710,cremad__cnn__loso__s2__f089,cremad,cnn,loso,2,89,success
711,cremad__cnn__loso__s2__f090,cremad,cnn,loso,2,90,success
712,cremad__resnet_se__random__s0__f000,cremad,resnet_se,random,0,0,success
713,cremad__resnet_se__random__s0__f001,cremad,resnet_se,random,0,1,success
714,cremad__resnet_se__random__s0__f002,cremad,resnet_se,random,0,2,success
715,cremad__resnet_se__random__s0__f003,cremad,resnet_se,random,0,3,success
716,cremad__resnet_se__random__s0__f004,cremad,resnet_se,random,0,4,success
717,cremad__resnet_se__random__s1__f000,cremad,resnet_se,random,1,0,success
718,cremad__resnet_se__random__s1__f001,cremad,resnet_se,random,1,1,success
719,cremad__resnet_se__random__s1__f002,cremad,resnet_se,random,1,2,success
720,cremad__resnet_se__random__s1__f003,cremad,resnet_se,random,1,3,success
721,cremad__resnet_se__random__s1__f004,cremad,resnet_se,random,1,4,success
722,cremad__resnet_se__random__s2__f000,cremad,resnet_se,random,2,0,success
723,cremad__resnet_se__random__s2__f001,cremad,resnet_se,random,2,1,success
724,cremad__resnet_se__random__s2__f002,cremad,resnet_se,random,2,2,success
725,cremad__resnet_se__random__s2__f003,cremad,resnet_se,random,2,3,success
726,cremad__resnet_se__random__s2__f004,cremad,resnet_se,random,2,4,success
727,cremad__resnet_se__groupkfold__s0__f000,cremad,resnet_se,groupkfold,0,0,success
728,cremad__resnet_se__groupkfold__s0__f001,cremad,resnet_se,groupkfold,0,1,success
729,cremad__resnet_se__groupkfold__s0__f002,cremad,resnet_se,groupkfold,0,2,success
730,cremad__resnet_se__groupkfold__s0__f003,cremad,resnet_se,groupkfold,0,3,success
731,cremad__resnet_se__groupkfold__s0__f004,cremad,resnet_se,groupkfold,0,4,success
732,cremad__resnet_se__groupkfold__s1__f000,cremad,resnet_se,groupkfold,1,0,success
