sequence,unit_id,corpus,model,protocol,seed,outer_fold,status
82,ravdess__cnn__loso__s2__f003,ravdess,cnn,loso,2,3,success
83,ravdess__cnn__loso__s2__f004,ravdess,cnn,loso,2,4,success
84,ravdess__cnn__loso__s2__f005,ravdess,cnn,loso,2,5,success
85,ravdess__cnn__loso__s2__f006,ravdess,cnn,loso,2,6,success
86,ravdess__cnn__loso__s2__f007,ravdess,cnn,loso,2,7,success
87,ravdess__cnn__loso__s2__f008,ravdess,cnn,loso,2,8,success
88,ravdess__cnn__loso__s2__f009,ravdess,cnn,loso,2,9,success
89,ravdess__cnn__loso__s2__f010,ravdess,cnn,loso,2,10,success
90,ravdess__cnn__loso__s2__f011,ravdess,cnn,loso,2,11,success
91,ravdess__cnn__loso__s2__f012,ravdess,cnn,loso,2,12,success
92,ravdess__cnn__loso__s2__f013,ravdess,cnn,loso,2,13,success
93,ravdess__cnn__loso__s2__f014,ravdess,cnn,loso,2,14,success
94,ravdess__cnn__loso__s2__f015,ravdess,cnn,loso,2,15,success
95,ravdess__cnn__loso__s2__f016,ravdess,cnn,loso,2,16,success
96,ravdess__cnn__loso__s2__f017,ravdess,cnn,loso,2,17,success
97,ravdess__cnn__loso__s2__f018,ravdess,cnn,loso,2,18,success
98,ravdess__cnn__loso__s2__f019,ravdess,cnn,loso,2,19,success
99,ravdess__cnn__loso__s2__f020,ravdess,cnn,loso,2,20,success
100,ravdess__cnn__loso__s2__f021,ravdess,cnn,loso,2,21,success
101,ravdess__cnn__loso__s2__f022,ravdess,cnn,loso,2,22,success
102,ravdess__cnn__loso__s2__f023,ravdess,cnn,loso,2,23,success
103,ravdess__resnet_se__random__s0__f000,ravdess,resnet_se,random,0,0,success
104,ravdess__resnet_se__random__s0__f001,ravdess,resnet_se,random,0,1,success
105,ravdess__resnet_se__random__s0__f002,ravdess,resnet_se,random,0,2,success
106,ravdess__resnet_se__random__s0__f003,ravdess,resnet_se,random,0,3,success
107,ravdess__resnet_se__random__s0__f004,ravdess,resnet_se,random,0,4,success
108,ravdess__resnet_se__random__s1__f000,ravdess,resnet_se,random,1,0,success
109,ravdess__resnet_se__random__s1__f001,ravdess,resnet_se,random,1,1,success
110,ravdess__resnet_se__random__s1__f002,ravdess,resnet_se,random,1,2,success
111,ravdess__resnet_se__random__s1__f003,ravdess,resnet_se,random,1,3,success
112,ravdess__resnet_se__random__s1__f004,ravdess,resnet_se,random,1,4,success
113,ravdess__resnet_se__random__s2__f000,ravdess,resnet_se,random,2,0,success
114,ravdess__resnet_se__random__s2__f001,ravdess,resnet_se,random,2,1,success
115,ravdess__resnet_se__random__s2__f002,ravdess,resnet_se,random,2,2,success
116,ravdess__resnet_se__random__s2__f003,ravdess,resnet_se,random,2,3,success
117,ravdess__resnet_se__random__s2__f004,ravdess,resnet_se,random,2,4,success
118,ravdess__resnet_se__groupkfold__s0__f000,ravdess,resnet_se,groupkfold,0,0,success
