method,fold,rotation,draw,policy,n_test_people_expected,n_test_people_used,nn1_mean,nn1_max,nn3_mean
actual_test_query_neutral_available,2,0,1,C,19,19,0.6713895878842386,0.8077270838557461,0.733656456448928
matched_eight_train_prompts_complete,2,0,1,R,19,18,0.6178261417474119,0.72036723193188,0.6665798300399468
actual_test_query_neutral_available,2,0,1,R,19,19,0.6791085095012389,0.8077270838557461,0.7192120530699627
matched_eight_train_prompts_complete,2,0,1,U,19,18,0.6199511535376835,0.7504321265872149,0.6722736634891334
actual_test_query_neutral_available,2,0,1,U,19,19,0.664090442745443,0.8335504156174633,0.7145073818943155
matched_eight_train_prompts_complete,2,0,2,C,19,18,0.6236163752221011,0.7534468347200691,0.6900189243046915
actual_test_query_neutral_available,2,0,2,C,19,19,0.6713895878842386,0.8077270838557461,0.733656456448928
matched_eight_train_prompts_complete,2,0,2,R,19,18,0.6178261417474119,0.72036723193188,0.6665798300399468
actual_test_query_neutral_available,2,0,2,R,19,19,0.6791085095012389,0.8077270838557461,0.7192120530699627
matched_eight_train_prompts_complete,2,0,2,U,19,18,0.6135091149977864,0.7887007135160418,0.681372749273285
actual_test_query_neutral_available,2,0,2,U,19,19,0.6506150386097813,0.7865033964245853,0.7178817681771383
matched_eight_train_prompts_complete,2,1,0,C,19,19,0.5866769599873974,0.7571857516309992,0.655936402971882
actual_test_query_neutral_available,2,1,0,C,19,19,0.6524046674225642,0.7494214581838164,0.7171902969438689
matched_eight_train_prompts_complete,2,1,0,R,19,19,0.5862746361514853,0.7325019304524208,0.6411185075024567
actual_test_query_neutral_available,2,1,0,R,19,19,0.6354064962556156,0.7494214581838164,0.7014979415107538
matched_eight_train_prompts_complete,2,1,0,U,19,19,0.6417602008489789,0.7741117216714608,0.6862564957256347
actual_test_query_neutral_available,2,1,0,U,19,19,0.6816602605544858,0.8375816001376117,0.7406515764439634
matched_eight_train_prompts_complete,2,1,1,C,19,19,0.5866769599873974,0.7571857516309992,0.655936402971882
actual_test_query_neutral_available,2,1,1,C,19,19,0.6524046674225642,0.7494214581838164,0.7171902969438689
matched_eight_train_prompts_complete,2,1,1,R,19,19,0.5862746361514853,0.7325019304524208,0.6411185075024567
actual_test_query_neutral_available,2,1,1,R,19,19,0.6354064962556156,0.7494214581838164,0.7014979415107538
matched_eight_train_prompts_complete,2,1,1,U,19,19,0.5909835635517329,0.7270112822762798,0.6546863466619355
actual_test_query_neutral_available,2,1,1,U,19,19,0.6513448542283623,0.791577890616149,0.7141498885928176
matched_eight_train_prompts_complete,2,1,2,C,19,19,0.5866769599873974,0.7571857516309992,0.655936402971882
actual_test_query_neutral_available,2,1,2,C,19,19,0.6524046674225642,0.7494214581838164,0.7171902969438689
matched_eight_train_prompts_complete,2,1,2,R,19,19,0.5862746361514853,0.7325019304524208,0.6411185075024567
actual_test_query_neutral_available,2,1,2,R,19,19,0.6354064962556156,0.7494214581838164,0.7014979415107538
matched_eight_train_prompts_complete,2,1,2,U,19,19,0.5979407431204005,0.7325019304524208,0.6490984173492926
actual_test_query_neutral_available,2,1,2,U,19,19,0.6566438933240882,0.7509750914363728,0.7151312789984537
matched_eight_train_prompts_complete,2,2,0,C,19,19,0.609384985287134,0.7411221141862079,0.679230056342064
actual_test_query_neutral_available,2,2,0,C,19,19,0.6545396792440912,0.8059033364705851,0.7112260829303317
matched_eight_train_prompts_complete,2,2,0,R,19,19,0.5935413368382498,0.7411221141862079,0.6596555630730512
actual_test_query_neutral_available,2,2,0,R,19,19,0.6315901806036359,0.7301376047328408,0.6890136082883132
matched_eight_train_prompts_complete,2,2,0,U,19,19,0.5889967095329249,0.7375139514133383,0.6617442909422351
actual_test_query_neutral_available,2,2,0,U,19,19,0.6346443681268858,0.7613813991374238,0.686638299562204
matched_eight_train_prompts_complete,2,2,1,C,19,19,0.609384985287134,0.7411221141862079,0.679230056342064
