level,model,coverage_pp,coverage_lo_pp,coverage_hi_pp,coverage_n,accepted_error_pp,accepted_error_lo_pp,accepted_error_hi_pp,accepted_error_n,gap_coverage_pp,gap_coverage_lo_pp,gap_coverage_hi_pp,gap_coverage_n,gap_accepted_error_pp,gap_accepted_error_lo_pp,gap_accepted_error_hi_pp,gap_accepted_error_n,review_deviation_pp
cremad,cnn,0.4424683939018557,-0.19455239882069134,1.0814872677838012,91,-0.6240583244639485,-1.1918262721868738,-0.034535078973111796,91,0.4410710110737863,-0.19570674662224458,1.0793684299573927,91,2.7317578299304524,2.1148842845444324,3.3822606365399515,91,-0.4424683939018557
cremad,ridge_wavlm_base_plus,1.6108294297924879,1.1623521434309834,2.0797777144143565,91,0.284918009565856,-0.27348712652488,0.852921736498132,91,1.609432046964418,1.1592648845332385,2.0796416451589614,91,1.332191472894075,0.6927598922559668,1.9904507368490327,91,-1.6108294297924879
cremad,ridge_hubert_base,1.6288845942247745,1.1157556473265722,2.139317718545895,91,-0.08523008527305925,-0.5655096066762912,0.3923445402390602,91,1.6274872113967047,1.113934431517185,2.139506274232048,91,1.5266040247107096,0.9599319627591956,2.087813219130001,91,-1.6288845942247745
cremad,ridge_wav2vec2_base,1.7682930457498998,1.2435747553687222,2.284247350317633,91,0.2614333355374287,-0.3436194131717709,0.8686129999883401,91,1.7668956629218298,1.2415706007197127,2.2832536959960152,91,2.454862429364957,1.8096474429270604,3.1213922293249605,91,-1.7682930457498998
cremad,wavlm_ft,0.18265667121037235,-1.1096859348356998,1.4956822276837245,91,-1.9871430379330264,-3.5720853928714,-0.42669839230168194,91,0.1701213788238991,-1.1209265962323625,1.48389383751108,91,2.976569095803696,1.3835683324375019,4.539288933032184,91,-0.18265667121037235
ravdess,cnn,-3.777856246076585,-6.018518518518518,-1.4167451349654738,24,-9.025444225034619,-12.08081346935078,-6.116754327475302,24,-3.7955076767714946,-6.036169949213427,-1.4343733400936798,24,7.862290824758622,5.407103626197797,10.2368050443369,24,3.777856246076585
ravdess,ridge_wavlm_base_plus,-0.42176710608913986,-1.9495448838669178,1.1060106716886382,24,-1.3754528549243639,-3.6725349124023983,0.895171044329452,24,-0.4394185367840495,-1.9644438552761145,1.0856067817080153,24,13.473557856128023,11.058828069600223,15.9758339117622,24,0.42176710608913986
ravdess,ridge_hubert_base,-0.7211236660389204,-2.9398148148148144,1.3853578154425608,24,-0.4165422091917864,-2.247919882962815,1.4486117845782078,24,-0.7387750967338301,-2.9556314257401217,1.36659697028387,24,18.441186397249933,16.339627970234552,20.59710721353665,24,0.7211236660389204
ravdess,ridge_wav2vec2_base,0.14477401129943562,-1.8055555555555551,2.0256591337099823,24,-1.0268778805301075,-3.098401289644244,0.976379690887801,24,0.12712258060452605,-1.8223476402824235,2.009919974144826,24,17.97102548143128,15.421452427852333,20.545316612280025,24,-0.14477401129943562
ravdess,wavlm_ft,-6.324152542372881,-8.481638418079095,-4.236111111111109,24,-5.556154011960807,-8.767189100312063,-2.5039060365304797,24,-6.338087882395178,-8.502083608890903,-4.241545893719807,24,11.59647466136127,8.461934027522194,14.66306226092495,24,6.324152542372881
subesco_980,cnn,-1.598639455782313,-4.45578231292517,0.9523809523809511,20,-4.273773257780883,-6.230379658315537,-2.289931070932736,20,-1.598639455782313,-4.45578231292517,0.9523809523809511,20,0.4396025383974601,-1.555319706504433,2.416580927068767,20,1.598639455782313
subesco_980,ridge_wavlm_base_plus,6.700680272108844,4.795068027210883,8.503401360544215,20,2.49333003591761,0.4999268565948586,4.594579198084172,20,6.700680272108844,4.795068027210883,8.503401360544215,20,4.276769526363468,1.591571734266955,6.984792136327783,20,-6.700680272108844
subesco_980,ridge_hubert_base,1.3265306122448968,-0.6462585034013608,3.197278911564625,20,1.4682368148811298,-1.2716101661824735,4.1781246818358335,20,1.3265306122448968,-0.6462585034013608,3.197278911564625,20,6.0966869210382395,2.8867997494879942,9.339881934826092,20,-1.3265306122448968
subesco_980,ridge_wav2vec2_base,-1.1224489795918373,-3.129251700680273,0.8843537414965976,20,-0.1297299773409001,-2.5394632547331293,2.213702043398722,20,-1.1224489795918373,-3.129251700680273,0.8843537414965976,20,8.06559910970793,4.702716904827533,11.074116642725945,20,1.1224489795918373
subesco_980,wavlm_ft,4.081632653061225,-1.329081632653062,9.387755102040815,20,-1.2234894046692706,-4.956515311145307,2.618772074444882,20,4.081632653061225,-1.329081632653062,9.387755102040815,20,10.114090213165127,7.094582910534363,13.335889416917018,20,-4.081632653061225
