level,model,review_deviation_pp,review_deviation_lo_pp,review_deviation_hi_pp,review_deviation_n,gap_coverage_pp,gap_coverage_lo_pp,gap_coverage_hi_pp,gap_coverage_n,accepted_error_pp,accepted_error_lo_pp,accepted_error_hi_pp,accepted_error_n,gap_accepted_error_pp,gap_accepted_error_lo_pp,gap_accepted_error_hi_pp,gap_accepted_error_n,seen_coverage_pct_or_pp_no_ci,seen_accepted_error_pct_or_pp_no_ci,seen_gap_accepted_error_pct_or_pp_no_ci,new_coverage_pct_or_pp_no_ci,new_accepted_error_pct_or_pp_no_ci,new_gap_accepted_error_pct_or_pp_no_ci
cremad,ridge_wavlm_base_plus,-0.3309648098194664,-0.7273450753473213,0.04608676597337337,91,0.3309648098194664,-0.04608676597337344,0.7273450753473213,91,0.10559314402123762,-0.08243121307879285,0.30174725042323736,91,2.0365975207831264,1.5673908718611982,2.5213519234866877,91,80.5036532074401,27.835061451906473,2.2983366529882105,80.17268839762065,27.72946830788523,0.2617391322050842
cremad,ridge_hubert_base,-0.5777440729658668,-0.8922886716710703,-0.27316150366535424,91,0.5777440729658668,0.27316150366535424,0.8922886716710703,91,0.20696563947235486,0.08151373445598437,0.33650665052965595,91,2.7021680976434,2.2077344882972167,3.2014857594698896,91,80.50565490231729,28.13805362235504,3.3671279594784935,79.92791082935142,27.931087982882687,0.6649598618350935
cremad,ridge_wav2vec2_base,-0.506816589222808,-0.8533566714193583,-0.1613544053861055,91,0.506816589222808,0.16135440538610535,0.8533566714193583,91,0.14050104741195607,-0.028252943754199067,0.3149451791177195,91,2.4849457147484757,1.965867852449297,3.0040497367409253,91,80.40939061282093,32.66758885385139,3.151353436486909,79.90257402359816,32.52708780643943,0.6664077217384337
ravdess,ridge_wavlm_base_plus,-1.8534212178279965,-3.4043471437539226,-0.41666666666666546,24,1.8534212178279965,0.41666666666666546,3.4043471437539226,24,0.1562122812409889,-0.2419870284526784,0.5756025956987485,24,13.267692984633458,11.224277297438029,15.54416080382974,24,82.85389202762084,46.79934907819807,12.715937935963398,81.00047080979283,46.64313679695709,-0.5517550486700596
ravdess,ridge_hubert_base,-1.7831920903954805,-2.5702291274325173,-0.9953703703703706,24,1.7831920903954805,0.9953703703703706,2.5702291274325173,24,0.3124330447125181,-0.08684505419433731,0.6989680298356108,24,15.135515055294526,13.659709120772142,16.51878475467185,24,82.36660389202761,49.10573591989682,15.152557426277152,80.58341180163214,48.79330287518431,0.017042370982624004
ravdess,ridge_wav2vec2_base,-3.427102950408034,-4.863985012554926,-1.9456214689265523,24,3.427102950408034,1.9456214689265523,4.863985012554919,24,0.8773524783307951,0.18327298986021506,1.6463270887819288,24,15.633421572635184,13.75064141826376,17.445829734580872,24,81.81301004394224,47.1738520363926,14.35833694146574,78.38590709353421,46.296499558061804,-1.2750846311694395
subesco_980,ridge_wavlm_base_plus,-5.034013605442176,-6.938775510204081,-3.1292517006802716,20,5.034013605442176,3.1292517006802716,6.938775510204081,20,1.2204336625724295,0.6502466504222717,1.8414115961070696,20,-2.589090146951379,-4.961483144700328,-0.37753856202403235,20,84.18367346938777,54.820623392208546,0.01542858701375438,79.14965986394557,53.60018972963613,2.6045187339651332
subesco_980,ridge_hubert_base,-3.3333333333333335,-5.204081632653059,-1.5646258503401373,20,3.3333333333333335,1.5646258503401373,5.204081632653059,20,0.48727118037450057,-0.17567768384851337,1.2006556791602956,20,5.249175942279263,2.9934918393952006,7.3823006816237715,20,83.46938775510203,57.55086756935418,4.3906944091810205,80.1360544217687,57.06359638897969,-0.8584815330982435
subesco_980,ridge_wav2vec2_base,-4.149659863945578,-5.680272108843538,-2.5850340136054415,20,4.149659863945578,2.5850340136054415,5.680272108843538,20,0.7443334239215342,0.1877012808705959,1.3241768630865354,20,6.631779311367422,4.404058619550287,9.116526352784007,20,82.34693877551022,57.20325908630374,4.995466878511526,78.19727891156461,56.4589256623822,-1.6363124328558953
