level,model,cell,n_r,n_speakers,n_units,coverage_pct_or_pp,coverage_lo,coverage_hi,coverage_n,accepted_error_pct_or_pp,accepted_error_lo,accepted_error_hi,accepted_error_n,gap_coverage_pct_or_pp,gap_coverage_lo,gap_coverage_hi,gap_coverage_n,gap_accepted_error_pct_or_pp,gap_accepted_error_lo,gap_accepted_error_hi,gap_accepted_error_n,coverage_secondary_pct_or_pp,coverage_secondary_lo,coverage_secondary_hi,coverage_secondary_n,accepted_error_secondary_pct_or_pp,accepted_error_secondary_lo,accepted_error_secondary_hi,accepted_error_secondary_n,gap_accepted_error_secondary_pct_or_pp,gap_accepted_error_secondary_lo,gap_accepted_error_secondary_hi,gap_accepted_error_secondary_n,realized_review_pct,review_minus_20_pp,coverage_profile_count_below_0.70,coverage_profile_count_zero,coverage_profile_min_pct,coverage_profile_n_speakers,coverage_profile_p10_pct
cremad,cnn,GR,3,91,15,80.5031539628958,79.49886283449165,81.48804568916267,91,38.152128983853835,35.91961063412396,40.45221006791467,91,0.519491776535068,-0.4851269399981575,1.5038034304694299,91,2.8827876919702335,0.6080124301434944,5.233941542506137,91,33.21208185439393,31.597780806479637,34.84051637929919,91,23.35716452719154,20.728050948123478,26.018988644140723,91,2.98819157205936,0.3505804338420753,5.659347124630662,91,19.496846037104206,-0.5031539628957944,4,0,67.47967479674797,91,74.39024390243901
cremad,cnn,GG,3,91,15,80.06068556899393,79.1588492354476,80.96889148104205,91,38.77618730831778,36.6940302110615,40.95283539998623,91,0.07842076546128192,-0.8239952623767267,0.9867795647265664,91,0.1510298620397816,-2.0155540712384212,2.3635164466557046,91,26.80794206058077,25.140761233713377,28.52379963325264,91,22.026648210320662,19.37370837788167,24.769212851297734,91,0.06462042122425536,-2.6196118293961907,2.8434008287341817,91,19.939314431006068,-0.06068556899393229,1,0,68.29268292682927,91,74.79674796747969
cremad,ridge_hubert_base,GR,3,91,15,81.60982919915313,80.41839449724826,82.74029767390645,91,26.942246586753072,24.963456543718596,28.966384339284012,91,1.6261670127923895,0.43474322453272124,2.755236886539559,91,2.4843892491023216,0.459194179127458,4.555135510300801,91,52.95374312080203,50.975323238347414,54.86196539435646,91,18.372304749201003,16.38688396832083,20.456712328037145,91,2.805351517691856,0.7941015089272444,4.895356564896098,91,18.390170800846874,-1.6098291991531255,3,0,67.88617886178862,91,73.57723577235772
cremad,ridge_hubert_base,GG,3,91,15,79.98094460492835,78.75448721976055,81.18167436040247,91,27.02747667202613,25.03815140014015,29.047167486402948,91,-0.0013201986043150787,-1.2271340073560086,1.200207639271483,91,0.9577852243916123,-1.0380495545991129,3.0087951849109316,91,49.19693685026733,46.88226487526695,51.478240929045924,91,16.780952341424673,14.84833764546633,18.79224845921459,91,0.44031904663912336,-1.5148336738959296,2.4536608318106485,91,20.019055395071646,0.01905539507164633,6,0,65.4471544715447,91,73.17073170731709
cremad,ridge_wav2vec2_base,GR,3,91,15,81.56752889102056,80.35211479880124,82.71225603486513,91,31.79680612264037,29.887822266389108,33.74101755823059,91,1.5838667046598178,0.36983641410009,2.728096616049858,91,2.7523650060390805,0.8042421731579393,4.723396091800617,91,48.15255260252408,46.30879609166408,49.9353932732864,91,21.643972269626634,19.52257264449061,23.877649741944396,91,4.013779035216441,1.8785367884102362,6.2655570496448725,91,18.432471108979442,-1.567528891020558,2,0,60.97560975609757,91,73.57723577235772
cremad,ridge_wav2vec2_base,GG,3,91,15,79.79923584527062,78.43530485330423,81.0543750617162,91,31.53537278710294,29.577539248134748,33.54523579008989,91,-0.18302895826201196,-1.5467557987733516,1.0730276152725433,91,0.2975025766741239,-1.6618943025216426,2.323881048621791,91,37.62697247310713,35.37693326100382,39.78307386077765,91,17.72969733892876,15.62819403801576,19.955178382195108,91,-0.8446965473519321,-2.972678292104371,1.381345698922376,91,20.200764154729384,0.20076415472938436,10,0,58.536585365853654,91,69.73684210526315
cremad,ridge_wavlm_base_plus,GR,3,91,15,81.23583887044879,80.05060116843832,82.41236897297907,91,26.814563443677113,25.041015373495522,28.65886553367555,91,1.2521766840880397,0.06658015863398198,2.4271310077764485,91,1.6181576933780129,-0.17271865208341908,3.4817506153806965,91,50.81471753469329,48.97066290844372,52.69107367480906,91,17.46415458636717,15.674220274096829,19.333591829313544,91,1.596809552216452,-0.2067400218606595,3.4715036263133827,91,18.764161129551212,-1.235838870448788,4,0,63.008130081300806,91,73.57723577235772
cremad,ridge_wavlm_base_plus,GG,3,91,15,79.62500944065627,78.4119079772428,80.86065814646349,91,26.52964543411126,24.73842561605303,28.330083278935458,91,-0.35725536287637844,-1.5712161315590099,0.8793401809258228,91,0.2859662204839378,-1.559590261745811,2.125313101381186,91,47.335788745715995,45.31556170061734,49.37791888257229,91,15.92137714405816,14.124717698081529,17.795322539839344,91,-0.44094391022530055,-2.2767692561299215,1.4689176953846723,91,20.37499055934373,0.37499055934372905,4,0,62.601626016260155,91,71.95121951219511
cremad,wavlm_ft,GR,1,91,5,80.69876370796355,79.51873325172426,81.8498797415678,91,24.956875234947585,22.885716955885393,27.025957391825372,91,0.7068979255157591,-0.47646089380270285,1.8588822522449897,91,2.6007121869501963,0.4892240905914285,4.689195534665108,91,58.8367540437502,57.323741247401394,60.38798293419602,91,17.43793600681251,15.444362446926835,19.486305813266764,91,2.6577808457078618,0.6505210581421622,4.716761649225947,91,19.30123629203645,-0.6987637079635505,2,0,63.41463414634146,91,74.39024390243902
cremad,wavlm_ft,GG,1,91,5,80.51610703675318,79.20078347687193,81.85453845509473,91,26.944018272880616,24.864105424979225,29.02282973621087,91,0.53677654669186,-0.7800920007698342,1.8754333224406536,91,-0.375856908853499,-2.5528997873549697,1.7737495630048912,91,52.50983693163839,50.69916738853946,54.30470379030231,91,17.994293089944353,15.905470458500776,20.107810918733268,91,1.1373668670924402,-0.9648737193887233,3.2524123807297385,91,19.483892963246817,-0.5161070367531835,5,0,65.85365853658537,91,73.17073170731707
