comparison,id,level,model,n,n_dropped,n_population,n_undefined_bootstrap,quantity,rule,unit,estimate_pp,ci95_low_pp,ci95_high_pp
GR-GG,B2:ravdess:ridge_wavlm_base_plus:GR-GG:accepted_error_secondary,ravdess,ridge_wavlm_base_plus,14,10,24,0,accepted_error_secondary,secondary,percentage_points,6.473271277403467,1.2543717844937539,11.740467530396892
GR-GG,B2:ravdess:ridge_wavlm_base_plus:GR-GG:gap_accepted_error_secondary,ravdess,ridge_wavlm_base_plus,14,10,24,0,gap_accepted_error_secondary,secondary,percentage_points,11.749067968490172,6.631719942780603,17.162423925854934
GR-GG,B2:ravdess:wavlm_ft:GR-GG:coverage_secondary,ravdess,wavlm_ft,24,0,24,0,coverage_secondary,secondary,percentage_points,12.311676082862526,6.3194444444444455,18.35334274952919
GR-GG,B2:ravdess:wavlm_ft:GR-GG:accepted_error_secondary,ravdess,wavlm_ft,24,0,24,0,accepted_error_secondary,secondary,percentage_points,0.942645532494867,-3.1040529440150606,5.065934632301637
GR-GG,B2:ravdess:wavlm_ft:GR-GG:gap_accepted_error_secondary,ravdess,wavlm_ft,24,0,24,0,gap_accepted_error_secondary,secondary,percentage_points,8.837244603356183,4.739110965083819,12.776106731135892
GR-GG,B2:subesco_980:cnn:GR-GG:coverage_secondary,subesco_980,cnn,20,0,20,0,coverage_secondary,secondary,percentage_points,5.340136054421768,0.7142857142857143,9.965986394557822
GR-GG,B2:subesco_980:cnn:GR-GG:accepted_error_secondary,subesco_980,cnn,3,17,20,390,accepted_error_secondary,secondary,percentage_points,-3.7832483420718717,-8.424908424908423,0.0
GR-GG,B2:subesco_980:cnn:GR-GG:gap_accepted_error_secondary,subesco_980,cnn,3,17,20,390,gap_accepted_error_secondary,secondary,percentage_points,-1.7665139331391893,-6.986758452275694,1.5656393527760197
GR-GG,B2:subesco_980:ridge_hubert_base:GR-GG:coverage_secondary,subesco_980,ridge_hubert_base,20,0,20,0,coverage_secondary,secondary,percentage_points,4.727891156462585,1.5646258503401356,7.926020408163255
GR-GG,B2:subesco_980:ridge_hubert_base:GR-GG:accepted_error_secondary,subesco_980,ridge_hubert_base,2,18,20,1185,accepted_error_secondary,secondary,percentage_points,-13.792989417989418,-36.25,8.664021164021165
GR-GG,B2:subesco_980:ridge_hubert_base:GR-GG:gap_accepted_error_secondary,subesco_980,ridge_hubert_base,2,18,20,1185,gap_accepted_error_secondary,secondary,percentage_points,-18.260284447678334,-45.866402116402114,9.345833221045446
GR-GG,B2:subesco_980:ridge_wav2vec2_base:GR-GG:coverage_secondary,subesco_980,ridge_wav2vec2_base,20,0,20,0,coverage_secondary,secondary,percentage_points,11.394557823129254,8.537414965986393,14.183673469387756
GR-GG,B2:subesco_980:ridge_wav2vec2_base:GR-GG:accepted_error_secondary,subesco_980,ridge_wav2vec2_base,8,12,20,1,accepted_error_secondary,secondary,percentage_points,-5.6008595520979405,-18.44033039543875,8.014399201350951
GR-GG,B2:subesco_980:ridge_wav2vec2_base:GR-GG:gap_accepted_error_secondary,subesco_980,ridge_wav2vec2_base,8,12,20,1,gap_accepted_error_secondary,secondary,percentage_points,-2.530334256118036,-15.710395377947133,12.120817332298891
GR-GG,B2:subesco_980:ridge_wavlm_base_plus:GR-GG:coverage_secondary,subesco_980,ridge_wavlm_base_plus,20,0,20,0,coverage_secondary,secondary,percentage_points,14.217687074829929,10.374149659863944,18.265306122448983
GR-GG,B2:subesco_980:ridge_wavlm_base_plus:GR-GG:accepted_error_secondary,subesco_980,ridge_wavlm_base_plus,6,14,20,6,accepted_error_secondary,secondary,percentage_points,-5.185742619953147,-16.436507936507933,6.914235070485033
GR-GG,B2:subesco_980:ridge_wavlm_base_plus:GR-GG:gap_accepted_error_secondary,subesco_980,ridge_wavlm_base_plus,6,14,20,6,gap_accepted_error_secondary,secondary,percentage_points,-7.691553121850656,-17.90037363566775,3.6088155989985604
GR-GG,B2:subesco_980:wavlm_ft:GR-GG:coverage_secondary,subesco_980,wavlm_ft,20,0,20,0,coverage_secondary,secondary,percentage_points,18.571428571428573,11.020408163265305,26.02040816326531
GR-GG,B2:subesco_980:wavlm_ft:GR-GG:accepted_error_secondary,subesco_980,wavlm_ft,20,0,20,0,accepted_error_secondary,secondary,percentage_points,0.7878743185540927,-5.5052610138456926,7.236746082138678
GR-GG,B2:subesco_980:wavlm_ft:GR-GG:gap_accepted_error_secondary,subesco_980,wavlm_ft,20,0,20,0,gap_accepted_error_secondary,secondary,percentage_points,5.903291736316453,-0.47047879619035127,12.291850248755138
