module,original_scale,N,comparison,condition,endpoint,estimate,estimator,id,level,model,n,primary,reference_condition,reference_estimator,ci95_low,ci95_high,interpretation,target_class,threshold_points,available,ci95,reason,b,n_reps,n_undefined_bootstrap,quantity,n_dropped,n_population,rule,interval,n_repeats
A,UAR percentage points; harm endpoints are proportions,5,recall[angry](single:angry@5[naive])-recall[angry](none),single:angry@5,4,-64.36263736263736,naive,ep4:cremad:hubert_base:recall[angry](single:angry@5[naive])-recall[angry](none),cremad,hubert_base,91,False,none,none,-68.73278388278388,-59.65924908424908,,angry,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,recall[disgust](single:disgust@5[naive])-recall[disgust](none),single:disgust@5,4,-46.76923076923077,naive,ep4:cremad:hubert_base:recall[disgust](single:disgust@5[naive])-recall[disgust](none),cremad,hubert_base,91,False,none,none,-52.60448717948718,-40.834981684981685,,disgust,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,recall[fearful](single:fearful@5[naive])-recall[fearful](none),single:fearful@5,4,-40.501831501831504,naive,ep4:cremad:hubert_base:recall[fearful](single:fearful@5[naive])-recall[fearful](none),cremad,hubert_base,91,False,none,none,-45.93434065934066,-35.0474358974359,,fearful,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,recall[happy](single:happy@5[naive])-recall[happy](none),single:happy@5,4,-46.058608058608066,naive,ep4:cremad:hubert_base:recall[happy](single:happy@5[naive])-recall[happy](none),cremad,hubert_base,91,False,none,none,-51.45054945054944,-40.43937728937729,,happy,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,recall[neutral](single:neutral@5[naive])-recall[neutral](none),single:neutral@5,4,-65.22710622710623,naive,ep4:cremad:hubert_base:recall[neutral](single:neutral@5[naive])-recall[neutral](none),cremad,hubert_base,91,False,none,none,-69.57902930402929,-60.66648351648351,,neutral,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,recall[sad](single:sad@5[naive])-recall[sad](none),single:sad@5,4,-39.03663003663004,naive,ep4:cremad:hubert_base:recall[sad](single:sad@5[naive])-recall[sad](none),cremad,hubert_base,91,False,none,none,-44.95247252747252,-32.91208791208792,,sad,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,mean_e(recall[e](single:e@5[naive])-recall[e](none)),single:*@5,4,-50.32600732600732,naive,ep4:cremad:hubert_base:mean_e(recall[e](single:e@5[naive])-recall[e](none)),cremad,hubert_base,91,False,none,none,-52.659981684981695,-47.918147130647135,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,mean_e(single:e@3)[shrink]-[naive],single:*@3,5,39.80067155067155,shrink,ep5:cremad:hubert_base:mean_e(single:e@3)[shrink]-[naive],cremad,hubert_base,91,True,single:*@3,naive,37.778283984533985,41.77535358160359,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:angry@3[shrink]-[naive],single:angry@3,5,41.4072039072039,shrink,ep5:cremad:hubert_base:single:angry@3[shrink]-[naive],cremad,hubert_base,91,False,single:angry@3,naive,39.164178876678875,43.615201465201466,,angry,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:disgust@3[shrink]-[naive],single:disgust@3,5,39.1001221001221,shrink,ep5:cremad:hubert_base:single:disgust@3[shrink]-[naive],cremad,hubert_base,91,False,single:disgust@3,naive,36.99204822954824,41.21126373626374,,disgust,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:fearful@3[shrink]-[naive],single:fearful@3,5,39.27167277167278,shrink,ep5:cremad:hubert_base:single:fearful@3[shrink]-[naive],cremad,hubert_base,91,False,single:fearful@3,naive,37.12880036630036,41.35898962148962,,fearful,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:happy@3[shrink]-[naive],single:happy@3,5,39.117826617826616,shrink,ep5:cremad:hubert_base:single:happy@3[shrink]-[naive],cremad,hubert_base,91,False,single:happy@3,naive,36.85891330891331,41.339499389499395,,happy,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:neutral@3[shrink]-[naive],single:neutral@3,5,40.169719169719166,shrink,ep5:cremad:hubert_base:single:neutral@3[shrink]-[naive],cremad,hubert_base,91,False,single:neutral@3,naive,38.043925518925526,42.269841269841265,,neutral,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:sad@3[shrink]-[naive],single:sad@3,5,39.737484737484735,shrink,ep5:cremad:hubert_base:single:sad@3[shrink]-[naive],cremad,hubert_base,91,False,single:sad@3,naive,37.497527472527466,41.911492673992676,,sad,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,mean_e(single:e@3)[neutral_filter]-[naive],single:*@3,5,33.06715506715506,neutral_filter,ep5:cremad:hubert_base:mean_e(single:e@3)[neutral_filter]-[naive],cremad,hubert_base,91,True,single:*@3,naive,31.687380443630445,34.454838217338214,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:angry@3[neutral_filter]-[naive],single:angry@3,5,32.166666666666664,neutral_filter,ep5:cremad:hubert_base:single:angry@3[neutral_filter]-[naive],cremad,hubert_base,91,False,single:angry@3,naive,30.36565934065934,33.92986874236873,,angry,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:disgust@3[neutral_filter]-[naive],single:disgust@3,5,33.58974358974359,neutral_filter,ep5:cremad:hubert_base:single:disgust@3[neutral_filter]-[naive],cremad,hubert_base,91,False,single:disgust@3,naive,31.904761904761905,35.295512820512826,,disgust,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:fearful@3[neutral_filter]-[naive],single:fearful@3,5,33.9993894993895,neutral_filter,ep5:cremad:hubert_base:single:fearful@3[neutral_filter]-[naive],cremad,hubert_base,91,False,single:fearful@3,naive,32.2465811965812,35.732036019536025,,fearful,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:happy@3[neutral_filter]-[naive],single:happy@3,5,33.34065934065934,neutral_filter,ep5:cremad:hubert_base:single:happy@3[neutral_filter]-[naive],cremad,hubert_base,91,False,single:happy@3,naive,31.658104395604397,34.99884004884005,,happy,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:neutral@3[neutral_filter]-[naive],single:neutral@3,5,31.947496947496948,neutral_filter,ep5:cremad:hubert_base:single:neutral@3[neutral_filter]-[naive],cremad,hubert_base,91,False,single:neutral@3,naive,30.324786324786327,33.5849358974359,,neutral,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:sad@3[neutral_filter]-[naive],single:sad@3,5,33.35897435897436,neutral_filter,ep5:cremad:hubert_base:single:sad@3[neutral_filter]-[naive],cremad,hubert_base,91,False,single:sad@3,naive,31.38940781440781,35.2601343101343,,sad,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,mean_e(single:e@3)[prior_corrected]-[naive],single:*@3,5,39.235347985347985,prior_corrected,ep5:cremad:hubert_base:mean_e(single:e@3)[prior_corrected]-[naive],cremad,hubert_base,91,True,single:*@3,naive,37.41123321123321,41.086034798534804,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:angry@3[prior_corrected]-[naive],single:angry@3,5,40.77960927960928,prior_corrected,ep5:cremad:hubert_base:single:angry@3[prior_corrected]-[naive],cremad,hubert_base,91,False,single:angry@3,naive,38.645253357753354,42.81022588522588,,angry,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:disgust@3[prior_corrected]-[naive],single:disgust@3,5,38.46092796092797,prior_corrected,ep5:cremad:hubert_base:single:disgust@3[prior_corrected]-[naive],cremad,hubert_base,91,False,single:disgust@3,naive,36.46881868131867,40.44932844932844,,disgust,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:fearful@3[prior_corrected]-[naive],single:fearful@3,5,38.68559218559218,prior_corrected,ep5:cremad:hubert_base:single:fearful@3[prior_corrected]-[naive],cremad,hubert_base,91,False,single:fearful@3,naive,36.70326617826618,40.653235653235654,,fearful,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:happy@3[prior_corrected]-[naive],single:happy@3,5,38.44810744810744,prior_corrected,ep5:cremad:hubert_base:single:happy@3[prior_corrected]-[naive],cremad,hubert_base,91,False,single:happy@3,naive,36.4376984126984,40.40909645909646,,happy,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:neutral@3[prior_corrected]-[naive],single:neutral@3,5,40.74175824175825,prior_corrected,ep5:cremad:hubert_base:single:neutral@3[prior_corrected]-[naive],cremad,hubert_base,91,False,single:neutral@3,naive,38.64835164835166,42.75216727716728,,neutral,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,single:sad@3[prior_corrected]-[naive],single:sad@3,5,38.29609279609279,prior_corrected,ep5:cremad:hubert_base:single:sad@3[prior_corrected]-[naive],cremad,hubert_base,91,False,single:sad@3,naive,36.11399572649572,40.453632478632485,,sad,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,mean_e(single:e@5)[shrink]-[naive],single:*@5,5,25.3964183964184,shrink,ep5:cremad:hubert_base:mean_e(single:e@5)[shrink]-[naive],cremad,hubert_base,91,False,single:*@5,naive,23.995589133089137,26.76720085470086,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:angry@5[shrink]-[naive],single:angry@5,5,28.857753357753353,shrink,ep5:cremad:hubert_base:single:angry@5[shrink]-[naive],cremad,hubert_base,91,False,single:angry@5,naive,26.974313186813188,30.760897435897434,,angry,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:disgust@5[shrink]-[naive],single:disgust@5,5,24.54517704517704,shrink,ep5:cremad:hubert_base:single:disgust@5[shrink]-[naive],cremad,hubert_base,91,False,single:disgust@5,naive,22.909630647130644,26.161797924297918,,disgust,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:fearful@5[shrink]-[naive],single:fearful@5,5,23.481074481074483,shrink,ep5:cremad:hubert_base:single:fearful@5[shrink]-[naive],cremad,hubert_base,91,False,single:fearful@5,naive,21.779594017094013,25.1447039072039,,fearful,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:happy@5[shrink]-[naive],single:happy@5,5,23.71489621489622,shrink,ep5:cremad:hubert_base:single:happy@5[shrink]-[naive],cremad,hubert_base,91,False,single:happy@5,naive,21.970665445665446,25.470085470085472,,happy,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,single:neutral@5[shrink]-[naive],single:neutral@5,5,26.293650793650798,shrink,ep5:cremad:hubert_base:single:neutral@5[shrink]-[naive],cremad,hubert_base,91,False,single:neutral@5,naive,24.43833943833944,28.092200854700856,,neutral,,,,,,,,,,,,,
