model,B,S,scenario,speaker,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp,mean_uar_pp
ridge_wavlm,288,12,prompt_seen,1001,29.166666666666668,36.111111111111114,37.49999999999999,34.25925925925926
ridge_wavlm,288,12,prompt_seen,1002,32.1969696969697,40.53030303030303,33.45959595959596,35.3956228956229
ridge_wavlm,288,12,prompt_seen,1003,41.66666666666667,38.88888888888889,43.05555555555556,41.20370370370371
ridge_wavlm,288,12,prompt_seen,1004,52.77777777777778,54.166666666666664,48.611111111111114,51.85185185185185
ridge_wavlm,288,12,prompt_seen,1005,45.83333333333334,48.61111111111111,58.33333333333333,50.925925925925924
ridge_wavlm,288,12,prompt_seen,1006,54.545454545454554,53.28282828282829,50.75757575757576,52.861952861952865
ridge_wavlm,288,12,prompt_seen,1007,33.33333333333333,36.11111111111111,33.33333333333333,34.25925925925925
ridge_wavlm,288,12,prompt_seen,1008,31.818181818181817,34.848484848484844,43.939393939393945,36.868686868686865
ridge_wavlm,288,12,prompt_seen,1009,50.0,39.393939393939384,50.0,46.46464646464646
ridge_wavlm,288,12,prompt_seen,1010,48.61111111111111,48.61111111111111,54.166666666666664,50.46296296296296
ridge_wavlm,288,12,prompt_seen,1011,51.388888888888886,43.05555555555556,56.94444444444444,50.46296296296296
ridge_wavlm,288,12,prompt_seen,1012,43.05555555555556,50.0,34.722222222222214,42.59259259259259
ridge_wavlm,288,12,prompt_seen,1013,44.1919191919192,47.348484848484844,44.31818181818181,45.28619528619529
ridge_wavlm,288,12,prompt_seen,1014,50.0,47.22222222222223,63.88888888888889,53.7037037037037
ridge_wavlm,288,12,prompt_seen,1015,38.888888888888886,29.166666666666668,33.33333333333333,33.7962962962963
ridge_wavlm,288,12,prompt_seen,1016,41.66666666666667,43.05555555555556,37.5,40.74074074074074
ridge_wavlm,288,12,prompt_seen,1017,38.38383838383839,36.74242424242424,31.186868686868692,35.43771043771044
ridge_wavlm,288,12,prompt_seen,1018,51.38888888888889,47.22222222222223,51.38888888888889,50.0
ridge_wavlm,288,12,prompt_seen,1019,46.96969696969697,48.484848484848484,43.939393939393945,46.46464646464647
ridge_wavlm,288,12,prompt_seen,1020,59.72222222222222,51.38888888888889,51.38888888888889,54.166666666666664
ridge_wavlm,288,12,prompt_seen,1021,44.44444444444445,43.05555555555556,38.88888888888889,42.129629629629626
ridge_wavlm,288,12,prompt_seen,1022,47.22222222222223,47.22222222222223,43.05555555555556,45.833333333333336
ridge_wavlm,288,12,prompt_seen,1023,43.05555555555556,52.77777777777778,44.44444444444445,46.75925925925927
ridge_wavlm,288,12,prompt_seen,1024,45.83333333333334,47.222222222222214,40.27777777777777,44.444444444444436
ridge_wavlm,288,12,prompt_seen,1025,50.0,45.83333333333333,45.83333333333333,47.22222222222222
ridge_wavlm,288,12,prompt_seen,1026,61.11111111111111,50.0,55.55555555555556,55.555555555555564
ridge_wavlm,288,12,prompt_seen,1027,41.66666666666667,38.88888888888889,47.222222222222214,42.592592592592595
ridge_wavlm,288,12,prompt_seen,1028,43.05555555555556,54.166666666666664,47.22222222222223,48.14814814814815
ridge_wavlm,288,12,prompt_seen,1029,50.0,40.27777777777777,37.5,42.59259259259259
ridge_wavlm,288,12,prompt_seen,1030,55.55555555555555,45.83333333333334,48.611111111111114,50.0
ridge_wavlm,288,12,prompt_seen,1031,44.44444444444444,43.05555555555555,38.888888888888886,42.129629629629626
ridge_wavlm,288,12,prompt_seen,1032,34.72222222222223,34.72222222222223,29.166666666666668,32.870370370370374
ridge_wavlm,288,12,prompt_seen,1033,50.0,45.83333333333333,45.83333333333333,47.22222222222222
ridge_wavlm,288,12,prompt_seen,1034,27.777777777777775,34.722222222222214,38.888888888888886,33.79629629629629
ridge_wavlm,288,12,prompt_seen,1035,59.72222222222222,45.83333333333333,40.277777777777786,48.61111111111111
ridge_wavlm,288,12,prompt_seen,1036,36.11111111111111,34.72222222222223,26.38888888888889,32.40740740740741
ridge_wavlm,288,12,prompt_seen,1037,48.611111111111114,55.55555555555556,50.0,51.38888888888889
ridge_wavlm,288,12,prompt_seen,1038,52.77777777777778,51.38888888888889,62.499999999999986,55.55555555555555
ridge_wavlm,288,12,prompt_seen,1039,51.38888888888889,47.22222222222223,48.611111111111114,49.074074074074076
ridge_wavlm,288,12,prompt_seen,1040,51.38888888888889,46.717171717171716,50.88383838383837,49.66329966329966
ridge_wavlm,288,12,prompt_seen,1041,45.83333333333333,52.77777777777778,48.61111111111111,49.074074074074076
ridge_wavlm,288,12,prompt_seen,1042,45.83333333333333,38.88888888888889,34.72222222222223,39.81481481481482
ridge_wavlm,288,12,prompt_seen,1043,48.61111111111111,43.05555555555556,52.77777777777778,48.148148148148145
ridge_wavlm,288,12,prompt_seen,1044,48.61111111111111,45.83333333333333,41.66666666666667,45.37037037037036
ridge_wavlm,288,12,prompt_seen,1045,44.44444444444445,37.5,36.11111111111111,39.351851851851855
ridge_wavlm,288,12,prompt_seen,1046,33.33333333333333,37.5,31.944444444444446,34.25925925925926
ridge_wavlm,288,12,prompt_seen,1047,47.22222222222223,52.77777777777778,65.27777777777779,55.09259259259259
ridge_wavlm,288,12,prompt_seen,1048,52.77777777777778,41.66666666666667,41.66666666666667,45.37037037037038
ridge_wavlm,288,12,prompt_seen,1049,55.55555555555556,45.83333333333333,40.27777777777777,47.22222222222222
ridge_wavlm,288,12,prompt_seen,1050,41.66666666666667,45.83333333333333,47.22222222222223,44.90740740740741
ridge_wavlm,288,12,prompt_seen,1051,37.49999999999999,61.11111111111111,41.66666666666667,46.75925925925926
ridge_wavlm,288,12,prompt_seen,1052,48.61111111111111,51.388888888888886,58.333333333333336,52.77777777777778
ridge_wavlm,288,12,prompt_seen,1053,52.77777777777778,48.61111111111111,55.55555555555556,52.31481481481482
ridge_wavlm,288,12,prompt_seen,1054,54.166666666666664,41.66666666666667,40.277777777777786,45.37037037037038
ridge_wavlm,288,12,prompt_seen,1055,44.44444444444445,43.05555555555555,50.0,45.833333333333336
ridge_wavlm,288,12,prompt_seen,1056,41.66666666666667,44.44444444444444,44.44444444444445,43.518518518518526
ridge_wavlm,288,12,prompt_seen,1057,43.05555555555556,38.88888888888889,36.11111111111111,39.351851851851855
ridge_wavlm,288,12,prompt_seen,1058,59.72222222222222,47.22222222222223,50.0,52.31481481481482
ridge_wavlm,288,12,prompt_seen,1059,44.44444444444444,34.722222222222214,40.277777777777786,39.81481481481482
ridge_wavlm,288,12,prompt_seen,1060,40.27777777777777,33.33333333333333,30.555555555555557,34.72222222222222
ridge_wavlm,288,12,prompt_seen,1061,51.38888888888889,51.388888888888886,43.05555555555556,48.61111111111111
ridge_wavlm,288,12,prompt_seen,1062,47.22222222222223,45.83333333333333,48.611111111111114,47.22222222222223
ridge_wavlm,288,12,prompt_seen,1063,37.5,41.66666666666667,44.44444444444444,41.2037037037037
ridge_wavlm,288,12,prompt_seen,1064,55.55555555555555,48.61111111111111,61.11111111111111,55.09259259259259
ridge_wavlm,288,12,prompt_seen,1065,54.166666666666664,43.05555555555556,43.05555555555556,46.75925925925926
ridge_wavlm,288,12,prompt_seen,1066,44.44444444444444,45.83333333333333,41.66666666666667,43.98148148148149
ridge_wavlm,288,12,prompt_seen,1067,22.22222222222222,26.38888888888889,27.77777777777778,25.462962962962962
ridge_wavlm,288,12,prompt_seen,1068,36.111111111111114,58.33333333333333,44.44444444444444,46.2962962962963
ridge_wavlm,288,12,prompt_seen,1069,41.66666666666667,40.277777777777786,50.0,43.98148148148149
ridge_wavlm,288,12,prompt_seen,1070,37.5,50.0,47.22222222222223,44.90740740740741
ridge_wavlm,288,12,prompt_seen,1071,37.5,36.111111111111114,34.722222222222214,36.11111111111111
ridge_wavlm,288,12,prompt_seen,1072,45.83333333333333,45.83333333333333,44.44444444444444,45.37037037037036
ridge_wavlm,288,12,prompt_seen,1073,44.44444444444445,38.88888888888889,41.66666666666667,41.66666666666667
ridge_wavlm,288,12,prompt_seen,1074,48.61111111111111,38.888888888888886,48.611111111111114,45.370370370370374
ridge_wavlm,288,12,prompt_seen,1075,51.38888888888889,41.66666666666667,43.05555555555555,45.370370370370374
ridge_wavlm,288,12,prompt_seen,1076,54.166666666666664,41.03535353535353,36.36363636363636,43.85521885521885
ridge_wavlm,288,12,prompt_seen,1077,38.88888888888889,41.66666666666667,45.83333333333333,42.12962962962963
ridge_wavlm,288,12,prompt_seen,1078,56.94444444444445,50.0,48.611111111111114,51.851851851851855
ridge_wavlm,288,12,prompt_seen,1079,38.888888888888886,54.16666666666667,50.000000000000014,47.68518518518519
ridge_wavlm,288,12,prompt_seen,1080,55.55555555555555,56.94444444444445,45.83333333333333,52.77777777777777
ridge_wavlm,288,12,prompt_seen,1081,45.83333333333333,52.77777777777778,52.77777777777778,50.46296296296296
ridge_wavlm,288,12,prompt_seen,1082,31.944444444444446,41.66666666666667,40.277777777777786,37.96296296296297
ridge_wavlm,288,12,prompt_seen,1083,44.44444444444444,47.22222222222223,44.44444444444445,45.370370370370374
ridge_wavlm,288,12,prompt_seen,1084,47.22222222222223,40.27777777777777,47.22222222222223,44.90740740740741
ridge_wavlm,288,12,prompt_seen,1085,41.66666666666666,41.66666666666667,44.44444444444445,42.59259259259259
ridge_wavlm,288,12,prompt_seen,1086,41.66666666666667,41.66666666666667,43.05555555555556,42.12962962962963
ridge_wavlm,288,12,prompt_seen,1087,41.66666666666667,43.05555555555555,41.66666666666666,42.129629629629626
ridge_wavlm,288,12,prompt_seen,1088,43.05555555555556,48.611111111111114,41.66666666666667,44.44444444444445
ridge_wavlm,288,12,prompt_seen,1089,41.66666666666667,54.166666666666664,56.94444444444444,50.925925925925924
ridge_wavlm,288,12,prompt_seen,1090,37.5,47.222222222222214,36.11111111111111,40.27777777777777
ridge_wavlm,288,12,prompt_seen,1091,41.66666666666667,33.33333333333333,38.888888888888886,37.96296296296296
ridge_wavlm,288,12,prompt_new,1001,29.166666666666664,22.22222222222222,20.833333333333336,24.074074074074076
ridge_wavlm,288,12,prompt_new,1002,25.252525252525253,26.641414141414145,20.95959595959596,24.28451178451179
ridge_wavlm,288,12,prompt_new,1003,31.944444444444443,27.77777777777778,30.555555555555554,30.09259259259259
ridge_wavlm,288,12,prompt_new,1004,38.888888888888886,26.388888888888896,27.777777777777775,31.01851851851852
ridge_wavlm,288,12,prompt_new,1005,26.38888888888889,27.77777777777778,31.944444444444446,28.703703703703706
ridge_wavlm,288,12,prompt_new,1006,34.090909090909086,33.08080808080808,27.525252525252526,31.565656565656568
ridge_wavlm,288,12,prompt_new,1007,31.944444444444443,20.833333333333336,22.222222222222225,25.0
ridge_wavlm,288,12,prompt_new,1008,33.33333333333333,21.21212121212121,28.78787878787879,27.777777777777775
ridge_wavlm,288,12,prompt_new,1009,30.303030303030305,28.78787878787879,31.818181818181817,30.3030303030303
ridge_wavlm,288,12,prompt_new,1010,25.0,33.33333333333333,30.555555555555554,29.62962962962963
ridge_wavlm,288,12,prompt_new,1011,33.33333333333333,36.111111111111114,37.5,35.648148148148145
ridge_wavlm,288,12,prompt_new,1012,19.444444444444446,23.611111111111114,23.611111111111107,22.222222222222218
ridge_wavlm,288,12,prompt_new,1013,22.97979797979798,24.621212121212125,23.10606060606061,23.56902356902357
ridge_wavlm,288,12,prompt_new,1014,26.38888888888889,27.77777777777778,29.166666666666668,27.777777777777782
ridge_wavlm,288,12,prompt_new,1015,30.555555555555554,19.444444444444443,19.444444444444446,23.14814814814815
ridge_wavlm,288,12,prompt_new,1016,30.555555555555554,26.38888888888889,29.166666666666668,28.703703703703706
ridge_wavlm,288,12,prompt_new,1017,21.21212121212121,18.434343434343432,22.6010101010101,20.749158249158246
ridge_wavlm,288,12,prompt_new,1018,38.88888888888889,29.166666666666664,33.33333333333333,33.7962962962963
ridge_wavlm,288,12,prompt_new,1019,30.303030303030305,27.27272727272727,28.78787878787879,28.787878787878793
ridge_wavlm,288,12,prompt_new,1020,29.166666666666668,37.5,36.111111111111114,34.25925925925926
ridge_wavlm,288,12,prompt_new,1021,29.166666666666668,15.277777777777777,30.555555555555554,25.0
ridge_wavlm,288,12,prompt_new,1022,27.77777777777778,25.0,24.999999999999996,25.925925925925924
ridge_wavlm,288,12,prompt_new,1023,34.72222222222223,20.833333333333336,26.38888888888889,27.31481481481482
ridge_wavlm,288,12,prompt_new,1024,27.777777777777775,26.38888888888889,29.166666666666668,27.777777777777775
ridge_wavlm,288,12,prompt_new,1025,30.555555555555554,27.777777777777775,34.722222222222214,31.018518518518515
ridge_wavlm,288,12,prompt_new,1026,31.944444444444443,27.77777777777778,36.111111111111114,31.944444444444446
ridge_wavlm,288,12,prompt_new,1027,29.166666666666668,25.0,27.77777777777778,27.31481481481482
ridge_wavlm,288,12,prompt_new,1028,31.944444444444446,31.944444444444446,29.166666666666668,31.01851851851852
ridge_wavlm,288,12,prompt_new,1029,31.944444444444446,33.33333333333333,19.444444444444443,28.240740740740737
ridge_wavlm,288,12,prompt_new,1030,34.722222222222214,25.0,29.166666666666668,29.62962962962963
ridge_wavlm,288,12,prompt_new,1031,26.38888888888889,22.22222222222222,24.999999999999996,24.537037037037038
ridge_wavlm,288,12,prompt_new,1032,15.277777777777777,27.777777777777775,16.666666666666664,19.907407407407405
ridge_wavlm,288,12,prompt_new,1033,26.38888888888889,29.166666666666668,31.944444444444446,29.166666666666668
ridge_wavlm,288,12,prompt_new,1034,24.999999999999996,23.611111111111114,22.22222222222222,23.611111111111114
ridge_wavlm,288,12,prompt_new,1035,33.33333333333333,31.944444444444443,27.77777777777778,31.018518518518515
ridge_wavlm,288,12,prompt_new,1036,24.999999999999996,22.222222222222225,23.611111111111107,23.61111111111111
ridge_wavlm,288,12,prompt_new,1037,31.944444444444446,25.0,34.72222222222223,30.555555555555557
ridge_wavlm,288,12,prompt_new,1038,29.166666666666668,30.555555555555554,34.722222222222214,31.481481481481477
ridge_wavlm,288,12,prompt_new,1039,30.555555555555557,34.72222222222223,26.38888888888889,30.555555555555557
ridge_wavlm,288,12,prompt_new,1040,32.82828282828283,28.030303030303035,38.38383838383838,33.08080808080808
ridge_wavlm,288,12,prompt_new,1041,31.944444444444443,34.72222222222223,25.0,30.555555555555557
ridge_wavlm,288,12,prompt_new,1042,25.0,29.166666666666664,25.0,26.388888888888886
ridge_wavlm,288,12,prompt_new,1043,26.38888888888889,25.0,25.0,25.462962962962962
ridge_wavlm,288,12,prompt_new,1044,31.944444444444446,29.166666666666668,37.5,32.870370370370374
