kind,model,B,S,scenario,contrast,unit,draw0,draw1,draw2,draw_min,draw_max,n_speakers
absolute,ridge_wavlm,288,12,prompt_seen,,UAR %,45.2020202020202,44.545732045732045,44.476356976356975,44.476356976356975,45.2020202020202,91
absolute,ridge_wavlm,288,12,prompt_new,,UAR %,29.446941946941944,27.720890220890226,28.439615939615937,27.720890220890226,29.446941946941944,91
absolute,ridge_wavlm,288,48,prompt_seen,,UAR %,44.46525696525697,43.760406260406256,45.3934953934954,43.760406260406256,45.3934953934954,91
absolute,ridge_wavlm,288,48,prompt_new,,UAR %,30.149017649017647,29.76467976467976,27.895715395715396,27.895715395715396,30.149017649017647,91
absolute,ridge_wavlm,576,12,prompt_seen,,UAR %,46.818459318459325,47.635697635697625,46.439671439671436,46.439671439671436,47.635697635697625,91
absolute,ridge_wavlm,576,12,prompt_new,,UAR %,28.031690531690533,27.935952935952937,29.009879009879008,27.935952935952937,29.009879009879008,91
absolute,ridge_wavlm,576,48,prompt_seen,,UAR %,45.99567099567099,46.475746475746476,47.03074703074704,45.99567099567099,47.03074703074704,91
absolute,ridge_wavlm,576,48,prompt_new,,UAR %,27.55022755022755,28.84754134754135,28.765678765678764,27.55022755022755,28.84754134754135,91
absolute,cnn,288,12,prompt_seen,,UAR %,41.3073038073038,41.736041736041734,40.77589077589077,40.77589077589077,41.736041736041734,91
absolute,cnn,288,12,prompt_new,,UAR %,40.84110334110334,39.911477411477414,39.968364968364966,39.911477411477414,40.84110334110334,91
absolute,cnn,288,48,prompt_seen,,UAR %,42.66566766566766,42.76973026973027,42.284104784104784,42.284104784104784,42.76973026973027,91
absolute,cnn,288,48,prompt_new,,UAR %,41.65417915417916,40.888278388278394,41.41830391830391,40.888278388278394,41.65417915417916,91
absolute,cnn,576,12,prompt_seen,,UAR %,43.26645576645576,42.493617493617485,43.66328116328116,42.493617493617485,43.66328116328116,91
absolute,cnn,576,12,prompt_new,,UAR %,41.45715395715396,40.54695304695305,41.169941169941175,40.54695304695305,41.45715395715396,91
absolute,cnn,576,48,prompt_seen,,UAR %,45.14513264513265,45.2963702963703,45.424020424020426,45.14513264513265,45.424020424020426,91
absolute,cnn,576,48,prompt_new,,UAR %,43.31501831501832,43.1041181041181,43.237318237318235,43.1041181041181,43.31501831501832,91
contrast,ridge_wavlm,288,,prompt_new,S48_minus_S12,percentage points,0.7020757020757025,2.0437895437895444,-0.5439005439005445,-0.5439005439005445,2.0437895437895444,91
contrast,ridge_wavlm,288,,prompt_seen,S48_minus_S12,percentage points,-0.7367632367632375,-0.7853257853257851,0.9171384171384169,-0.7853257853257851,0.9171384171384169,91
contrast,ridge_wavlm,288,,,new_minus_seen_of_S48_minus_S12,percentage points,1.4388389388389404,2.8291153291153295,-1.4610389610389616,-1.4610389610389616,2.8291153291153295,91
contrast,ridge_wavlm,576,,prompt_new,S48_minus_S12,percentage points,-0.4814629814629812,0.9115884115884123,-0.24420024420024478,-0.4814629814629812,0.9115884115884123,91
contrast,ridge_wavlm,576,,prompt_seen,S48_minus_S12,percentage points,-0.8227883227883218,-1.1599511599511585,0.5910755910755924,-1.1599511599511585,0.5910755910755924,91
contrast,ridge_wavlm,576,,,new_minus_seen_of_S48_minus_S12,percentage points,0.3413253413253404,2.071539571539571,-0.8352758352758368,-0.8352758352758368,2.071539571539571,91
contrast,cnn,288,,prompt_new,S48_minus_S12,percentage points,0.8130758130758123,0.9768009768009768,1.4499389499389503,0.8130758130758123,1.4499389499389503,91
contrast,cnn,288,,prompt_seen,S48_minus_S12,percentage points,1.3583638583638586,1.033688533688534,1.5082140082140079,1.033688533688534,1.5082140082140079,91
contrast,cnn,288,,,new_minus_seen_of_S48_minus_S12,percentage points,-0.5452880452880464,-0.05688755688755694,-0.05827505827505743,-0.5452880452880464,-0.05688755688755694,91
contrast,cnn,576,,prompt_new,S48_minus_S12,percentage points,1.8578643578643588,2.557165057165056,2.0673770673770666,1.8578643578643588,2.557165057165056,91
contrast,cnn,576,,prompt_seen,S48_minus_S12,percentage points,1.878676878676878,2.8027528027528024,1.7607392607392616,1.7607392607392616,2.8027528027528024,91
contrast,cnn,576,,,new_minus_seen_of_S48_minus_S12,percentage points,-0.020812520812519764,-0.24558774558774632,0.3066378066378056,-0.24558774558774632,0.3066378066378056,91
