level,model,b,n_reps,n_speakers,tau,coverage,accepted_error,error_capture_rate,accepted_uar,accepted_present_class_uar,accepted_classes_present,n_rejected,actual_review_rate,overall_error_rate,overall_uar,n_utts,accepted_support_0,accepted_support_1,accepted_support_2,accepted_support_3,accepted_support_4,accepted_support_5,speaker_equal_accepted_error,speaker_risk_undefined_count,speaker_coverage_min,speaker_coverage_p10,speakers_below_0.70,speakers_zero,quota_accepted_error,quota_coverage,quota_error_capture_rate,aurc,oracle_aurc,e_aurc
cremad,cnn,0.1,3,91,0.37765320307968153,0.9000672494956289,0.413329348475792,0.15473818808230924,58.81237155028169,58.81237155028169,6.0,743.0,0.09993275050437121,0.4401255323918403,56.36294680585004,7435.0,1203.3333333333333,1127.0,1125.3333333333333,1104.3333333333333,978.3333333333334,1153.6666666666667,0.41315644371827925,0.0,0.7764227642276422,0.8449764127270902,0.0,0.0,0.41405861897665175,0.902488231338265,0.15097283753620472,0.28908348871985856,0.11540965896752227,0.17367382975233633
cremad,cnn,0.2,3,91,0.43011115857134324,0.8000000000000002,0.38774938354629,0.295200201694831,60.96015128142727,60.96015128142727,6.0,1487.0,0.20000000000000004,0.4401255323918403,56.36294680585004,7435.0,1112.6666666666667,991.3333333333334,984.0,920.0,894.3333333333334,1045.6666666666667,0.38754163737333963,0.0,0.6666666666666666,0.7276422764227641,3.6666666666666665,0.0,0.38760726624317393,0.8045729657027573,0.2914348672070359,0.28908348871985856,0.11540965896752227,0.17367382975233633
cremad,cnn,0.3,3,91,0.47205586728080157,0.7000672494956288,0.3622158181235991,0.42385036681573246,62.75739937083265,62.75739937083265,6.0,2230.0,0.29993275050437124,0.4401255323918403,56.36294680585004,7435.0,1017.3333333333334,861.3333333333334,824.6666666666666,739.6666666666666,825.6666666666666,936.3333333333334,0.3609471726290758,0.0,0.5265984141322895,0.6081501555756299,45.333333333333336,0.0,0.36598820620125544,0.7070611970410222,0.4120458170920744,0.28908348871985856,0.11540965896752227,0.17367382975233633
cremad,hubert_base,0.1,3,91,0.4440804030213347,0.9000672494956289,0.278890217174736,0.20310562238482485,72.2526352654509,72.2526352654509,6.0,743.0,0.09993275050437121,0.3149966375252185,68.85398279442308,7435.0,1204.0,1111.3333333333333,1139.6666666666667,1123.0,996.3333333333334,1117.6666666666667,0.2804525705336141,0.0,0.7550278134360292,0.8414634146341463,0.0,0.0,0.2804272230501739,0.902488231338265,0.1965617541501322,0.15369033154052633,0.0558658931518633,0.097824438388663
cremad,hubert_base,0.2,3,91,0.5185105876499181,0.8000000000000002,0.24618919524770233,0.37477018971739245,75.29633170841232,75.29633170841232,6.0,1487.0,0.20000000000000004,0.3149966375252185,68.85398279442308,7435.0,1123.0,966.6666666666666,1000.3333333333334,998.6666666666666,905.6666666666666,953.6666666666666,0.2484042294056319,0.0,0.6422764227642276,0.7113821138211381,6.666666666666667,0.0,0.25097514766521783,0.8045729657027573,0.3589778625359395,0.15369033154052633,0.0558658931518633,0.097824438388663
cremad,hubert_base,0.3,3,91,0.5906542466187163,0.7000672494956288,0.2133845661223183,0.5257822238441375,78.30003533584716,78.30003533584716,6.0,2230.0,0.29993275050437124,0.3149966375252185,68.85398279442308,7435.0,1035.3333333333333,828.6666666666666,854.3333333333334,869.6666666666666,820.3333333333334,796.6666666666666,0.21620564204432738,0.0,0.524390243902439,0.6097560975609756,45.333333333333336,0.0,0.22186291294147487,0.7070611970410222,0.5020082414979771,0.15369033154052633,0.0558658931518633,0.097824438388663
cremad,resnet_se,0.1,3,91,0.4075867659440422,0.9000672494956289,0.38344291691572024,0.16392748580231326,61.84441845066462,61.84441845066462,6.0,743.0,0.09993275050437121,0.41277740416946873,59.1191406987775,7435.0,1196.3333333333333,1137.0,1113.0,1125.3333333333333,979.6666666666666,1140.6666666666667,0.38323313298617956,0.0,0.7764227642276422,0.8455284552845529,0.0,0.0,0.38455042225534025,0.902488231338265,0.15927614713289548,0.2547833084470525,0.10022651761107822,0.15455679083597426
cremad,resnet_se,0.2,3,91,0.4703264729473462,0.8000000000000002,0.3557498318762609,0.31061241761610797,64.24354261521525,64.24354261521525,6.0,1487.0,0.20000000000000004,0.41277740416946873,59.1191406987775,7435.0,1105.3333333333333,1014.0,960.6666666666666,952.0,902.3333333333334,1013.6666666666666,0.355213882981607,0.0,0.6382113821138211,0.7249679075738126,5.666666666666667,0.0,0.3587986180764516,0.8045729657027573,0.3007111957886639,0.2547833084470525,0.10022651761107822,0.15455679083597426
cremad,resnet_se,0.3,3,91,0.5224381332755665,0.7000672494956288,0.3285943003522254,0.4427446591050208,66.35777107213765,66.35777107213765,6.0,2230.0,0.29993275050437124,0.41277740416946873,59.1191406987775,7435.0,1029.3333333333333,893.6666666666666,797.3333333333334,786.3333333333334,827.6666666666666,870.6666666666666,0.3281392128320874,0.0,0.524390243902439,0.6081501555756299,44.0,0.0,0.3319383678904318,0.7070611970410222,0.4314723430522309,0.2547833084470525,0.10022651761107822,0.15455679083597426
cremad,transformer,0.1,3,91,0.35338983529884566,0.9000672494956289,0.48694959155210205,0.13671508095273435,51.27415072271222,51.27415072271222,6.0,743.0,0.09993275050437121,0.5076888590002242,49.52855553357369,7435.0,1212.6666666666667,1111.0,1111.3333333333333,1126.3333333333333,962.6666666666666,1168.0,0.48648762079855806,0.0,0.7551440329218106,0.8333333333333334,0.0,0.0,0.4873323397913562,0.902488231338265,0.1337063168391573,0.3748605897306146,0.15887515642057906,0.21598543331003558
cremad,transformer,0.2,3,91,0.39986067517355267,0.8000000000000002,0.46715982963461106,0.2639065579686622,52.89939196640139,52.89939196640139,6.0,1487.0,0.20000000000000004,0.5076888590002242,49.52855553357369,7435.0,1132.0,971.6666666666666,967.3333333333334,966.6666666666666,847.6666666666666,1062.6666666666667,0.46536672497044496,0.0,0.5934959349593495,0.6926829268292684,11.333333333333334,0.0,0.4674579293435863,0.8045729657027573,0.2592126623389393,0.3748605897306146,0.15887515642057906,0.21598543331003558
cremad,transformer,0.3,3,91,0.44131485285959116,0.7000672494956288,0.44649375600384245,0.38435897489580834,54.460495476826424,54.460495476826424,6.0,2230.0,0.29993275050437124,0.5076888590002242,49.52855553357369,7435.0,1039.3333333333333,841.0,811.6666666666666,818.3333333333334,742.3333333333334,952.3333333333334,0.4428976660518437,0.0,0.4466446906184462,0.5691056910569107,46.333333333333336,0.0,0.4473400545304673,0.7070611970410222,0.3770257054920969,0.3748605897306146,0.15887515642057906,0.21598543331003558
