level,model,b,n_reps,n_speakers,accepted_classes_present,accepted_error,accepted_present_class_uar,accepted_support_0,accepted_support_1,accepted_support_2,accepted_support_3,accepted_support_4,accepted_support_5,accepted_uar,actual_review_rate,coverage,error_capture_rate,n_rejected,n_utts,overall_error_rate,overall_uar,quota_accepted_error,quota_coverage,quota_error_capture_rate,speaker_coverage_min,speaker_coverage_p10,speaker_equal_accepted_error,speaker_risk_undefined_count,speakers_below_0.70,speakers_zero,tau,aurc,oracle_aurc,e_aurc,speaker_equal_coverage,fold_accepted_error,fold_actual_review_rate,fold_speakers_below_0_70,accepted_error_ci_low,accepted_error_ci_high,capture_ci_low,capture_ci_high,accepted_support_6,accepted_support_7
cremad,cnn,0.2,3,91,6.0,0.38774938354629,60.96015128142727,1112.6666666666667,991.3333333333334,984.0,920.0,894.3333333333334,1045.6666666666667,60.96015128142727,0.20000000000000004,0.8000000000000002,0.295200201694831,1487.0,7435.0,0.4401255323918403,56.36294680585004,0.38760726624317393,0.8045729657027573,0.2914348672070359,0.6666666666666666,0.7276422764227641,0.38754163737333963,0.0,3.6666666666666665,0.0,0.43011115857134324,0.28908348871985856,0.11540965896752227,0.17367382975233633,0.7999688777627015,0.38806722689075634,0.19973100201748487,2.3333333333333335,0.3665575504511041,0.4094066114664079,0.28045540177912726,0.31025389765693834,,
cremad,hubert_base,0.2,3,91,6.0,0.24618919524770233,75.29633170841232,1123.0,966.6666666666666,1000.3333333333334,998.6666666666666,905.6666666666666,953.6666666666666,75.29633170841232,0.20000000000000004,0.8000000000000002,0.37477018971739245,1487.0,7435.0,0.3149966375252185,68.85398279442308,0.25097514766521783,0.8045729657027573,0.3589778625359395,0.6422764227642276,0.7113821138211381,0.2484042294056319,0.0,6.666666666666667,0.0,0.5185105876499181,0.15369033154052633,0.0558658931518633,0.097824438388663,0.7998895856833383,0.24661064425770307,0.19973100201748487,6.333333333333333,0.2259458189935045,0.26637294955620056,0.35493596558256024,0.39495050512345253,,
cremad,resnet_se,0.2,3,91,6.0,0.3557498318762609,64.24354261521525,1105.3333333333333,1014.0,960.6666666666666,952.0,902.3333333333334,1013.6666666666666,64.24354261521525,0.20000000000000004,0.8000000000000002,0.31061241761610797,1487.0,7435.0,0.41277740416946873,59.1191406987775,0.3587986180764516,0.8045729657027573,0.3007111957886639,0.6382113821138211,0.7249679075738126,0.355213882981607,0.0,5.666666666666667,0.0,0.4703264729473462,0.2547833084470525,0.10022651761107822,0.15455679083597426,0.7999956802285285,0.35596638655462187,0.19973100201748487,3.3333333333333335,0.33568210888585187,0.37628955834112765,0.2940420122696042,0.3275660338964489,,
cremad,transformer,0.2,3,91,6.0,0.46715982963461106,52.89939196640139,1132.0,971.6666666666666,967.3333333333334,966.6666666666666,847.6666666666666,1062.6666666666667,52.89939196640139,0.20000000000000004,0.8000000000000002,0.2639065579686622,1487.0,7435.0,0.5076888590002242,49.52855553357369,0.4674579293435863,0.8045729657027573,0.2592126623389393,0.5934959349593495,0.6926829268292684,0.46536672497044496,0.0,11.333333333333334,0.0,0.39986067517355267,0.3748605897306146,0.15887515642057906,0.21598543331003558,0.7998963806337933,0.46560224089635854,0.19973100201748487,4.333333333333333,0.4478342482945529,0.4859862341240145,0.2474745647767164,0.28056172764536136,,
cremad,wav2vec2_base,0.2,3,91,6.0,0.32896211611746246,67.04783357175357,1121.0,993.6666666666666,1012.0,968.0,837.3333333333334,1016.0,67.04783357175357,0.20000000000000004,0.8000000000000002,0.31982020523854543,1487.0,7435.0,0.38690876485093034,61.51856471815609,0.33121586983171736,0.8045729657027573,0.31122898740963073,0.6376765083440308,0.7036799315361574,0.32898690268982883,0.0,9.666666666666666,0.0,0.4676310845479992,0.22933818298574807,0.08698590483940229,0.1423522781463458,0.7998103190015898,0.3292997198879552,0.19973100201748487,8.0,0.3074918376904843,0.35153829714154294,0.29767435475378873,0.34208993605779614,,
cremad,wavlm_base_plus,0.2,3,91,6.0,0.24899125756556825,74.96943795059373,1133.3333333333333,980.0,982.3333333333334,965.3333333333334,911.3333333333334,975.6666666666666,74.96943795059373,0.20000000000000004,0.8000000000000002,0.3693514651804852,1487.0,7435.0,0.3158932974669357,68.77248505679408,0.25454140198372893,0.8045729657027573,0.35163019145315055,0.605691056910569,0.7113821138211381,0.2512894416234038,0.0,6.666666666666667,0.0,0.5170775947656504,0.1565750111554685,0.056202347676509244,0.10037266347895928,0.799887254907937,0.24941176470588233,0.19973100201748487,6.666666666666667,0.23032498311386818,0.26812738457226004,0.35052663621308416,0.38856148869591095,,
cremad,wavlm_base_plus_ft,0.2,2,91,6.0,0.25479152656355075,73.79404443059462,1148.5,994.5,907.5,941.0,970.5,986.0,73.79404443059462,0.2,0.8,0.36027275782641455,1487.0,7435.0,0.31856086079354407,68.60170786221958,0.25468070879304583,0.8045729657027573,0.3567430041786546,0.5731707317073171,0.6890243902439024,0.2547891110548298,0.0,13.5,0.0,0.558030543508071,0.1652466686828133,0.05727265673527571,0.10797401194753758,0.800063003863282,0.2536974789915966,0.19973100201748487,5.5,0.2345213468266595,0.27503690588931934,0.33641851360108416,0.384657196188118,,
ravdess,cnn,0.2,9,24,8.0,0.5619212962962963,43.752311218120404,73.44444444444444,172.33333333333334,143.88888888888889,144.88888888888889,163.66666666666666,153.0,43.752311218120404,0.19944405837387075,0.8005559416261293,0.2500488749246148,287.0,1439.0,0.5998764574164157,41.02831254847779,0.560281635802469,0.8005559416261293,0.2522874112293282,0.4759259259259259,0.5953860640301318,0.5593984601327457,0.0,4.555555555555555,0.0,0.32845925910096174,0.44163439526919884,0.23372449346298194,0.20790990180621693,0.8005453546767106,0.560570987654321,0.19944405837387075,1.6666666666666667,0.5193854642838963,0.6039492342393427,0.20537389467646755,0.2979769233848926,163.44444444444446,137.33333333333334
ravdess,hubert_base,0.2,3,24,8.0,0.27372685185185186,72.05463308847658,81.0,164.0,144.66666666666666,136.33333333333334,168.66666666666666,135.33333333333334,72.05463308847658,0.19944405837387072,0.8005559416261293,0.3633486540893948,287.0,1439.0,0.3439888811674774,65.90166430337406,0.2734375,0.8005559416261293,0.36381495733347585,0.5833333333333334,0.665367231638418,0.27410681479960974,0.0,3.3333333333333335,0.0,0.47912686718921665,0.16901889919658777,0.06756869201966333,0.10145020717692448,0.8004904268675457,0.27372685185185186,0.19944405837387072,1.6666666666666667,0.2257722771062627,0.32923988575647234,0.31227062400335687,0.4194674224822294,169.66666666666666,152.33333333333334
ravdess,resnet_se,0.2,3,24,8.0,0.5026041666666666,48.72186735430912,74.0,171.33333333333334,135.66666666666666,141.66666666666666,166.33333333333334,147.66666666666666,48.72186735430912,0.19944405837387072,0.8005559416261293,0.2662049456404295,287.0,1439.0,0.5482974287699791,45.63370327952298,0.5008680555555555,0.8005559416261293,0.2686945662176077,0.48888888888888893,0.6331920903954803,0.49899911098326794,0.0,4.333333333333333,0.0,0.3708468956694954,0.37492739789521834,0.18958757609931498,0.18533982179590333,0.8005571249215317,0.4976851851851852,0.19944405837387072,2.0,0.46058642852283377,0.5438968111029374,0.22117978846017175,0.31335945460701076,166.33333333333334,149.0
