level,model,b,n_reps,n_speakers,accepted_classes_present,accepted_error,accepted_present_class_uar,accepted_support_0,accepted_support_1,accepted_support_2,accepted_support_3,accepted_support_4,accepted_support_5,accepted_uar,actual_review_rate,coverage,error_capture_rate,n_rejected,n_utts,overall_error_rate,overall_uar,quota_accepted_error,quota_coverage,quota_error_capture_rate,speaker_coverage_min,speaker_coverage_p10,speaker_equal_accepted_error,speaker_risk_undefined_count,speakers_below_0.70,speakers_zero,tau,aurc,oracle_aurc,e_aurc,accepted_support_6,accepted_support_7
cremad,cnn,0.1,3,91,6.0,0.4134752133018407,58.79782985368073,1202.3333333333333,1126.3333333333333,1128.0,1102.3333333333333,978.3333333333334,1156.3333333333333,58.79782985368073,0.09970858551894195,0.9002914144810581,0.1542294886592522,741.3333333333334,7435.0,0.4401255323918403,56.36294680585004,0.41405861897665175,0.902488231338265,0.15097283753620472,0.7886178861788619,0.8524390243902439,0.41344392245659267,0.0,0.0,0.0,0.37765320307968153,0.2884396396305336,0.1160453186065249,0.17239432102400873,,
cremad,cnn,0.2,3,91,6.0,0.38806722689075634,60.91602425206264,1110.6666666666667,990.6666666666666,982.3333333333334,921.6666666666666,897.0,1047.6666666666667,60.91602425206264,0.19973100201748487,0.8002689979825152,0.2943902058455638,1485.0,7435.0,0.4401255323918403,56.36294680585004,0.38760726624317393,0.8045729657027573,0.2914348672070359,0.6910569105691057,0.7311831407787762,0.38791763498267445,0.0,2.3333333333333335,0.0,0.43011115857134324,0.2884396396305336,0.1160453186065249,0.17239432102400873,,
cremad,cnn,0.3,3,91,6.0,0.3628913450556366,62.69392951727505,1016.3333333333334,864.3333333333334,824.3333333333334,738.0,824.6666666666666,938.6666666666666,62.69392951727505,0.2997534185160278,0.7002465814839723,0.4226336369749653,2228.6666666666665,7435.0,0.4401255323918403,56.36294680585004,0.36598820620125544,0.7070611970410222,0.4120458170920744,0.5265984141322895,0.6097560975609756,0.36168565191401364,0.0,45.0,0.0,0.47205586728080157,0.2884396396305336,0.1160453186065249,0.17239432102400873,,
cremad,hubert_base,0.1,3,91,6.0,0.27916951673992,72.21608292297098,1206.0,1111.6666666666667,1136.6666666666667,1124.6666666666667,997.3333333333334,1117.3333333333333,72.21608292297098,0.09970858551894195,0.9002914144810581,0.20211453488491593,741.3333333333334,7435.0,0.3149966375252185,68.85398279442308,0.2804272230501739,0.902488231338265,0.1965617541501322,0.7831621737270004,0.8455284552845529,0.2806242108099615,0.0,0.0,0.0,0.4440804030213347,0.15286218872618404,0.05624023771744618,0.09662195100873784,,
cremad,hubert_base,0.2,3,91,6.0,0.24661064425770307,75.24222332170135,1122.6666666666667,963.3333333333334,1000.3333333333334,1002.3333333333334,907.3333333333334,954.0,75.24222332170135,0.19973100201748487,0.8002689979825152,0.37348829726346616,1485.0,7435.0,0.3149966375252185,68.85398279442308,0.25097514766521783,0.8045729657027573,0.3589778625359395,0.6504065040650406,0.7235772357723578,0.24889903023969037,0.0,6.333333333333333,0.0,0.5185105876499181,0.15286218872618404,0.05624023771744618,0.09662195100873784,,
cremad,hubert_base,0.3,3,91,6.0,0.2128176130799819,78.34391913069895,1033.0,828.0,852.6666666666666,872.3333333333334,823.0,797.3333333333334,78.34391913069895,0.2997534185160278,0.7002465814839723,0.5269369136556125,2228.6666666666665,7435.0,0.3149966375252185,68.85398279442308,0.22186291294147487,0.7070611970410222,0.5020082414979771,0.540650406504065,0.6097560975609756,0.21601573331899573,0.0,44.333333333333336,0.0,0.5906542466187163,0.15286218872618404,0.05624023771744618,0.09662195100873784,,
cremad,resnet_se,0.1,3,91,6.0,0.3836466736194839,61.82040106367222,1194.0,1138.0,1114.6666666666667,1122.0,981.6666666666666,1143.3333333333333,61.82040106367222,0.09970858551894195,0.9002914144810581,0.16328539771095926,741.3333333333334,7435.0,0.41277740416946873,59.1191406987775,0.38455042225534025,0.902488231338265,0.15927614713289548,0.7886178861788617,0.8489410820034126,0.38365674668083183,0.0,0.0,0.0,0.4075867659440422,0.25289215300491713,0.10069408409127145,0.15219806891364573,,
cremad,resnet_se,0.2,3,91,6.0,0.35596638655462187,64.21358943018184,1107.3333333333333,1014.3333333333334,959.6666666666666,948.6666666666666,902.6666666666666,1017.3333333333334,64.21358943018184,0.19973100201748487,0.8002689979825152,0.3099450322668554,1485.0,7435.0,0.41277740416946873,59.1191406987775,0.3587986180764516,0.8045729657027573,0.3007111957886639,0.6666666666666666,0.7276422764227641,0.3558834019486918,0.0,3.3333333333333335,0.0,0.4703264729473462,0.25289215300491713,0.10069408409127145,0.15219806891364573,,
cremad,resnet_se,0.3,3,91,6.0,0.3287668473709369,66.32374351533068,1029.3333333333333,894.0,796.6666666666666,788.3333333333334,831.3333333333334,866.6666666666666,66.32374351533068,0.2997534185160278,0.7002465814839723,0.44235862197592296,2228.6666666666665,7435.0,0.41277740416946873,59.1191406987775,0.3319383678904318,0.7070611970410222,0.4314723430522309,0.5569105691056911,0.6178861788617885,0.3286670255958584,0.0,47.0,0.0,0.5224381332755665,0.25289215300491713,0.10069408409127145,0.15219806891364573,,
cremad,transformer,0.1,3,91,6.0,0.4868279557772493,51.31354167957408,1208.6666666666667,1114.6666666666667,1119.6666666666667,1119.3333333333333,964.0,1167.3333333333333,51.31354167957408,0.09970858551894195,0.9002914144810581,0.13671920104433213,741.3333333333334,7435.0,0.5076888590002242,49.52855553357369,0.4873323397913562,0.902488231338265,0.1337063168391573,0.7877145438121048,0.8495934959349594,0.48670065791594447,0.0,0.0,0.0,0.35338983529884566,0.3703929687523355,0.15953038795888627,0.21086258079344922,,
cremad,transformer,0.2,3,91,6.0,0.46560224089635854,53.03482801522092,1129.6666666666667,973.6666666666666,959.3333333333334,974.0,855.6666666666666,1057.6666666666667,53.03482801522092,0.19973100201748487,0.8002689979825152,0.2660898542632535,1485.0,7435.0,0.5076888590002242,49.52855553357369,0.4674579293435863,0.8045729657027573,0.2592126623389393,0.6545380407507778,0.7276422764227641,0.4649312202322963,0.0,4.333333333333333,0.0,0.39986067517355267,0.3703929687523355,0.15953038795888627,0.21086258079344922,,
cremad,transformer,0.3,3,91,6.0,0.4461870444750107,54.47940715708987,1038.3333333333333,836.6666666666666,817.6666666666666,818.6666666666666,748.3333333333334,946.6666666666666,54.47940715708987,0.2997534185160278,0.7002465814839723,0.38459543297912785,2228.6666666666665,7435.0,0.5076888590002242,49.52855553357369,0.4473400545304673,0.7070611970410222,0.3770257054920969,0.5203252032520326,0.6163885323063757,0.4448420845007559,0.0,47.666666666666664,0.0,0.44131485285959116,0.3703929687523355,0.15953038795888627,0.21086258079344922,,
cremad,wav2vec2_base,0.1,3,91,6.0,0.35690454583689313,64.42618801941866,1196.0,1143.3333333333333,1135.0,1118.6666666666667,953.3333333333334,1147.3333333333333,64.42618801941866,0.09970858551894195,0.9002914144810581,0.16951864194141997,741.3333333333334,7435.0,0.38690876485093034,61.51856471815609,0.35772478887232984,0.902488231338265,0.1655761092955872,0.7834830979888746,0.8414634146341463,0.3569851607262578,0.0,0.0,0.0,0.39966794560496705,0.22878349262399877,0.08730307562852106,0.14148041699547773,,
cremad,wav2vec2_base,0.2,3,91,6.0,0.3292997198879552,67.01272396495087,1121.6666666666667,993.0,1008.6666666666666,968.3333333333334,837.6666666666666,1020.6666666666666,67.01272396495087,0.19973100201748487,0.8002689979825152,0.31888912263785535,1485.0,7435.0,0.38690876485093034,61.51856471815609,0.33121586983171736,0.8045729657027573,0.31122898740963073,0.6254813863928113,0.7073170731707318,0.32942030438737596,0.0,8.0,0.0,0.4676310845479992,0.22878349262399877,0.08730307562852106,0.14148041699547773,,
cremad,wav2vec2_base,0.3,3,91,6.0,0.30040375084388876,69.67820766128004,1046.3333333333333,851.3333333333334,881.6666666666666,826.0,721.0,880.0,69.67820766128004,0.2997534185160278,0.7002465814839723,0.4563234281474701,2228.6666666666665,7435.0,0.38690876485093034,61.51856471815609,0.30397565151226935,0.7070611970410222,0.4444873469723974,0.5131578947368421,0.6016260162601625,0.2998230823937739,0.0,46.666666666666664,0.0,0.5252487734182938,0.22878349262399877,0.08730307562852106,0.14148041699547773,,
cremad,wavlm_base_plus,0.1,3,91,6.0,0.28106169902860395,72.0391027306239,1206.6666666666667,1124.0,1127.3333333333333,1109.3333333333333,995.6666666666666,1130.6666666666667,72.0391027306239,0.09970858551894195,0.9002914144810581,0.1989392341943912,741.3333333333334,7435.0,0.3158932974669357,68.77248505679408,0.284401390958768,0.902488231338265,0.1874303796151918,0.7804878048780489,0.8455284552845529,0.28236761225037316,0.0,0.0,0.0,0.43976164822625324,0.15604687999367892,0.05655232741373358,0.09949455257994531,,
cremad,wavlm_base_plus,0.2,3,91,6.0,0.24941176470588233,74.92148708125882,1135.0,978.3333333333334,981.6666666666666,965.0,911.6666666666666,978.3333333333334,74.92148708125882,0.19973100201748487,0.8002689979825152,0.3680943744580329,1485.0,7435.0,0.3158932974669357,68.77248505679408,0.25454140198372893,0.8045729657027573,0.35163019145315055,0.6260162601626016,0.7276422764227641,0.251688798137321,0.0,6.666666666666667,0.0,0.5170775947656504,0.15604687999367892,0.05655232741373358,0.09949455257994531,,
cremad,wavlm_base_plus,0.3,3,91,6.0,0.2164667808435717,77.9025961751315,1049.6666666666667,845.3333333333334,830.6666666666666,833.0,828.3333333333334,819.3333333333334,77.9025961751315,0.2997534185160278,0.7002465814839723,0.5200977825431372,2228.6666666666665,7435.0,0.3158932974669357,68.77248505679408,0.22243358062266183,0.7070611970410222,0.5020817528182467,0.4796747967479675,0.605691056910569,0.21925275449580206,0.0,47.666666666666664,0.0,0.5915893363486869,0.15604687999367892,0.05655232741373358,0.09949455257994531,,
cremad,wavlm_base_plus_ft,0.1,2,91,6.0,0.2838362712877204,71.4862552977905,1209.5,1134.5,1081.0,1102.5,1035.0,1131.5,71.4862552977905,0.09966375252185608,0.9003362474781439,0.19785351589258804,741.0,7435.0,0.31856086079354407,68.60170786221958,0.2862891207153502,0.902488231338265,0.18899207083162078,0.7987804878048781,0.8414634146341463,0.2850163231140302,0.0,0.0,0.0,0.47652667439418916,0.15981905781820938,0.05790779727845677,0.10191126053975262,,
cremad,wavlm_base_plus_ft,0.2,2,91,6.0,0.2536974789915966,73.97263939464874,1140.0,994.0,916.0,945.0,969.0,986.0,73.97263939464874,0.19973100201748487,0.8002689979825152,0.36264679879093026,1485.0,7435.0,0.31856086079354407,68.60170786221958,0.25468070879304583,0.8045729657027573,0.3567430041786546,0.6463414634146342,0.7134146341463414,0.2548321454458541,0.0,5.5,0.0,0.558030543508071,0.15981905781820938,0.05790779727845677,0.10191126053975262,,
cremad,wavlm_base_plus_ft,0.3,2,91,6.0,0.2219128096792779,76.40575610711542,1072.5,852.0,736.0,801.0,913.0,832.5,76.40575610711542,0.29966375252185606,0.7003362474781439,0.5122654323366215,2228.0,7435.0,0.31856086079354407,68.60170786221958,0.2266501807114324,0.7070611970410222,0.49688206432388,0.5365853658536586,0.6036585365853658,0.22349020030341743,0.0,44.5,0.0,0.6441320774843753,0.15981905781820938,0.05790779727845677,0.10191126053975262,,
ravdess,cnn,0.1,9,24,8.0,0.5806755829903979,42.52004780381909,85.55555555555556,183.22222222222223,169.11111111111111,166.33333333333334,180.77777777777777,169.88888888888889,42.52004780381909,0.09937456567060458,0.9006254343293956,0.12813719034994764,143.0,1439.0,0.5998764574164157,41.02831254847779,0.5794753086419753,0.9006254343293956,0.12997747869477216,0.7995919648462021,0.8424482109227872,0.579590143838278,0.0,0.0,0.0,0.28327671826895795,0.4382928891754291,0.23784584881215937,0.20044704036326974,177.22222222222223,163.88888888888889
ravdess,cnn,0.2,9,24,8.0,0.560570987654321,43.91619067654177,74.55555555555556,170.88888888888889,145.44444444444446,143.22222222222223,165.0,149.33333333333334,43.91619067654177,0.19944405837387075,0.8005559416261293,0.2518761088565801,287.0,1439.0,0.5998764574164157,41.02831254847779,0.560281635802469,0.8005559416261293,0.2522874112293282,0.6642498430634024,0.715332705586943,0.5579373535834551,0.0,1.6666666666666667,0.0,0.32845925910096174,0.4382928891754291,0.23784584881215937,0.20044704036326974,166.11111111111111,137.44444444444446
ravdess,cnn,0.3,9,24,8.0,0.5405643738977072,44.81915931106391,63.888888888888886,159.88888888888889,120.55555555555556,121.55555555555556,150.55555555555554,126.88888888888889,44.81915931106391,0.2995135510771369,0.700486448922863,0.3687889194823742,431.0,1439.0,0.5998764574164157,41.02831254847779,0.5383597883597884,0.700486448922863,0.3713434371769511,0.5111111111111112,0.6020495919648462,0.5359654353131491,0.0,10.88888888888889,0.0,0.3666568221665421,0.4382928891754291,0.23784584881215937,0.20044704036326974,151.33333333333334,113.33333333333333
ravdess,hubert_base,0.1,3,24,8.0,0.3101851851851852,68.78027908582347,90.66666666666667,179.66666666666666,166.0,165.0,181.66666666666666,161.0,68.78027908582347,0.09937456567060458,0.9006254343293955,0.1879816685372241,143.0,1439.0,0.3439888811674774,65.90166430337406,0.3076131687242798,0.9006254343293955,0.1947544225322003,0.8257062146892656,0.8516666666666666,0.3100608828245492,0.0,0.0,0.0,0.39971971068611295,0.17041102397092758,0.07060298779589093,0.09980803617503668,179.33333333333334,172.66666666666666
ravdess,hubert_base,0.2,3,24,8.0,0.27372685185185186,71.99637760127233,81.33333333333333,166.0,143.66666666666666,136.0,170.0,136.33333333333334,71.99637760127233,0.19944405837387072,0.8005559416261293,0.3632390928687225,287.0,1439.0,0.3439888811674774,65.90166430337406,0.2734375,0.8005559416261293,0.36381495733347585,0.6704331450094161,0.7216666666666667,0.27480599081003376,0.0,1.6666666666666667,0.0,0.47912686718921665,0.17041102397092758,0.07060298779589093,0.09980803617503668,167.33333333333334,151.33333333333334
ravdess,hubert_base,0.3,3,24,8.0,0.2380952380952381,75.43585725808589,67.66666666666667,144.66666666666666,124.33333333333333,110.33333333333333,156.66666666666666,115.0,75.43585725808589,0.2995135510771369,0.700486448922863,0.515375536671833,431.0,1439.0,0.3439888811674774,65.90166430337406,0.2427248677248677,0.700486448922863,0.5058984910836762,0.5530131826741996,0.6026553672316385,0.2397801667027973,0.0,12.333333333333334,0.0,0.5558910668087703,0.17041102397092758,0.07060298779589093,0.09980803617503668,154.33333333333334,135.0
ravdess,resnet_se,0.1,3,24,8.0,0.5262345679012346,47.52941484180369,82.0,178.33333333333334,169.0,167.0,181.66666666666666,169.66666666666666,47.52941484180369,0.09937456567060458,0.9006254343293955,0.13556296649614621,143.0,1439.0,0.5482974287699791,45.63370327952298,0.5241769547325102,0.9006254343293955,0.13892928351453696,0.7944444444444444,0.8436346516007532,0.5271498594877119,0.0,0.0,0.0,0.3151747912200152,0.37292251885079136,0.19290480829831602,0.1800177105524754,177.0,171.33333333333334
