level,model,replicate,variant,b,speaker,accepted_error,coverage,n,n_acc,n_err,n_err_acc,n_err_rej
cremad,cnn,r0s0,within_fold,0.3,1027,0.30612244897959184,0.5975609756097561,82,49,29,15,14
cremad,cnn,r0s0,within_fold,0.3,1028,0.32727272727272727,0.6707317073170732,82,55,33,18,15
cremad,cnn,r0s0,within_fold,0.3,1029,0.43103448275862066,0.7073170731707317,82,58,40,25,15
cremad,cnn,r0s0,within_fold,0.3,1030,0.2857142857142857,0.6829268292682927,82,56,31,16,15
cremad,cnn,r0s0,within_fold,0.3,1031,0.48214285714285715,0.6829268292682927,82,56,48,27,21
cremad,cnn,r0s0,within_fold,0.3,1032,0.32142857142857145,0.6829268292682927,82,56,37,18,19
cremad,cnn,r0s0,within_fold,0.3,1033,0.1282051282051282,0.47560975609756095,82,39,29,5,24
cremad,cnn,r0s0,within_fold,0.3,1034,0.3898305084745763,0.7195121951219512,82,59,36,23,13
cremad,cnn,r0s0,within_fold,0.3,1035,0.3333333333333333,0.6585365853658537,82,54,35,18,17
cremad,cnn,r0s0,within_fold,0.3,1036,0.58,0.6097560975609756,82,50,53,29,24
cremad,cnn,r0s0,within_fold,0.3,1037,0.2878787878787879,0.8048780487804879,82,66,28,19,9
cremad,cnn,r0s0,within_fold,0.3,1038,0.36507936507936506,0.7682926829268293,82,63,33,23,10
cremad,cnn,r0s0,within_fold,0.3,1039,0.43548387096774194,0.7560975609756098,82,62,40,27,13
cremad,cnn,r0s0,within_fold,0.3,1040,0.26666666666666666,0.7317073170731707,82,60,34,16,18
cremad,cnn,r0s0,within_fold,0.3,1041,0.3275862068965517,0.7073170731707317,82,58,34,19,15
cremad,cnn,r0s0,within_fold,0.3,1042,0.46938775510204084,0.5975609756097561,82,49,46,23,23
cremad,cnn,r0s0,within_fold,0.3,1043,0.3333333333333333,0.7317073170731707,82,60,36,20,16
cremad,cnn,r0s0,within_fold,0.3,1044,0.3617021276595745,0.573170731707317,82,47,33,17,16
cremad,cnn,r0s0,within_fold,0.3,1045,0.2857142857142857,0.6829268292682927,82,56,30,16,14
cremad,cnn,r0s0,within_fold,0.3,1046,0.5671641791044776,0.8170731707317073,82,67,50,38,12
cremad,cnn,r0s0,within_fold,0.3,1047,0.1935483870967742,0.7560975609756098,82,62,23,12,11
cremad,cnn,r0s0,within_fold,0.3,1048,0.25,0.7317073170731707,82,60,29,15,14
cremad,cnn,r0s0,within_fold,0.3,1049,0.2037037037037037,0.6585365853658537,82,54,25,11,14
cremad,cnn,r0s0,within_fold,0.3,1050,0.34375,0.7804878048780488,82,64,34,22,12
cremad,cnn,r0s0,within_fold,0.3,1051,0.20754716981132076,0.6463414634146342,82,53,24,11,13
cremad,cnn,r0s0,within_fold,0.3,1052,0.32142857142857145,0.6829268292682927,82,56,32,18,14
cremad,cnn,r0s0,within_fold,0.3,1053,0.24074074074074073,0.6585365853658537,82,54,32,13,19
cremad,cnn,r0s0,within_fold,0.3,1054,0.5483870967741935,0.7560975609756098,82,62,46,34,12
